edge_index,source_node,target_node,source_element,target_element,source_type,target_type,bond_class,distance_nm,target_nm,absolute_deviation_nm
1,P:0,P:1,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
2,P:1,P:60,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1452446212429224,0.144973,0.0002716212429224041
3,P:1,P:118,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443779761598008,0.144973,0.0005950238401991881
4,P:2,P:3,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
5,P:3,P:60,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
6,P:3,P:62,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361047,0.144973,0.0005811719763895162
7,P:4,P:5,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
8,P:5,P:62,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
9,P:5,P:64,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
10,P:6,P:7,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
11,P:7,P:64,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14481022063376636,0.144973,0.00016277936623362854
12,P:7,P:66,N,B,PARENT_HBN,PARENT_HBN,B-N,0.145013792447477,0.144973,4.0792447477011606e-05
13,P:8,P:9,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
14,P:9,P:66,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14377760604489156,0.144973,0.0011953939551084258
15,P:9,P:68,N,B,PARENT_HBN,PARENT_HBN,B-N,0.145013792447477,0.144973,4.0792447477011606e-05
16,P:10,P:11,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
17,P:11,P:68,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14481022063376636,0.144973,0.00016277936623362854
18,P:11,P:70,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
