calculation_type,frame,cluster,job,tracked_root,is_tracked_root,root,hole_orbital,hole_spin,particle_orbital,particle_spin,occupation
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,49,a,56,a,0.00389192
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,48,a,57,a,0.00232819
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,47,a,58,a,0.00206854
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,46,a,59,a,0.00139067
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,45,a,60,a,0.00133207
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,44,a,61,a,0.00120081
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,43,a,62,a,0.00095302
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,42,a,63,a,0.00093781
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,41,a,64,a,0.00071995
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,40,a,65,a,0.00061137
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,39,a,66,a,0.00050445
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,38,a,67,a,0.00042201
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,37,a,68,a,0.00039266
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,36,a,69,a,0.00035616
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,35,a,70,a,0.00030432
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,34,a,71,a,0.00026555
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,33,a,72,a,0.00024991
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,32,a,73,a,0.00022663
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,31,a,74,a,0.00020799
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,30,a,75,a,0.00014388
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,29,a,76,a,0.00013297
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,28,a,77,a,0.00011993
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,27,a,78,a,0.00010751
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,52,a,53,a,0.87757754
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,51,a,54,a,0.09158606
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,50,a,55,a,0.00820298
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,49,a,56,a,0.00328355
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,48,a,57,a,0.00274289
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,47,a,58,a,0.00213108
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,46,a,59,a,0.00205072
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,45,a,60,a,0.00185159
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,44,a,61,a,0.00163772
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,43,a,62,a,0.00133577
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,42,a,63,a,0.00125981
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,41,a,64,a,0.00091652
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,40,a,65,a,0.00077226
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,39,a,66,a,0.00067075
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,38,a,67,a,0.00048817
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,37,a,68,a,0.00039573
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,36,a,69,a,0.00039232
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,35,a,70,a,0.00035932
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,34,a,71,a,0.0003506
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,33,a,72,a,0.00029616
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,32,a,73,a,0.00028723
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,31,a,74,a,0.00027026
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,30,a,75,a,0.00018944
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,29,a,76,a,0.00015984
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,28,a,77,a,0.0001461
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,True,1,27,a,78,a,0.00011293
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,52,a,53,a,0.61350706
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,51,a,54,a,0.3550372
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,50,a,55,a,0.01511926
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,49,a,56,a,0.01364442
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,48,a,57,a,0.00052677
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,47,a,58,a,0.00038648
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,46,a,59,a,0.00024063
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,45,a,60,a,0.00021964
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,44,a,61,a,0.00018528
