,PYR2,PYR3,PYR4,PYR5
PYR2,4.011,0.0,0.0,0.0
PYR3,0.0,4.017,0.0,0.0
PYR4,0.0,0.0,4.022,0.0
PYR5,0.0,0.0,0.0,3.753
