frame,site,bright_root,source_output,source_gbw,source_cis,gbw_size_bytes,cis_size_bytes,pilot_directory,pilot_gbw,pilot_cis,all_atom_radius_A,carbon_radius_A,status
0,PYR2,2,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.gbw,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.cis,2507310,654596,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR2,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR2/pilot.gbw,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR2/pilot.cis,4.604400281592056,3.5176131045248593,READY
0,PYR3,2,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.gbw,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.cis,2507310,654596,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR3,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR3/pilot.gbw,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR3/pilot.cis,4.605036772043737,3.5180038618334417,READY
0,PYR4,2,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.gbw,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.cis,2507310,654596,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR4,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR4/pilot.gbw,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR4/pilot.cis,4.6045594760791175,3.518569378135098,READY
0,PYR5,1,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.gbw,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.cis,2507310,654596,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR5,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR5/pilot.gbw,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR5/pilot.cis,4.75696134627979,3.6709714313788986,READY
