,PYR2,PYR3,PYR4,PYR5
PYR2,3.994,0.0,0.0,0.0
PYR3,0.0,4.007,0.0,0.0
PYR4,0.0,0.0,4.02,0.0
PYR5,0.0,0.0,0.0,3.793
