bridge_path_id,end,bridge_index,seed_node,annulus_node,target_endpoint_distance_nm,library_angle_deg,library_torsion_1_deg,library_torsion_2_deg,library_distance_nm,library_distance_error_nm,selected_mirror,selected_azimuth_deg,preexisting_heavy_clash_count,minimum_preexisting_heavy_clearance_nm,bond_1_nm,bond_2_nm,bond_3_nm,bond_4_nm,angle_1_deg,angle_2_deg,angle_3_deg
LOWER:BRIDGE:00,LOWER,0,S:1681,A:LOWER:14:-2,0.30280229034725153,114.0,80.0,0.0,0.30281970408871356,1.7413741462024568e-05,False,120.0,0,0.14497083833525154,0.14497083833525154,0.14497061503032274,0.14496917765657602,0.14497227569253268,113.9988330530014,113.99840681140803,113.99883305879558
LOWER:BRIDGE:01,LOWER,1,S:1683,A:LOWER:14:-4,0.47478534705746717,130.0,140.0,30.0,0.4747841692917209,1.1777657462630486e-06,True,220.0,0,0.14497319909516035,0.14497328520162805,0.14497319694396463,0.1449732830504341,0.14497319909516035,130.0000888557446,130.0000884592961,130.00008885574394
LOWER:BRIDGE:02,LOWER,2,S:1685,A:LOWER:-1:-9,0.4748996455320899,129.0,210.0,330.0,0.4748983748653243,1.2706667655848491e-06,True,40.0,0,0.14497321214308806,0.1449733135863371,0.1449732067155685,0.14497330815882126,0.14497321214308806,129.00009808130343,129.00009705817138,129.00009808130096
LOWER:BRIDGE:03,LOWER,3,S:1687,A:LOWER:-4:-8,0.3028669669357987,118.0,350.0,70.0,0.3028651755167732,1.7914190254542106e-06,True,20.0,0,0.14497306206030597,0.14497306206030597,0.1449734057503972,0.14497329832393527,0.1449731694869427,118.00011109105643,118.00016719625627,118.000111090983
LOWER:BRIDGE:04,LOWER,4,S:1689,A:LOWER:-7:-7,0.2509202487881208,118.0,30.0,0.0,0.2509349941515305,1.4745363409673917e-05,True,10.0,0,0.14497274816137676,0.14497274816137676,0.14497006154305114,0.14496983909795738,0.14497297060200684,117.99924239799323,117.99855154765527,117.99924239986933
LOWER:BRIDGE:05,LOWER,5,S:1691,A:LOWER:-10:-6,0.3028782462868559,118.0,350.0,70.0,0.3028651755167732,1.3070770082668215e-05,True,310.0,0,0.14497345284314414,0.14497345284314414,0.14497596049125255,0.14497517668517484,0.14497423665854156,118.00081056131069,118.00121990185771,118.00081055739356
LOWER:BRIDGE:06,LOWER,6,S:1693,A:LOWER:-13:-5,0.47506866612031806,125.0,60.0,140.0,0.4750723350999912,3.668979673132622e-06,False,100.0,1,0.0791927039590577,0.1449723340752619,0.14497216303403926,0.14497240082363147,0.14497209628556063,124.99969079815202,124.9997045309478,124.99969079821247
LOWER:BRIDGE:07,LOWER,7,S:1695,A:LOWER:-13:5,0.47534325545471523,125.0,280.0,170.0,0.47532443664356894,1.8818811146292802e-05,False,100.0,1,0.11087898432037092,0.14497621141876937,0.14497750130668702,0.14497638591881223,0.14497732680798653,125.00158674644213,125.00162264479643,125.00158674569893
LOWER:BRIDGE:08,LOWER,8,S:1697,A:LOWER:-10:6,0.30294144772110376,116.0,20.0,60.0,0.30297060966324707,2.9161942143307584e-05,True,240.0,0,0.1420731300290841,0.1449711905893434,0.1449671916695744,0.1449684308318199,0.1449699514506872,115.99811868919524,115.99743707610912,115.9981186801016
LOWER:BRIDGE:09,LOWER,9,S:1699,A:LOWER:-7:7,0.2507185000620844,113.0,60.0,350.0,0.250852034165399,0.00013353410331456983,False,40.0,0,0.1449653374367173,0.1449653374367173,0.1449517861339299,0.14494385931653203,0.14497326307973893,112.99244553412746,112.9868251114017,112.99244592804796
LOWER:BRIDGE:10,LOWER,10,S:1701,A:LOWER:-4:8,0.3032607909498008,107.0,60.0,250.0,0.30325669802940075,4.0929204000450525e-06,False,160.0,0,0.14497310020121756,0.14497310020121756,0.14497397000676743,0.14497359333523235,0.1449734768740343,107.00031297632967,107.00045718873187,107.00031297602001
LOWER:BRIDGE:11,LOWER,11,S:1703,A:LOWER:-1:9,0.4749914647569468,119.0,90.0,160.0,0.4749901424787331,1.3222782137001232e-06,False,80.0,1,0.05951338697271288,0.14497324657762237,0.14497329496235403,0.14497322243715344,0.14497331910281097,119.00012607052793,119.00012045064116,119.00012607053334
LOWER:BRIDGE:12,LOWER,12,S:1705,A:LOWER:14:4,0.47514127118609256,113.0,210.0,240.0,0.47512523166699383,1.603951909873169e-05,True,20.0,0,0.12204813713194909,0.14497668606224345,0.14497588483477122,0.14497626429351695,0.14497630660460162,113.00171882334364,113.00160849894203,113.00171882297303
LOWER:BRIDGE:13,LOWER,13,S:1707,A:LOWER:14:2,0.30255035352504484,106.0,350.0,110.0,0.30251447240040324,3.588112464159021e-05,True,110.0,0,0.14420570134832547,0.14497400560405754,0.1449813538284118,0.14497608362033587,0.1449792758876721,106.00278733417741,106.00340612266143,106.00278731705372
LOWER:BRIDGE:14,LOWER,14,S:1709,A:LOWER:14:0,0.25091769597638536,118.0,30.0,0.0,0.2509349941515305,1.7298175145119554e-05,False,70.0,0,0.14497270457093603,0.14497270457093603,0.14496955282203844,0.144969291864875,0.14497296552195638,117.99911123982078,117.99830077643875,117.99911124240255
UPPER:BRIDGE:00,UPPER,0,S:1711,A:UPPER:14:0,0.2507185000620844,113.0,60.0,350.0,0.250852034165399,0.00013353410331456983,True,310.0,0,0.14496533743671788,0.14496533743671788,0.14495178613392917,0.14494385931653278,0.1449732630797389,112.99244553412751,112.9868251114016,112.99244592804764
UPPER:BRIDGE:01,UPPER,1,S:1713,A:UPPER:14:-2,0.30294144772110426,116.0,20.0,60.0,0.30297060966324707,2.9161942142807984e-05,True,250.0,0,0.14496995145068706,0.1449711905893441,0.1449671916695743,0.1449684308318199,0.14496995145068706,115.99811868919485,115.99743707610979,115.99811868010167
UPPER:BRIDGE:02,UPPER,2,S:1715,A:UPPER:14:-4,0.4753432554547158,125.0,280.0,170.0,0.47532443664356894,1.8818811146847914e-05,True,30.0,1,0.10552657213155317,0.14497621141876907,0.14497750130668752,0.14497638591881196,0.14497732680798647,125.00158674644209,125.00162264479643,125.00158674569929
UPPER:BRIDGE:03,UPPER,3,S:1717,A:UPPER:-1:-9,0.4750686661203188,125.0,60.0,140.0,0.4750723350999912,3.668979672410977e-06,False,310.0,1,0.07917119058405774,0.14497233407526272,0.1449721630340395,0.1449724008236313,0.14497209628556165,124.99969079815203,124.99970453094781,124.99969079821153
UPPER:BRIDGE:04,UPPER,4,S:1719,A:UPPER:-4:-8,0.30287824628685617,118.0,350.0,70.0,0.3028651755167732,1.307077008294577e-05,False,0.0,0,0.14497345284314472,0.14497345284314472,0.14497596049125155,0.1449751766851754,0.14497423665854117,118.00081056131074,118.00121990185791,118.00081055739372
UPPER:BRIDGE:05,UPPER,5,S:1721,A:UPPER:-7:-7,0.2509202487881214,118.0,30.0,0.0,0.2509349941515305,1.4745363409063295e-05,True,0.0,0,0.1449727481613763,0.1449727481613763,0.14497006154305084,0.1449698390979576,0.14497297060200667,117.99924239799348,117.99855154765542,117.99924239986925
UPPER:BRIDGE:06,UPPER,6,S:1723,A:UPPER:-10:-6,0.3028669669357984,118.0,350.0,70.0,0.3028651755167732,1.7914190251766549e-06,False,100.0,0,0.14497306206030566,0.14497306206030566,0.14497340575039608,0.1449732983239354,0.14497316948694292,118.00011109105681,118.00016719625641,118.00011109098251
UPPER:BRIDGE:07,UPPER,7,S:1725,A:UPPER:-13:-5,0.47489964553209024,129.0,210.0,330.0,0.4748983748653243,1.270666765917916e-06,True,230.0,0,0.14497321214308814,0.1449733135863374,0.14497320671556815,0.14497330815882126,0.14497321214308814,129.00009808130358,129.00009705817175,129.00009808130054
UPPER:BRIDGE:08,UPPER,8,S:1727,A:UPPER:-13:5,0.47478534705746733,130.0,140.0,30.0,0.4747841692917209,1.177765746429582e-06,True,280.0,0,0.14497319909515963,0.14497328520162828,0.1449731969439656,0.14497328305043497,0.14497319909515963,130.00008885574388,130.0000884592957,130.0000888557441
UPPER:BRIDGE:09,UPPER,9,S:1729,A:UPPER:-10:6,0.30280229034725203,114.0,80.0,0.0,0.30281970408871356,1.7413741461524967e-05,False,170.0,0,0.14497083833525168,0.14497083833525168,0.14497061503032282,0.14496917765657646,0.14497227569253268,113.99883305300115,113.99840681140827,113.99883305879544
UPPER:BRIDGE:10,UPPER,10,S:1731,A:UPPER:-7:7,0.25091769597638597,118.0,30.0,0.0,0.2509349941515305,1.729817514450893e-05,True,270.0,0,0.1449727045709364,0.1449727045709364,0.14496955282203866,0.14496929186487512,0.14497296552195688,117.99911123982106,117.9983007764387,117.99911124240239
