time_fs,PYR2_mean,PYR2_p10,PYR2_p90
0.0,0.0,0.0,0.0
10.0,0.008199802664745223,0.008177128104840064,0.008226600374379927
20.0,0.016245729949174715,0.01610133076445173,0.01639722974307382
30.0,0.02436748073025536,0.023908417581607982,0.024855027288976185
40.0,0.032972842629194435,0.032093925968361935,0.03366955072382482
50.0,0.04244439587403979,0.04097747133550819,0.04341105175233125
60.0,0.052683453433050156,0.05027623110317394,0.05391940837617811
70.0,0.06285507339302925,0.059000519132439734,0.06514837324837029
80.0,0.07200424077795334,0.06699616270434909,0.07587188654590132
90.0,0.07982957635826984,0.07363006482201005,0.08500255671861152
100.0,0.08675519778603603,0.07816899731774671,0.09303975597263611
110.0,0.09336881653063621,0.08293852077696175,0.10230307209803385
120.0,0.09976240894088094,0.08874475566397329,0.11200245270097545
130.0,0.10555498615741053,0.09424350961998351,0.11865662092666285
140.0,0.11049579606441154,0.09990444998396589,0.12214455078535152
150.0,0.11501439068138362,0.10533919801288437,0.1250984587535034
160.0,0.11989580751677174,0.11080240991041104,0.1284870832771523
170.0,0.1254679735396311,0.1162548544289915,0.13473735836278156
180.0,0.13133673190325282,0.12131462355792458,0.14037896577110437
190.0,0.13682966474816816,0.12601370719974442,0.1465096026574073
200.0,0.14175505988568823,0.13118942625886879,0.1529209451520453
210.0,0.14656235597439515,0.13612666952021416,0.15957796935062937
220.0,0.15166304908837214,0.14003510273963096,0.16626551679635296
230.0,0.1569947165359321,0.1448912451820896,0.1705754928973603
240.0,0.16208116045804344,0.1494703728865098,0.173645485825367
250.0,0.16653113112258866,0.15364806081586038,0.1771898746552263
260.0,0.1703874965716682,0.15760794937237288,0.18255702032203894
270.0,0.17402582669545116,0.16215653071786618,0.18568899420238005
280.0,0.17775646897538727,0.1676303942268687,0.18952880667017427
290.0,0.18157430867663857,0.17097739332084586,0.1935217961506667
300.0,0.18532745844579154,0.17477098989431147,0.19688612500409927
310.0,0.18893655016285044,0.17905054517492536,0.20146416326200536
320.0,0.19254646242667753,0.18295449157618382,0.20318609793710002
330.0,0.19637955314321584,0.18647164590118467,0.20536419767043576
340.0,0.20038693970156057,0.19024037635503557,0.21096536449861436
350.0,0.20432636942258467,0.19418562016106253,0.21594748209320228
360.0,0.20801366779292332,0.19725451450644144,0.2186467126427553
370.0,0.21150347065055292,0.20014032997658984,0.2224758432620541
380.0,0.21495712935769892,0.20219837473486849,0.2257805478898493
390.0,0.21837854711100252,0.20441345525397683,0.22975600150375505
400.0,0.22155849217348184,0.20713527645422344,0.23421427467828057
410.0,0.22438671931447604,0.2096585105376815,0.23738239041643852
420.0,0.22702618124584134,0.2131779916050536,0.23865247711372295
430.0,0.22966755605339503,0.21709104510220828,0.24073811364984024
440.0,0.23239106992849318,0.21931728378043897,0.24693959039006
450.0,0.23509599294120334,0.22123997215864072,0.24936558446136756
460.0,0.23768738611159124,0.2234308335912995,0.2536341477063606
470.0,0.24015303421875128,0.2256482135202952,0.2576524441464898
480.0,0.24254008172677605,0.22767267102450245,0.26204424071389026
490.0,0.24487889297486434,0.2297518675422569,0.26679826659917044
500.0,0.24714966106992967,0.23189617971633258,0.2714416146073725
510.0,0.2493622699876386,0.23389516380113134,0.2719371896141075
520.0,0.25152078497162805,0.23583264365185785,0.2728324660809369
530.0,0.25362094944087604,0.23754183159765277,0.2730886249644398
540.0,0.25569269619866136,0.24015061023141,0.27616619300376566
550.0,0.2577411776742684,0.24249803375125067,0.2793959726098304
560.0,0.25974121459209143,0.2443824557642235,0.283151071852281
570.0,0.26165538124816823,0.2461999700517909,0.284438748388459
580.0,0.26344576610623544,0.24804894580140924,0.2835123964052117
590.0,0.26507566467879906,0.2501039514321008,0.2837029645487065
600.0,0.2665586532794838,0.2524277840437011,0.28452767701734505
610.0,0.26795648065390154,0.25397586217872226,0.28441570610033257
620.0,0.2693475628521298,0.2556823000217769,0.28509640198433633
630.0,0.2707794094302686,0.2574387812289114,0.2861612017870865
640.0,0.27229391652021795,0.2588700322680028,0.28693953838264563
650.0,0.27391338027845225,0.26041434693488197,0.2880889223806667
660.0,0.2756123512940085,0.26202931943282126,0.2898406216202611
670.0,0.2773293931903842,0.26373393296575626,0.2926461716360172
680.0,0.27896342820797204,0.26554670921720464,0.2961460325262706
690.0,0.2804309301518519,0.2673578999340901,0.29939234345968174
700.0,0.28171614344652884,0.268639473563213,0.3015104588416149
710.0,0.2828537845056569,0.26934840126707477,0.3021989458241005
720.0,0.28387617386821107,0.2703073251974577,0.3017636430962727
730.0,0.28479626448292134,0.2696633074450995,0.30117569950465123
740.0,0.2856643405779123,0.26947653884648254,0.3028765183962942
750.0,0.2865530242224707,0.27167752875713874,0.30436868223467967
760.0,0.28752856996533,0.27396676648967133,0.3056811734147004
770.0,0.28860503548485167,0.2763906364807693,0.3056414910096232
780.0,0.2897526011765084,0.2773082859653884,0.30625908465213963
790.0,0.29091326865621886,0.27792064384365245,0.3066656623688771
800.0,0.29207277560142314,0.27851981287677224,0.3091784559819889
810.0,0.2932452262241729,0.2789773041876603,0.3110448253824335
820.0,0.2944119109077243,0.279262503122223,0.31271576111995053
830.0,0.29551779765780944,0.27951976183600075,0.3138745615457888
840.0,0.2964743535338974,0.27995571430324545,0.314800062743694
850.0,0.2972451385545412,0.28076584810095156,0.31559271964839575
860.0,0.29784434395546894,0.28177885387866686,0.31539113961980025
870.0,0.2983271535171611,0.28308542067517617,0.3153100686192785
880.0,0.298796339252708,0.2846147258291995,0.31440177929016805
890.0,0.2993150407562731,0.2851107231811754,0.3137160718397865
900.0,0.29987503737178306,0.2857550488908003,0.31520113783879444
910.0,0.30044790501122326,0.2865737443127313,0.31587228377971655
920.0,0.300989081094075,0.28736502473451947,0.3153223400388135
930.0,0.30147418607002635,0.28859228081036975,0.3175669700820926
940.0,0.3018847550359049,0.28926027986675185,0.31828714197094765
950.0,0.3021858478655067,0.29013191118242665,0.3190207105468931
960.0,0.30241775695748024,0.29043057766710545,0.31946478384446964
970.0,0.30264666585242755,0.2912014484622865,0.3192604283078714
980.0,0.3029066493401471,0.29164439903870926,0.31804458222301873
990.0,0.3032048426829271,0.2919075772999635,0.3172318876191801
1000.0,0.30351903048714557,0.29208171554110846,0.3171795623693588
1010.0,0.3038505799868341,0.29197902055965463,0.3177853758574353
1020.0,0.3042251947618685,0.2914044441403789,0.3179001493182246
1030.0,0.30467155533941703,0.2909425740256171,0.31786372666419865
1040.0,0.30517612176964554,0.2921449543227285,0.31853703055484905
1050.0,0.30568952344691414,0.29321430242210195,0.31877960463889565
1060.0,0.3061666139857274,0.293842286478658,0.31937910794816354
1070.0,0.30659626664302697,0.2945419206248257,0.3196626562330994
1080.0,0.307005008672707,0.295344175208614,0.31956942075703776
1090.0,0.307401770482881,0.2962050619165226,0.3192496129441518
1100.0,0.3077836938145714,0.29696936535866736,0.319399228276482
1110.0,0.30817157215227187,0.29751289154232086,0.3198371797512233
1120.0,0.30855660499801785,0.2978220305354401,0.3200673183420979
1130.0,0.3089429022689388,0.2979728324311371,0.32086720708951544
1140.0,0.309339787165282,0.29810181790622486,0.320952484450184
1150.0,0.30976676337672265,0.29841473116781925,0.32062757749261145
1160.0,0.3102260692668046,0.300001393018711,0.3214386312816739
1170.0,0.3107173509380404,0.3001792863952346,0.3223436725944507
1180.0,0.31124464443148475,0.29970223365835597,0.3226145513144432
1190.0,0.311798744532623,0.2991812396409769,0.3229171261719064
1200.0,0.31233148042533176,0.29852120696973167,0.3229756424920152
1210.0,0.3127509237807614,0.2976618929925752,0.3229135817883903
1220.0,0.313039391233851,0.2968732771768149,0.32310171162467055
1230.0,0.31325016818353113,0.2983343326171463,0.3231704710549588
1240.0,0.3134478032678862,0.29992492803193266,0.3227969318085155
1250.0,0.3136642412022396,0.3008313629155503,0.32287542459721735
1260.0,0.3138866645044483,0.30053340877464335,0.32272810583008754
1270.0,0.31406558173046706,0.30238604085486404,0.3232672892173745
1280.0,0.31419973604935625,0.30124229822400095,0.3239417803600885
1290.0,0.3143128272770987,0.3003319577535422,0.3240771587694769
1300.0,0.31441265453392797,0.29997094317617706,0.3230558113326675
1310.0,0.31449579040360115,0.30032225425132086,0.32205799981037897
1320.0,0.31456155732391355,0.3017697909212202,0.3217715586594244
1330.0,0.3146045505809407,0.3025135059055184,0.32211973223194984
1340.0,0.31460299825877625,0.30350337355603896,0.32272684984997996
1350.0,0.3145204668557623,0.30363378366367355,0.322781742555167
1360.0,0.3143295014996171,0.30350164598851037,0.32223661827277067
1370.0,0.31406761223673674,0.3036841961488729,0.3228192394055909
1380.0,0.31374522827348184,0.3023701823110316,0.32305406106971285
1390.0,0.3134061407728327,0.30195064704249047,0.323274482696263
1400.0,0.31313332309933944,0.30124141680364963,0.3230169311130285
1410.0,0.3129693222760169,0.2993349414152107,0.32237585511854416
1420.0,0.3128848611505058,0.2985826234980503,0.32248864343850464
1430.0,0.31281764749366203,0.2978278423695064,0.322263696373219
1440.0,0.31269364782523834,0.2968733913414775,0.32207712177982767
1450.0,0.3124952007390866,0.2968563437059246,0.3225565870147056
1460.0,0.3122505690570444,0.29537515361690203,0.3226685592351336
1470.0,0.31200081012109554,0.29400931911196476,0.3224330558039075
1480.0,0.31177032780067715,0.2924888769107696,0.32204040895672065
1490.0,0.31158085906181715,0.2920853722736191,0.32163010298537376
1500.0,0.3114542537116239,0.2921675986746717,0.3212265631072038
1510.0,0.3114377536591074,0.2928983988980073,0.32115578194043665
1520.0,0.3115482136797673,0.2938389588874805,0.3213203996370534
1530.0,0.3117347682441841,0.2950071580222968,0.3210555700760859
1540.0,0.31191940986818895,0.29799344841814396,0.32185366089056006
1550.0,0.31197115999174785,0.2990584730871055,0.32294774746786076
1560.0,0.31188254460802045,0.29859357491145877,0.3230104196932943
1570.0,0.3117261674902878,0.29757564541469866,0.3233605127077299
1580.0,0.3116025565666983,0.2986108199177402,0.3229844024625543
1590.0,0.3116415006123117,0.29846754739567577,0.32289743667175336
1600.0,0.31189791699131103,0.2983055795322109,0.3227814500202859
1610.0,0.31231449400402894,0.29982791628774713,0.322532280347158
1620.0,0.31283572371390383,0.3024008961681315,0.3225956278417156
1630.0,0.313404393554534,0.3042910072275397,0.3229397160937622
1640.0,0.31393665088424894,0.30502779451464634,0.32370014548685444
1650.0,0.3143800892533098,0.30570313580963093,0.3245543746819321
1660.0,0.31467795453187175,0.3055207849722658,0.3249757519681546
1670.0,0.3148294100087149,0.30535515080351056,0.32359702344362923
1680.0,0.314875312051841,0.3064590907667677,0.32255142053198366
1690.0,0.3148741785681384,0.3071928418309856,0.32383430298841415
1700.0,0.31485809189224834,0.30723812179305043,0.3241949677121573
1710.0,0.3148563709906989,0.30632563379433325,0.3244806856265097
1720.0,0.3148906503648756,0.3057171210117557,0.32473095866420876
1730.0,0.3150078412907911,0.30577878237097905,0.32479874105410517
1740.0,0.3152184558485988,0.30568685144149377,0.3244720592891418
1750.0,0.315449708127468,0.3058190166311861,0.32404830940496104
1760.0,0.31564491635939707,0.3061644789154917,0.32445428316830444
1770.0,0.3158036726991979,0.304018104905933,0.322860889452329
1780.0,0.3159134535922498,0.3047476578658916,0.3215814456112493
1790.0,0.31597944419678003,0.3059852895695549,0.32051596729159054
1800.0,0.3159960776027854,0.30586528426543136,0.3210472413335739
1810.0,0.31598576738939105,0.30477977039711435,0.32197932131065327
1820.0,0.315966302817226,0.30378069109228983,0.32306383323752264
1830.0,0.3159190569039079,0.3053722068281821,0.32330238180913756
1840.0,0.31585587497975076,0.3053866540021809,0.3241139396872477
1850.0,0.3158212403320728,0.3064646487824838,0.3249794065801288
1860.0,0.3158274559238849,0.30588290970260423,0.32459282077412166
1870.0,0.31593108971183054,0.3056696172591423,0.324162286501463
1880.0,0.3161269106177016,0.30631655988640427,0.32416252372039983
1890.0,0.3163895102088052,0.3072166790083475,0.32450221436821985
1900.0,0.3166485036619156,0.30703711151101143,0.32460757560860937
1910.0,0.31684771575975046,0.3074201576226241,0.32406383878152817
1920.0,0.3169822449767337,0.30781818216004503,0.3237286150911091
1930.0,0.3170772842249797,0.3074339443560568,0.3234572505973319
1940.0,0.3171711506280866,0.3079417697270427,0.3241239642849658
1950.0,0.3172994536659705,0.3074561085132598,0.3248607094864474
1960.0,0.3174428634667912,0.30689871096397076,0.3253566204393366
1970.0,0.31756271247891804,0.3063396389107055,0.3255453531007684
1980.0,0.31759523564524045,0.3070114317555474,0.32567659544300404
1990.0,0.3175136862729853,0.30761549362733825,0.3256668281239835
2000.0,0.31738646676821997,0.3070647946293775,0.32613195545816054
2010.0,0.3173047268170042,0.30546625578073916,0.32749952821697703
2020.0,0.31731826686774073,0.30498372218408404,0.3279155649584176
2030.0,0.3173955123400343,0.3026872582669744,0.32770329123531566
2040.0,0.31747788741404914,0.3015489703990809,0.3285087874954764
2050.0,0.31755064194452653,0.30156134250222455,0.3289338571683979
2060.0,0.3176152885819352,0.3028449637603324,0.3291285813949718
2070.0,0.3176508816142979,0.3049559100059129,0.32897675440353663
2080.0,0.3176512617435817,0.3071116437992993,0.32865947407003687
2090.0,0.3176026548655333,0.3073840112816801,0.32893186659287715
2100.0,0.31749414851061986,0.30769698560528586,0.32794576125671787
2110.0,0.31735301431553775,0.30789721484179045,0.3274866981315018
2120.0,0.31720249275124185,0.3061939153130993,0.32818139828593257
2130.0,0.31706812083021507,0.3046103903841334,0.3268071785391007
2140.0,0.31695123827865795,0.3034623786811151,0.3256319594992965
2150.0,0.316813940283151,0.3045274454408068,0.32604419810427104
2160.0,0.3165871323097055,0.30558717735641644,0.3264985058994884
2170.0,0.3162516326962175,0.306833165502229,0.32750878317954923
2180.0,0.3158754637879294,0.3078723705290747,0.3274755741090498
