category,minimum_distance_nm,minimum_pair,clash_threshold_nm,pairs_below_threshold
HEAVY_HEAVY,0.05951338697271288,A:LOWER:1:9 | BR:LOWER:11:3,0.12,6
H_HEAVY,0.029396084874328265,BR:UPPER:04:3 | H:UPPER:SEED_PASSIVANT_H:0092,0.07,19
H_H,0.06047275940215483,H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0027 | H:LOWER:BRIDGE_PASSIVANT_H:0075,0.06,0
