topology_path,topology_sha256,HBN_count,PYR_count,SOL_count,local_include_file_count,unresolved_include_count,HBN_definition_found,HBN_definition_index,source_file,definition_line,HBN_atoms_entries,HBN_bonds_entries,HBN_angles_entries,HBN_dihedrals_entries,HBN_pairs_entries,HBN_pairs_nb_entries,HBN_constraints_entries,HBN_exclusions_entries,HBN_settles_entries,HBN_virtual_sites2_entries,HBN_virtual_sites3_entries,HBN_virtual_sites4_entries,likely_original_frozen_HBN
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/hbn_bonded_candidate_kang2000_improperGeo100.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/hbn_bonded_candidate_kang2000_improperGeo100.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,dc43133ad7f37dac7b343fd47108005f212331470696689d3629b2ffa5ca6ab5,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_fixed_dummy.itp,6,1680,0,0,0,0,0,0,0,0,0,0,0,True
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,f241428ed427d21354500d7876c19a44ba5c6d2025b080f180ce62dbb77a91aa,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate.itp,6,1680,2460,4860,0,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,9f4d20b6e80c07f9b90a37259f295190e78465ef1da3f8fada161416d921a92b,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,6,1680,2460,4860,0,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,d15a074648a7e722e2907f7242b0fc5394e5309cb02d0d40915d304bc36a5ef9,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,702b3a948459b6b7806d806ffbe4ae10665d2cb959a52c533687da3d054e5de8,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,0c5147ab0ede4d0aad184aa27500d8c09c3d2e5f13f70907573a54c8540bc94a,1,4,16634,4,0,True,1,parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,6,1680,2460,4860,1620,0,0,0,0,0,0,0,0,False
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,34b651b4a38e2768ac9736f7327525f01a147aad496149d45302244d69b6f4ee,1,4,16634,4,0,True,1,parameters/phase1A/hybrid_hydrated_gromacs/hbn_fixed_dummy.itp,6,1680,0,0,0,0,0,0,0,0,0,0,0,True
