state,PYR2_alternate,PYR2_bright,PYR3_alternate,PYR3_bright,PYR4_alternate,PYR4_bright,PYR5_alternate,PYR5_bright
PYR2_alternate,64.9795918367,50.8231292517,-5.6462585034,12.8503401361,10.2040816327,-10.8979591837,-36.5918367347,-38.612244898
PYR2_bright,50.8231292517,117.006802721,-24.7755102041,32.6394557823,-6.85034013605,3.78911564626,-54.7006802721,-38.1156462585
PYR3_alternate,-5.6462585034,-24.7755102041,169.963718821,91.6575963719,-6.90249433107,-3.1179138322,-72.820861678,-75.4671201814
PYR3_bright,12.8503401361,32.6394557823,91.6575963719,134.902494331,-28.4399092971,-12.2199546485,-86.514739229,-33.3310657596
PYR4_alternate,10.2040816327,-6.85034013605,-6.90249433107,-28.4399092971,139.705215419,63.9002267574,23.2358276644,13.1541950113
PYR4_bright,-10.8979591837,3.78911564626,-3.1179138322,-12.2199546485,63.9002267574,54.8072562358,26.3560090703,28.2675736961
PYR5_alternate,-36.5918367347,-54.7006802721,-72.820861678,-86.514739229,23.2358276644,26.3560090703,223.487528345,171.89569161
PYR5_bright,-38.612244898,-38.1156462585,-75.4671201814,-33.3310657596,13.1541950113,28.2675736961,171.89569161,257.092970522
