dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,0,44.0,1,0.35,8
frozen,0,44.0,1,0.5,31
frozen,0,44.0,2,0.35,7
frozen,0,44.0,2,0.5,24
frozen,0,44.0,3,0.35,7
frozen,0,44.0,3,0.5,23
frozen,0,44.0,4,0.35,8
frozen,0,44.0,4,0.5,27
frozen,1,44.5,1,0.35,6
frozen,1,44.5,1,0.5,31
frozen,1,44.5,2,0.35,8
frozen,1,44.5,2,0.5,24
frozen,1,44.5,3,0.35,8
frozen,1,44.5,3,0.5,24
frozen,1,44.5,4,0.35,8
frozen,1,44.5,4,0.5,30
frozen,2,45.0,1,0.35,7
frozen,2,45.0,1,0.5,31
frozen,2,45.0,2,0.35,3
frozen,2,45.0,2,0.5,26
frozen,2,45.0,3,0.35,4
frozen,2,45.0,3,0.5,23
frozen,2,45.0,4,0.35,7
frozen,2,45.0,4,0.5,33
frozen,3,45.5,1,0.35,4
frozen,3,45.5,1,0.5,30
frozen,3,45.5,2,0.35,5
frozen,3,45.5,2,0.5,25
frozen,3,45.5,3,0.35,7
frozen,3,45.5,3,0.5,24
frozen,3,45.5,4,0.35,6
frozen,3,45.5,4,0.5,30
frozen,4,46.0,1,0.35,7
frozen,4,46.0,1,0.5,33
frozen,4,46.0,2,0.35,4
frozen,4,46.0,2,0.5,29
frozen,4,46.0,3,0.35,5
frozen,4,46.0,3,0.5,21
frozen,4,46.0,4,0.35,5
frozen,4,46.0,4,0.5,28
frozen,5,46.5,1,0.35,5
frozen,5,46.5,1,0.5,32
frozen,5,46.5,2,0.35,6
frozen,5,46.5,2,0.5,30
frozen,5,46.5,3,0.35,2
frozen,5,46.5,3,0.5,21
frozen,5,46.5,4,0.35,7
frozen,5,46.5,4,0.5,28
frozen,6,47.0,1,0.35,3
frozen,6,47.0,1,0.5,32
frozen,6,47.0,2,0.35,6
frozen,6,47.0,2,0.5,31
frozen,6,47.0,3,0.35,3
frozen,6,47.0,3,0.5,23
frozen,6,47.0,4,0.35,3
frozen,6,47.0,4,0.5,33
frozen,7,47.5,1,0.35,5
frozen,7,47.5,1,0.5,35
frozen,7,47.5,2,0.35,5
frozen,7,47.5,2,0.5,26
frozen,7,47.5,3,0.35,3
frozen,7,47.5,3,0.5,17
frozen,7,47.5,4,0.35,7
frozen,7,47.5,4,0.5,33
frozen,8,48.0,1,0.35,3
frozen,8,48.0,1,0.5,35
frozen,8,48.0,2,0.35,3
frozen,8,48.0,2,0.5,30
frozen,8,48.0,3,0.35,3
frozen,8,48.0,3,0.5,24
frozen,8,48.0,4,0.35,8
frozen,8,48.0,4,0.5,32
frozen,9,48.5,1,0.35,4
frozen,9,48.5,1,0.5,35
frozen,9,48.5,2,0.35,2
frozen,9,48.5,2,0.5,25
frozen,9,48.5,3,0.35,1
frozen,9,48.5,3,0.5,22
frozen,9,48.5,4,0.35,5
frozen,9,48.5,4,0.5,30
frozen,10,49.0,1,0.35,5
frozen,10,49.0,1,0.5,29
frozen,10,49.0,2,0.35,8
frozen,10,49.0,2,0.5,22
frozen,10,49.0,3,0.35,2
frozen,10,49.0,3,0.5,20
frozen,10,49.0,4,0.35,7
frozen,10,49.0,4,0.5,33
frozen,11,49.5,1,0.35,3
frozen,11,49.5,1,0.5,32
frozen,11,49.5,2,0.35,3
frozen,11,49.5,2,0.5,24
frozen,11,49.5,3,0.35,3
frozen,11,49.5,3,0.5,25
frozen,11,49.5,4,0.35,5
frozen,11,49.5,4,0.5,34
frozen,12,50.0,1,0.35,5
frozen,12,50.0,1,0.5,31
frozen,12,50.0,2,0.35,11
frozen,12,50.0,2,0.5,24
frozen,12,50.0,3,0.35,7
frozen,12,50.0,3,0.5,30
frozen,12,50.0,4,0.35,6
frozen,12,50.0,4,0.5,31
frozen,13,50.5,1,0.35,6
frozen,13,50.5,1,0.5,28
frozen,13,50.5,2,0.35,4
frozen,13,50.5,2,0.5,25
frozen,13,50.5,3,0.35,3
frozen,13,50.5,3,0.5,23
frozen,13,50.5,4,0.35,6
frozen,13,50.5,4,0.5,30
frozen,14,51.0,1,0.35,5
frozen,14,51.0,1,0.5,28
frozen,14,51.0,2,0.35,5
