source_segment,time_ps,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_identity_retention_fraction,noninitial_lumen_waters,minimum_CAP_OW_distance_nm
source_0_to_20ps,0.0,428,428,1.0,0,0.22018842385889495
source_0_to_20ps,0.5,427,425,0.9929906542056075,2,0.18324282210954362
source_0_to_20ps,1.0,426,423,0.9883177570093458,3,0.18334122826442475
source_0_to_20ps,1.5,427,424,0.9906542056074766,3,0.17888881661571693
source_0_to_20ps,2.0,429,425,0.9929906542056075,4,0.17863350931140543
source_0_to_20ps,2.5,427,424,0.9906542056074766,3,0.17371820796231296
source_0_to_20ps,3.0,428,425,0.9929906542056075,3,0.1931889492390704
source_0_to_20ps,3.5,427,424,0.9906542056074766,3,0.200352197446304
source_0_to_20ps,4.0,426,422,0.985981308411215,4,0.20541881515176133
source_0_to_20ps,4.5,427,423,0.9883177570093458,4,0.19108885454854668
source_0_to_20ps,5.0,426,422,0.985981308411215,4,0.18703485794379224
source_0_to_20ps,5.5,425,422,0.985981308411215,3,0.19234045893329363
source_0_to_20ps,6.0,424,422,0.985981308411215,2,0.1834254955417787
source_0_to_20ps,6.5,422,420,0.9813084112149533,2,0.17508264523649453
source_0_to_20ps,7.0,424,421,0.9836448598130841,3,0.17530807677779317
source_0_to_20ps,7.5,423,421,0.9836448598130841,2,0.1895419477682442
source_0_to_20ps,8.0,421,419,0.9789719626168224,2,0.17814625198761092
source_0_to_20ps,8.5,421,419,0.9789719626168224,2,0.19757231303607864
source_0_to_20ps,9.0,423,421,0.9836448598130841,2,0.18515396919749927
source_0_to_20ps,9.5,422,420,0.9813084112149533,2,0.18797857844299087
source_0_to_20ps,10.0,421,419,0.9789719626168224,2,0.16975868497322852
source_0_to_20ps,10.5,422,420,0.9813084112149533,2,0.19462777709945966
source_0_to_20ps,11.0,420,418,0.9766355140186916,2,0.19558649067172157
source_0_to_20ps,11.5,419,417,0.9742990654205608,2,0.19239543399287892
source_0_to_20ps,12.0,417,415,0.969626168224299,2,0.1930001708511235
source_0_to_20ps,12.5,417,415,0.969626168224299,2,0.18591148723347242
source_0_to_20ps,13.0,416,414,0.9672897196261683,2,0.1830219385724962
source_0_to_20ps,13.5,416,414,0.9672897196261683,2,0.193778144022959
source_0_to_20ps,14.0,415,413,0.9649532710280374,2,0.178252517233537
source_0_to_20ps,14.5,417,415,0.969626168224299,2,0.18813826885905402
source_0_to_20ps,15.0,416,414,0.9672897196261683,2,0.1904389466099289
source_0_to_20ps,15.5,416,414,0.9672897196261683,2,0.1837388239986371
source_0_to_20ps,16.0,417,415,0.969626168224299,2,0.18733933725393417
source_0_to_20ps,16.5,416,414,0.9672897196261683,2,0.19298203644661252
source_0_to_20ps,17.0,415,413,0.9649532710280374,2,0.18879093511481437
source_0_to_20ps,17.5,414,412,0.9626168224299065,2,0.17736124543728038
source_0_to_20ps,18.0,417,415,0.969626168224299,2,0.19458176850987052
source_0_to_20ps,18.5,415,413,0.9649532710280374,2,0.18944915121478262
source_0_to_20ps,19.0,414,412,0.9626168224299065,2,0.19426286734808074
source_0_to_20ps,19.5,416,414,0.9672897196261683,2,0.19295877010671483
source_0_to_20ps,20.0,416,414,0.9672897196261683,2,0.17827225375853534
continuation_20_to_50ps,20.5,416,414,0.9672897196261683,2,0.18192815876381727
continuation_20_to_50ps,21.0,417,415,0.969626168224299,2,0.19027884686969054
continuation_20_to_50ps,21.5,417,415,0.969626168224299,2,0.18740282638315836
continuation_20_to_50ps,22.0,417,415,0.969626168224299,2,0.19810600286922772
continuation_20_to_50ps,22.5,420,418,0.9766355140186916,2,0.18843289843969366
