exciton_state,energy_eV,shift_meV_from_mean_site,participation_ratio,dominant_site,weight_PYR2,weight_PYR3,weight_PYR4,weight_PYR5
X1,3.738122,-22.877965,1.912740,PYR5,0.228208,0.031725,0.057084,0.682983
X2,3.755444,-5.556291,2.468415,PYR2,0.558382,0.186596,0.013513,0.241509
X3,3.761773,0.773303,2.313117,PYR3,0.170325,0.589840,0.235318,0.004517
X4,3.788661,27.660953,1.903120,PYR4,0.043085,0.191839,0.694085,0.070991
