,PYR2,PYR3,PYR4,PYR5
PYR2,0.057000000000000384,0.0,0.0,0.0
PYR3,0.0,0.031000000000000583,0.0,0.0
PYR4,0.0,0.0,0.0730000000000004,0.0
PYR5,0.0,0.0,0.0,-0.1609999999999996
