,PYR2,PYR3,PYR4,PYR5
PYR2,0.08424999999999994,0.0,0.0,0.0
PYR3,0.0,0.06225000000000058,0.0,0.0
PYR4,0.0,0.0,0.07725000000000026,0.0
PYR5,0.0,0.0,0.0,-0.2237499999999999
