end,atom_count,B_count,N_count,center_x_nm,center_y_nm,center_z_nm,center_axial_coordinate_nm,axial_standard_deviation_nm,radius_mean_nm,radius_standard_deviation_nm,radius_minimum_nm,radius_maximum_nm,angular_gap_mean_rad,angular_gap_standard_deviation_rad,angular_gap_maximum_rad,element_alternation_fraction,dominant_element,element_purity_fraction
LOWER,30,30,0,3.6973333333333334,3.697333333333333,2.0,-3.00871428571429,1.0199084774608823e-17,1.1991257007481553,0.00025478688464813183,1.1986667130144595,1.19960183209078,0.20943951023931953,0.0003606278174476951,0.21037147257651667,0.0,B,1.0
UPPER,30,0,30,3.6973333333333334,3.697333333333334,8.018,3.009285714285711,1.019916563546444e-17,1.1991257007481553,0.00025478688464820095,1.198666713014459,1.1996018320907802,0.2094395102393196,0.00036062781744772206,0.21037147257651678,0.0,N,1.0
