frame,PYR2,PYR3,PYR4,PYR5
0,68.9999999999995,78.99999999999974,76.99999999999996,66.00000000000028
1,88.99999999999997,55.00000000000061,72.00000000000006,83.00000000000018
2,84.99999999999997,73.0000000000004,72.00000000000006,68.00000000000006
3,89.00000000000041,67.00000000000017,78.00000000000028,101.99999999999989
4,86.0000000000003,80.99999999999952,62.99999999999972,53.99999999999983
5,61.99999999999939,56.999999999999496,55.00000000000061,73.99999999999984
6,66.00000000000072,76.99999999999996,62.99999999999972,69.0000000000004
7,91.99999999999964,101.00000000000044,73.0000000000004,68.99999999999994
8,84.99999999999952,66.00000000000072,72.00000000000006,77.99999999999984
9,76.99999999999996,73.0000000000004,60.99999999999994,89.99999999999986
10,80.99999999999952,69.0000000000004,79.00000000000063,68.00000000000006
11,89.99999999999986,91.99999999999964,73.99999999999984,67.00000000000017
12,86.99999999999974,74.00000000000074,68.99999999999994,72.99999999999996
13,83.99999999999963,67.00000000000017,71.00000000000063,52.999999999999936
14,84.99999999999997,81.99999999999986,90.99999999999974,57.99999999999983
15,89.99999999999986,80.00000000000007,68.99999999999994,64.00000000000006
16,89.99999999999986,94.00000000000033,67.00000000000017,60.99999999999994
17,92.99999999999996,76.99999999999996,72.00000000000006,59.00000000000016
18,75.99999999999963,72.00000000000006,65.99999999999983,81.99999999999986
19,86.99999999999974,69.9999999999994,88.00000000000009,69.99999999999984
20,68.00000000000051,65.99999999999983,67.00000000000017,80.00000000000007
