atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1015,B1015,1.20613,1.20507,-0.00106
1016,N1016,1.20663,1.20730,0.00067
1017,B1017,1.20674,1.22220,0.01545
1018,N1018,1.20769,1.22698,0.01928
1019,B1019,1.20641,1.24386,0.03745
1020,N1020,1.20641,1.24789,0.04148
1021,B1021,1.20717,1.26618,0.05901
1022,N1022,1.20815,1.27290,0.06475
1023,B1023,1.20681,1.26625,0.05945
1024,N1024,1.20681,1.27692,0.07011
1025,B1025,1.20628,1.26475,0.05847
1026,N1026,1.20768,1.27580,0.06812
1027,B1027,1.20587,1.26884,0.06297
1028,N1028,1.20728,1.27622,0.06894
1029,B1029,1.20709,1.27668,0.06959
1030,N1030,1.20709,1.28483,0.07773
1031,B1031,1.20725,1.28519,0.07794
1032,N1032,1.20851,1.28714,0.07863
1033,B1033,1.20694,1.28753,0.08059
1034,N1034,1.20793,1.28405,0.07612
1035,B1035,1.20788,1.28198,0.07410
1036,N1036,1.20788,1.27556,0.06768
1037,B1037,1.20615,1.25325,0.04710
1038,N1038,1.20741,1.25011,0.04270
1039,B1039,1.20686,1.21590,0.00904
1040,N1040,1.20686,1.21268,0.00582
1041,B1041,1.20622,1.19300,-0.01322
1042,N1042,1.20696,1.18602,-0.02095
1043,B1043,1.20590,1.16010,-0.04580
1044,N1044,1.20671,1.15334,-0.05337
1045,B1045,1.20638,1.13825,-0.06813
1046,N1046,1.20770,1.13392,-0.07378
1047,B1047,1.20651,1.12970,-0.07680
1048,N1048,1.20651,1.12604,-0.08047
1049,B1049,1.20627,1.12446,-0.08181
1050,N1050,1.20627,1.12455,-0.08172
1051,B1051,1.20660,1.13205,-0.07455
1052,N1052,1.20660,1.13437,-0.07223
1053,B1053,1.20657,1.15447,-0.05210
1054,N1054,1.20789,1.15558,-0.05231
1055,B1055,1.20640,1.17754,-0.02886
1056,N1056,1.20780,1.17574,-0.03206
1057,B1057,1.20657,1.20235,-0.00422
1058,N1058,1.20798,1.19698,-0.01100
1059,B1059,1.20640,1.21264,0.00624
1060,N1060,1.20727,1.21423,0.00696
1061,B1061,1.20660,1.21277,0.00617
1062,N1062,1.20755,1.21995,0.01241
1063,B1063,1.20736,1.23375,0.02639
1064,N1064,1.20636,1.23374,0.02738
1065,B1065,1.20641,1.24544,0.03903
1066,N1066,1.20641,1.24152,0.03511
1067,B1067,1.20674,1.25640,0.04965
1068,N1068,1.20769,1.25153,0.04384
1069,B1069,1.20613,1.24642,0.04029
1070,N1070,1.20750,1.24888,0.04138
1071,B1071,1.20547,1.21942,0.01394
1072,N1072,1.20755,1.22288,0.01532
1073,B1073,1.20656,1.20441,-0.00214
1074,N1074,1.20737,1.21625,0.00888
1075,B1075,1.20608,1.21496,0.00888
1076,N1076,1.20700,1.22193,0.01494
1077,B1077,1.20727,1.23560,0.02833
1078,N1078,1.20825,1.23298,0.02473
1079,B1079,1.20674,1.25732,0.05058
1080,N1080,1.20774,1.25599,0.04825
1081,B1081,1.20660,1.27948,0.07289
1082,N1082,1.20786,1.28097,0.07311
1083,B1083,1.20640,1.27772,0.07132
1084,N1084,1.20727,1.28245,0.07518
1085,B1085,1.20657,1.27492,0.06835
1086,N1086,1.20798,1.27706,0.06908
1087,B1087,1.20640,1.27700,0.07060
1088,N1088,1.20780,1.27422,0.06643
1089,B1089,1.20657,1.28464,0.07807
1090,N1090,1.20748,1.28300,0.07552
1091,B1091,1.20660,1.28483,0.07822
1092,N1092,1.20660,1.28755,0.08094
1093,B1093,1.20727,1.28137,0.07410
1094,N1094,1.20727,1.27432,0.06706
1095,B1095,1.20651,1.25952,0.05301
1096,N1096,1.20651,1.25302,0.04651
1097,B1097,1.20638,1.23218,0.02580
1098,N1098,1.20770,1.23167,0.02397
1099,B1099,1.20590,1.19644,-0.00946
1100,N1100,1.20671,1.19284,-0.01387
1101,B1101,1.20622,1.16504,-0.04118
1102,N1102,1.20696,1.15872,-0.04824
1103,B1103,1.20686,1.14087,-0.06598
1104,N1104,1.20772,1.14125,-0.06647
1105,B1105,1.20615,1.13114,-0.07501
1106,N1106,1.20836,1.13221,-0.07615
1107,B1107,1.20689,1.12041,-0.08648
1108,N1108,1.20788,1.11929,-0.08859
1109,B1109,1.20694,1.12454,-0.08239
1110,N1110,1.20793,1.11567,-0.09227
1111,B1111,1.20630,1.14316,-0.06314
1112,N1112,1.20756,1.13245,-0.07511
1113,B1113,1.20709,1.16084,-0.04626
1114,N1114,1.20709,1.16021,-0.04688
1115,B1115,1.20587,1.18349,-0.02238
1116,N1116,1.20728,1.17885,-0.02843
1117,B1117,1.20628,1.20207,-0.00421
1118,N1118,1.20768,1.19994,-0.00774
1119,B1119,1.20681,1.22113,0.01432
1120,N1120,1.20681,1.22087,0.01407
1121,B1121,1.20717,1.22756,0.02039
1122,N1122,1.20815,1.23521,0.02705
1123,B1123,1.20674,1.23803,0.03130
1124,N1124,1.20774,1.24122,0.03349
1125,B1125,1.20727,1.24354,0.03627
1126,N1126,1.20825,1.25112,0.04287
1127,B1127,1.20608,1.24823,0.04215
1128,N1128,1.20700,1.24697,0.03998
1129,B1129,1.20737,1.23669,0.02932
1130,N1130,1.20737,1.24374,0.03638
1131,B1131,1.20614,1.22145,0.01531
1132,N1132,1.20755,1.22706,0.01950
1133,B1133,1.20613,1.21871,0.01257
1134,N1134,1.20750,1.22222,0.01472
1135,B1135,1.20674,1.22030,0.01355
1136,N1136,1.20769,1.21445,0.00676
1137,B1137,1.20641,1.23898,0.03257
1138,N1138,1.20641,1.23200,0.02559
1139,B1139,1.20636,1.26505,0.05869
1140,N1140,1.20636,1.25701,0.05064
1141,B1141,1.20681,1.28532,0.07852
1142,N1142,1.20681,1.28618,0.07937
1143,B1143,1.20628,1.28653,0.08024
1144,N1144,1.20768,1.29339,0.08571
1145,B1145,1.20587,1.27887,0.07300
1146,N1146,1.20728,1.28335,0.07608
1147,B1147,1.20709,1.27341,0.06631
1148,N1148,1.20709,1.26596,0.05886
1149,B1149,1.20630,1.28778,0.08149
1150,N1150,1.20756,1.27717,0.06962
1151,B1151,1.20694,1.27870,0.07176
1152,N1152,1.20793,1.27300,0.06507
1153,B1153,1.20689,1.26672,0.05984
1154,N1154,1.20788,1.26949,0.06161
1155,B1155,1.20615,1.24191,0.03576
1156,N1156,1.20741,1.24226,0.03485
1157,B1157,1.20686,1.20871,0.00185
1158,N1158,1.20772,1.20363,-0.00409
1159,B1159,1.20622,1.17613,-0.03009
1160,N1160,1.20763,1.17539,-0.03225
1161,B1161,1.20671,1.14541,-0.06130
1162,N1162,1.20671,1.14483,-0.06188
1163,B1163,1.20638,1.14051,-0.06587
1164,N1164,1.20770,1.12766,-0.08004
1165,B1165,1.20651,1.12186,-0.08464
1166,N1166,1.20651,1.11938,-0.08713
1167,B1167,1.20627,1.11287,-0.09340
1168,N1168,1.20627,1.10516,-0.10110
1169,B1169,1.20660,1.11378,-0.09282
1170,N1170,1.20660,1.11040,-0.09621
1171,B1171,1.20657,1.14089,-0.06568
1172,N1172,1.20789,1.12597,-0.08192
1173,B1173,1.20640,1.16424,-0.04215
1174,N1174,1.20780,1.15466,-0.05313
1175,B1175,1.20724,1.19114,-0.01610
1176,N1176,1.20798,1.19032,-0.01767
1177,B1177,1.20640,1.20885,0.00245
1178,N1178,1.20727,1.21064,0.00337
1179,B1179,1.20660,1.22691,0.02031
1180,N1180,1.20660,1.23317,0.02657
1181,B1181,1.20636,1.23974,0.03338
1182,N1182,1.20736,1.24075,0.03340
1183,B1183,1.20641,1.25017,0.04376
1184,N1184,1.20740,1.25687,0.04946
1185,B1185,1.20674,1.24838,0.04164
1186,N1186,1.20800,1.25628,0.04827
1187,B1187,1.20663,1.24863,0.04200
1188,N1188,1.20750,1.25118,0.04368
1189,B1189,1.20614,1.23628,0.03014
1190,N1190,1.20755,1.24403,0.03648
1191,B1191,1.20737,1.22073,0.01336
1192,N1192,1.20737,1.22400,0.01663
1193,B1193,1.20700,1.21507,0.00807
1194,N1194,1.20700,1.21701,0.01001
1195,B1195,1.20727,1.21921,0.01194
1196,N1196,1.20825,1.22679,0.01854
1197,B1197,1.20774,1.24785,0.04012
1198,N1198,1.20774,1.25160,0.04386
1199,B1199,1.20717,1.26890,0.06173
1200,N1200,1.20815,1.26876,0.06060
1201,B1201,1.20640,1.29222,0.08582
1202,N1202,1.20727,1.28813,0.08086
1203,B1203,1.20657,1.29128,0.08471
1204,N1204,1.20798,1.28924,0.08125
1205,B1205,1.20640,1.27152,0.06512
1206,N1206,1.20780,1.26492,0.05713
1207,B1207,1.20657,1.26584,0.05927
1208,N1208,1.20748,1.26095,0.05346
1209,B1209,1.20660,1.26810,0.06150
1210,N1210,1.20660,1.26163,0.05503
1211,B1211,1.20627,1.26927,0.06301
1212,N1212,1.20627,1.26527,0.05900
1213,B1213,1.20651,1.24884,0.04233
1214,N1214,1.20671,1.24117,0.03446
1215,B1215,1.20638,1.21455,0.00817
1216,N1216,1.20770,1.21008,0.00239
1217,B1217,1.20671,1.19086,-0.01585
1218,N1218,1.20671,1.18284,-0.02387
1219,B1219,1.20622,1.15672,-0.04950
1220,N1220,1.20696,1.15449,-0.05248
1221,B1221,1.20686,1.13337,-0.07349
1222,N1222,1.20772,1.12802,-0.07970
1223,B1223,1.20710,1.11941,-0.08769
1224,N1224,1.20836,1.11062,-0.09775
1225,B1225,1.20689,1.11074,-0.09615
1226,N1226,1.20788,1.10470,-0.10318
1227,B1227,1.20694,1.10833,-0.09861
1228,N1228,1.20793,1.10251,-0.10542
1229,B1229,1.20630,1.10981,-0.09649
1230,N1230,1.20756,1.10680,-0.10075
1231,B1231,1.20709,1.13214,-0.07495
1232,N1232,1.20709,1.13328,-0.07381
1233,B1233,1.20587,1.17127,-0.03460
1234,N1234,1.20728,1.17185,-0.03543
1235,B1235,1.20628,1.20410,-0.00218
1236,N1236,1.20768,1.20789,0.00021
1237,B1237,1.20589,1.22359,0.01770
1238,N1238,1.20681,1.23256,0.02575
1239,B1239,1.20717,1.23721,0.03004
1240,N1240,1.20717,1.24689,0.03972
1241,B1241,1.20674,1.25322,0.04648
1242,N1242,1.20774,1.26470,0.05697
1243,B1243,1.20727,1.26117,0.05390
1244,N1244,1.20727,1.26906,0.06179
1245,B1245,1.20700,1.26135,0.05436
1246,N1246,1.20700,1.27078,0.06378
1247,B1247,1.20737,1.25014,0.04277
1248,N1248,1.20737,1.25317,0.04580
1249,B1249,1.20614,1.22948,0.02334
1250,N1250,1.20755,1.23210,0.02455
1251,B1251,1.20663,1.21765,0.01101
1252,N1252,1.20750,1.21047,0.00297
1253,B1253,1.20674,1.21800,0.01126
1254,N1254,1.20800,1.21411,0.00611
1255,B1255,1.20740,1.24517,0.03776
1256,N1256,1.20740,1.23725,0.02985
1257,B1257,1.20736,1.25933,0.05197
1258,N1258,1.20736,1.25782,0.05046
1259,B1259,1.20660,1.27206,0.06546
1260,N1260,1.20786,1.27375,0.06589
1261,B1261,1.20628,1.28952,0.08324
1262,N1262,1.20768,1.29766,0.08998
1263,B1263,1.20587,1.27613,0.07026
1264,N1264,1.20728,1.29077,0.08349
1265,B1265,1.20709,1.26462,0.05753
1266,N1266,1.20796,1.26977,0.06181
1267,B1267,1.20630,1.25359,0.04729
1268,N1268,1.20851,1.25284,0.04433
1269,B1269,1.20694,1.26394,0.05700
1270,N1270,1.20793,1.25132,0.04339
1271,B1271,1.20689,1.25055,0.04367
1272,N1272,1.20788,1.24230,0.03441
1273,B1273,1.20615,1.22940,0.02325
1274,N1274,1.20741,1.22875,0.02134
1275,B1275,1.20686,1.18974,-0.01712
1276,N1276,1.20772,1.19148,-0.01624
1277,B1277,1.20622,1.16127,-0.04495
1278,N1278,1.20763,1.15620,-0.05143
1279,B1279,1.20671,1.13181,-0.07490
1280,N1280,1.20671,1.12123,-0.08548
1281,B1281,1.20638,1.10758,-0.09880
1282,N1282,1.20770,1.09827,-0.10943
1283,B1283,1.20651,1.10096,-0.10555
1284,N1284,1.20651,1.08535,-0.12116
1285,B1285,1.20627,1.09568,-0.11058
1286,N1286,1.20627,1.08976,-0.11650
1287,B1287,1.20660,1.09969,-0.10692
1288,N1288,1.20660,1.09801,-0.10860
1289,B1289,1.20657,1.11905,-0.08752
1290,N1290,1.20789,1.11762,-0.09027
1291,B1291,1.20640,1.15260,-0.05380
1292,N1292,1.20780,1.15100,-0.05680
1293,B1293,1.20657,1.19192,-0.01465
1294,N1294,1.20798,1.19541,-0.01257
1295,B1295,1.20640,1.22263,0.01623
1296,N1296,1.20727,1.23425,0.02698
1297,B1297,1.20660,1.24516,0.03857
1298,N1298,1.20755,1.25990,0.05235
1299,B1299,1.20636,1.25983,0.05347
1300,N1300,1.20736,1.27187,0.06452
1301,B1301,1.20641,1.26853,0.06212
1302,N1302,1.20740,1.27915,0.07174
1303,B1303,1.20579,1.27443,0.06864
1304,N1304,1.20800,1.28783,0.07983
1305,B1305,1.20663,1.26387,0.05724
1306,N1306,1.20750,1.26969,0.06219
1307,B1307,1.20614,1.23898,0.03284
1308,N1308,1.20755,1.24670,0.03914
1309,B1309,1.20737,1.21941,0.01204
