time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4
0.0,0.0,0.0,0.0,1.0,0.3927478485902412,0.004553702830783028,0.20794238613475677,0.394756062444219
10.0,0.008197849006249008,0.010704012549677013,0.22652816764470626,0.7545699707993677,0.39540616453488703,0.01264571762065846,0.20814004452256837,0.38380807332188616
20.0,0.016209962974712944,0.06404143189690882,0.6227164530226652,0.29703215210571327,0.39801541483626174,0.020525831723769823,0.2082654768641126,0.3731932765758561
30.0,0.024236602779351753,0.2087406272643681,0.7344326329619028,0.03259013699437788,0.4005765051193563,0.028199507773173968,0.208322559033168,0.36290142807430226
40.0,0.03272744176313814,0.414650800054153,0.44960710798732534,0.10301465019538414,0.4030903242936643,0.035672069088183905,0.20831500546017911,0.3529226011579734
50.0,0.04209976609274625,0.5676690912992534,0.10295604480165804,0.28727509780634275,0.40555774486170587,0.042948703200497484,0.2082463751974886,0.34324717674030863
60.0,0.05223804624016193,0.5663795655372104,0.07838041740504749,0.3030019708175807,0.40797962322185916,0.05003446529155814,0.20812007776882369,0.33386583371775963
70.0,0.062334951624644606,0.41722794478169006,0.37974229932607934,0.14069480426758654,0.41035679996560087,0.056934281543373946,0.20793937881045957,0.3247695396805663
80.0,0.07138320185003132,0.2263526987644499,0.6487672084620524,0.053496890923466905,0.4126901001692613,0.0636529524049654,0.20770740551123676,0.31594954191453717
90.0,0.07892627236586439,0.10003646254968317,0.5843016773549355,0.23673558772951733,0.4149803336803934,0.07019515577655747,0.20742715185836863,0.307397358684681
100.0,0.0853250298485641,0.06123114377819453,0.2737043300168052,0.5797394963564365,0.4172282953988561,0.07656545011357965,0.20710148369573547,0.2991047707918293
110.0,0.09125203036598505,0.06306297892269536,0.07308003380284622,0.7726049569084739,0.4194347655527112,0.08276827745248476,0.20673314360114176,0.2910638133936629
120.0,0.09693447934153805,0.06860456945982843,0.19563709281332153,0.6388238583853123,0.4216005099690264,0.08880796636034866,0.20632475558879132,0.28326676808183404
130.0,0.10194892952297367,0.09799381377876866,0.48281532657659576,0.3172419301216623,0.4237262803396826,0.09468873481016234,0.20587882964302462,0.2757061552071309
140.0,0.10579523867239146,0.19132036264486457,0.6022120623223194,0.10067233636042486,0.425812814482271,0.10041469298368046,0.20539776608915805,0.26837472644489097
