k_down_ps,gamma_phi_ps,solver_success,max_trace_error,max_hermiticity_error,min_density_eigenvalue,final_PYR2,final_PYR3,final_PYR4,final_PYR5,max_PYR2,time_max_PYR2_fs,t_PYR2_1pct_fs,t_PYR2_5pct_fs,t_PYR2_10pct_fs,final_purity
0.1,1.0,True,1.4037110866633748e-14,1.6909068870602705e-14,0.0,0.28833214427547654,0.17701344795039145,0.28127950773187355,0.2533749000422604,0.28833214427547654,10000.0,60.0,600.0,1340.0,0.372332882621795
1.0,1.0,True,3.453978066919258e-14,9.761645781754096e-14,0.0,0.30543168920712677,0.16091885097789438,0.28315752220230317,0.2504919376126745,0.3056153717502963,2670.0,20.0,60.0,130.0,0.3989194483511085
5.0,1.0,True,7.9336585128548e-14,1.770021770788752e-13,0.0,0.3054316884481723,0.1609188511065294,0.283157521472731,0.2504919389725643,0.30575050632670603,450.0,10.0,20.0,30.0,0.3989194490484453
10.0,1.0,True,9.072169100350721e-14,1.213710166842912e-13,0.0,0.305431688446681,0.1609188513387439,0.2831575203782093,0.25049193983636475,0.3055074605354796,330.0,10.0,10.0,20.0,0.3989194490484469
