time_fs,PYR2,PYR3,PYR4,PYR5
0.0,0.0,0.0,0.0,1.0
10.0,5.49862549773999e-07,0.0037945024223517373,0.2186852932785139,0.7775196544365846
20.0,2.9628296793930756e-05,0.049399178202907144,0.6096561053856058,0.3409150881146931
30.0,0.0002626770605555416,0.1822516095611772,0.7349605941629371,0.0825251192153301
40.0,0.0010614777860160568,0.3734306975108964,0.48700818579856103,0.13849963890452635
50.0,0.0026911704868529656,0.5206903392745755,0.16828932697559312,0.30832916326297816
60.0,0.004947308889465362,0.5374198537717151,0.121139556647532,0.3364932806912873
70.0,0.0071746571358790685,0.43121498103869066,0.35625820263681013,0.20535215918861977
80.0,0.008762972976718799,0.2900644485297675,0.5801964384654463,0.12097614002806698
90.0,0.009629129682609606,0.19757132410745135,0.5472136434203805,0.24558590278955833
100.0,0.010165944737936859,0.16927331747354257,0.31945950958652364,0.5011012282019968
110.0,0.010726785406605075,0.16806671738076912,0.1649845327342695,0.6562219644783559
120.0,0.011240236771310287,0.1663253818356417,0.2443015597507983,0.5781328216422491
130.0,0.011392715660279322,0.17874521512880026,0.4477521974469629,0.3621098717639569
140.0,0.011155348861684853,0.23396931975235213,0.5427845470638709,0.21209078432209136
150.0,0.011025285638093426,0.32616742863784554,0.43791162530962974,0.22489566041443054
160.0,0.011663374454117857,0.4067799884045224,0.26558180406298326,0.31597483307837587
170.0,0.013283875371033897,0.4266020493774363,0.21471262481817557,0.3454014504333536
180.0,0.015433494168352251,0.38119771951040404,0.321422033699374,0.28194675262186925
190.0,0.01738548956146719,0.3115861401897246,0.4482046818583275,0.22282368839048033
200.0,0.01873626044565196,0.2630631184613228,0.4526226085131533,0.2655780125798714
210.0,0.01961668579149024,0.24796282414002116,0.3419609404483501,0.3904595496201378
220.0,0.020374240034872666,0.24809315682977176,0.24838941509781529,0.48314318803753986
230.0,0.021132495392077982,0.2462986612753197,0.271663204944557,0.4609056383880449
240.0,0.02170648393373935,0.247797440532497,0.37428503089302906,0.35621104464073405
250.0,0.021915255075869413,0.2692331163171818,0.4367287277728795,0.2721229008340688
260.0,0.021897445685683994,0.31239304133636636,0.39535102665831556,0.2703584863196337
270.0,0.022063744642082748,0.3552593969528226,0.3048425398517811,0.3178343185533131
280.0,0.022739351624316832,0.3708698116448505,0.2661499197426579,0.3402409169881743
290.0,0.023879503173758716,0.3526031217919499,0.3126592894335588,0.31085808560073214
300.0,0.025140899901286717,0.3187530674516064,0.3821337674645442,0.27397226518256224
310.0,0.026206640975380717,0.29333575522850897,0.39502172335159863,0.28543588044451146
320.0,0.027021658483470375,0.2850671600855053,0.3425527107804361,0.34535847065058795
330.0,0.027732498114094763,0.28551646578811074,0.28828979138399263,0.3984612447138014
