initial_state,gamma0_maximum_transfer_out,gamma_maximizing_transfer_out_ps_inv,maximum_transfer_out,transfer_out_change_vs_gamma0,gamma_minimizing_time_average_survival_ps_inv,minimum_time_average_survival,gamma_maximizing_other_high_population_ps_inv,maximum_other_high_population,gamma_maximizing_PYR5_population_ps_inv,maximum_PYR5_population
PYR2_bright,0.1265142513089048,10.0,0.5919478270636733,0.4654335757547685,10.0,0.5388372472090596,10.0,0.590314559245173,10.0,0.0016332678184651467
PYR3_bright,0.1432238824451243,10.0,0.6409850158192102,0.4977611333740859,10.0,0.4542875929296918,10.0,0.6385593832025555,10.0,0.0024256326166220755
PYR4_bright,0.09474472558594349,10.0,0.5778911600861545,0.483146434500211,10.0,0.5613198118549237,10.0,0.5728905229205703,10.0,0.0050006371655506926
PYR5_bright,8.553360317287151e-05,10.0,0.009059537600670575,0.008974003997497704,10.0,0.9954370648696348,10.0,0.009059537600637928,0.0,1.0
