end,terminal_atom_count,B_count,N_count,axial_mean_nm,axial_minimum_nm,axial_maximum_nm,axial_standard_deviation_nm,radius_mean_nm,radius_standard_deviation_nm,radius_minimum_nm,radius_maximum_nm
LOWER,30,30,0,-3.00871428571429,-3.00871428571429,-3.00871428571429,0.0,1.1991257007481553,0.00025478688464813183,1.1986667130144595,1.19960183209078
UPPER,30,0,30,3.009285714285711,3.009285714285711,3.009285714285711,0.0,1.1991257007481553,0.00025478688464820095,1.198666713014459,1.1996018320907802
