MO,PYR3_fraction,PYR4_fraction,WATER_fraction
289a,0.993853,0.000000,0.006147
290a,0.000000,0.972540,0.027460
291a,0.994204,0.000000,0.005796
292a,0.000000,0.994505,0.005495
293a,0.995786,0.000000,0.004214
295a,0.000000,0.988781,0.011219
