frame,time_ps,raw_eigen_index,matched_corrected_eigen_index,point_eigenvalue_eV,corrected_eigenvalue_eV,shift_meV,absolute_shift_meV
0,0.0,1,1,0.028993469347450545,0.02899286527160771,-0.0006040758428332849,0.0006040758428332849
0,0.0,2,2,0.3178702090753598,0.3178621738640465,-0.008035211313262014,0.008035211313262014
0,0.0,3,3,0.328995718985131,0.3290083056923968,0.012586707265782593,0.012586707265782593
0,0.0,4,4,0.3401406025920587,0.3401366551719487,-0.003947420110006483,0.003947420110006483
1,5.0,1,1,0.005993634555315452,0.005993044245034266,-0.0005903102811861266,0.0005903102811861266
1,5.0,2,2,0.31487033310582124,0.3148677214320583,-0.0026116737629200415,0.0026116737629200415
1,5.0,3,3,0.3330646090475527,0.33306938488857835,0.004775841025650429,0.004775841025650429
1,5.0,4,4,0.33907142329131057,0.339069849434329,-0.0015738569815737513,0.0015738569815737513
2,10.0,1,1,0.02899390238206396,0.02899333869002475,-0.0005636920392092237,0.0005636920392092237
2,10.0,2,2,0.3356189014592937,0.33561479070309963,-0.004110756194053433,0.004110756194053433
2,10.0,3,3,0.3432081103588813,0.34320244513513176,-0.005665223749562465,0.005665223749562465
2,10.0,4,4,0.34417908579976075,0.34418942547174386,0.010339671983106147,0.010339671983106147
3,15.0,1,1,-5.303682843321136e-06,-5.791394559117904e-06,-0.00048771171579676815,0.00048771171579676815
3,15.0,2,2,0.32089925506603534,0.32089842862231016,-0.0008264437251770396,0.0008264437251770396
3,15.0,3,3,0.34705727645151124,0.34705594856269195,-0.0013278888192913563,0.0013278888192913563
3,15.0,4,4,0.35404877216529634,0.3540514142095571,0.002642044260758869,0.002642044260758869
4,20.0,1,1,0.010993697916624984,0.010993113739359182,-0.0005841772658023853,0.0005841772658023853
4,20.0,2,2,0.336796783571164,0.33680378078080103,0.006997209637038537,0.006997209637038537
4,20.0,3,3,0.34497798589909034,0.3449568637374605,-0.021122161629860692,0.021122161629860692
4,20.0,4,4,0.35123153261312057,0.3512462417423795,0.014709129258938525,0.014709129258938525
5,25.0,1,1,0.04699341098659116,0.04699280734136025,-0.0006036452309121643,0.0006036452309121643
5,25.0,2,2,0.3018856415103661,0.3018820970106409,-0.0035444997252276345,0.0035444997252276345
5,25.0,3,3,0.31807320683373497,0.3180781377407108,0.0049309069758418644,0.0049309069758418644
5,25.0,4,4,0.33904774066930793,0.33904695790728795,-0.0007827620199796215,0.0007827620199796215
6,30.0,1,1,0.0259937322850623,0.0259931515230329,-0.000580762029397941,0.000580762029397941
6,30.0,2,2,0.3308993437347236,0.3308935001851415,-0.005843549582107421,0.005843549582107421
6,30.0,3,3,0.34169994544381116,0.3417114578121036,0.011512368292443398,0.011512368292443398
6,30.0,4,4,0.3464069785364026,0.3464018904797219,-0.005088056680702113,0.005088056680702113
7,35.0,1,1,0.039993266778329165,0.03999264492097681,-0.0006218573523550375,0.0006218573523550375
7,35.0,2,2,0.31989671269125347,0.3198962615508582,-0.0004511403952633941,0.0004511403952633941
7,35.0,3,3,0.3430660302522761,0.3430646038114406,-0.0014264408355058045,0.0014264408355058045
7,35.0,4,4,0.35304399027814154,0.35304648971672464,0.0024994385831034194,0.0024994385831034194
8,40.0,1,1,0.04299335544810665,0.04299274213847565,-0.0006133096310048658,0.0006133096310048658
8,40.0,2,2,0.32269509830378884,0.3226834910290492,-0.011607274739644513,0.011607274739644513
8,40.0,3,3,0.32922486989035377,0.32923920007629287,0.01433018593910429,0.01433018593910429
8,40.0,4,4,0.3420866763577507,0.3420845667561825,-0.0021096015682120495,0.0021096015682120495
9,45.0,1,1,-5.824794003959536e-06,-6.362856216715439e-06,-0.0005380622127559029,0.0005380622127559029
9,45.0,2,2,0.32463402877193914,0.32463875476968185,0.00472599774270499,0.00472599774270499
9,45.0,3,3,0.33029634594851887,0.33028742403276024,-0.00892191575863066,0.00892191575863066
9,45.0,4,4,0.3440754500735458,0.34408018405377494,0.004733980229154611,0.004733980229154611
10,50.0,1,1,0.0409932824710119,0.040992664483674106,-0.000617987337796222,0.000617987337796222
10,50.0,2,2,0.3148555216832405,0.3148504952892508,-0.00502639398969329,0.00502639398969329
10,50.0,3,3,0.3290983782784235,0.32910495726207456,0.006578983651084336,0.006578983651084336
10,50.0,4,4,0.3490528175673243,0.3490518829650008,-0.0009346023235323742,0.0009346023235323742
11,55.0,1,1,0.03699298159495936,0.03699233258170886,-0.0006490132505032609,0.0006490132505032609
11,55.0,2,2,0.3208641131463414,0.32086349081632587,-0.0006223300155205891,0.0006223300155205891
11,55.0,3,3,0.3400856365348442,0.34008360565808254,-0.0020308767616494805,0.0020308767616494805
11,55.0,4,4,0.3480572687238549,0.3480605709438829,0.0033022200279786418,0.0033022200279786418
12,60.0,1,1,0.04699347166268069,0.046992869042013136,-0.0006026206675543988,0.0006026206675543988
12,60.0,2,2,0.32879176553009365,0.32877893434893707,-0.012831181156580662,0.012831181156580662
12,60.0,3,3,0.33612343266624145,0.3361391524779567,0.0157198117152757,0.0157198117152757
12,60.0,4,4,0.3540913301409838,0.3540890441310928,-0.0022860098909949222,0.0022860098909949222
13,65.0,1,1,0.032993551674067846,0.03299295727828837,-0.0005943957794782295,0.0005943957794782295
13,65.0,2,2,0.32389636197980654,0.32389501005245813,-0.0013519273484030592,0.0013519273484030592
13,65.0,3,3,0.35201982277651916,0.35201972842762147,-9.434889769455168e-05,9.434889769455168e-05
