frame,time_ps,site_a,family_a,state_index_a,state_label_a,site_b,family_b,state_index_b,state_label_b,distance_A,distance_bohr,minimum_all_atom_distance_A,relative_permittivity,orientation_factor_kappa,mu_a_magnitude_au,mu_b_magnitude_au,J_hartree,J_eV,J_meV,J_cm-1,absolute_J_meV
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR3,alternate_like,2,PYR3_alternate,26.896124764429352,50.826309618536285,20.692322247635712,1.0,1.502149544333242,0.12855853530590647,0.283087852971476,4.163605634570816e-07,1.1329748109827844e-05,0.011329748109827845,0.09138058118195666,0.011329748109827845
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR3,bright_like,3,PYR3_bright,26.896124764429352,50.826309618536285,20.692322247635712,1.0,-1.4900219957811371,0.12855853530590647,2.2468030068966884,-3.2778785518883264e-06,-8.919561934287306e-05,-0.08919561934287307,-0.7194111868529588,0.08919561934287307
0,0.0,PYR2,bright_like,1,PYR2_bright,PYR3,alternate_like,2,PYR3_alternate,26.896124764429352,50.826309618536285,20.692322247635712,1.0,1.3117105975732963,2.2245082082563776,0.283087852971476,6.2911138018916565e-06,0.0001711899275807399,0.1711899275807399,1.380739882580036,0.1711899275807399
0,0.0,PYR2,bright_like,1,PYR2_bright,PYR3,bright_like,3,PYR3_bright,26.896124764429352,50.826309618536285,20.692322247635712,1.0,-1.1303182163643686,2.2245082082563776,2.2468030068966884,-4.3026300163466746e-05,-0.0011708052724839102,-1.1708052724839102,-9.443181367613347,1.1708052724839102
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR4,alternate_like,4,PYR4_alternate,42.49054542354835,80.29549373647727,38.445491283114066,1.0,-0.7078524549732327,0.12855853530590647,0.39851556029846563,-7.00511747912339e-08,-1.9061895742294834e-06,-0.0019061895742294836,-0.015374455764376523,0.0019061895742294836
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR4,bright_like,5,PYR4_bright,42.49054542354835,80.29549373647727,38.445491283114066,1.0,0.7363567288599426,0.12855853530590647,2.2408764569471473,4.0976378302775033e-07,1.1150240569585337e-05,0.011150240569585336,0.08993275522899705,0.011150240569585336
0,0.0,PYR2,bright_like,1,PYR2_bright,PYR4,alternate_like,4,PYR4_alternate,42.49054542354835,80.29549373647727,38.445491283114066,1.0,-0.8582712046980466,2.2245082082563776,0.39851556029846563,-1.4697054994173209e-06,-3.999272401249741e-05,-0.03999272401249741,-0.3225630727078131,0.03999272401249741
0,0.0,PYR2,bright_like,1,PYR2_bright,PYR4,bright_like,5,PYR4_bright,42.49054542354835,80.29549373647727,38.445491283114066,1.0,0.9729982350439683,2.2245082082563776,2.2408764569471473,9.368940053949587e-06,0.00025494184652352983,0.25494184652352986,2.056244664672898,0.25494184652352986
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR5,alternate_like,6,PYR5_alternate,46.89345298869688,88.6157831866509,40.25149314000662,1.0,0.46852645343169486,0.12855853530590647,0.4747705815443918,4.109467902294129e-08,1.118243183548156e-06,0.0011182431835481562,0.009019239529849059,0.0011182431835481562
0,0.0,PYR2,alternate_like,0,PYR2_alternate,PYR5,bright_like,7,PYR5_bright,46.89345298869688,88.6157831866509,40.25149314000662,1.0,-0.36100270966209,0.12855853530590647,2.6551891416243776,-1.7708166650552107e-07,-4.8186376243649696e-06,-0.00481863762436497,-0.03886493347877305,0.00481863762436497
