model,initial_state,time_ps,mean_PYR2_bright,sd_PYR2_bright,q05_PYR2_bright,q50_PYR2_bright,q95_PYR2_bright,mean_PYR3_bright,sd_PYR3_bright,q05_PYR3_bright,q50_PYR3_bright,q95_PYR3_bright,mean_PYR4_bright,sd_PYR4_bright,q05_PYR4_bright,q50_PYR4_bright,q95_PYR4_bright,mean_PYR5_bright,sd_PYR5_bright,q05_PYR5_bright,q50_PYR5_bright,q95_PYR5_bright
point_dipole,PYR2_bright,0.0,1.0000000000000002,7.737500112150126e-16,0.9999999999999993,1.0,1.0000000000000009,1.5187705008802737e-32,2.4247875801622339e-32,8.03639838167907e-35,4.4855210710073177e-33,7.457289096039137e-32,1.0246174070027154e-33,1.1818185125885633e-33,2.788820809139676e-36,3.80829678408193e-34,3.545530160095228e-33,3.1459028571524266e-33,4.9963399980509584e-33,2.966049453721824e-36,6.696053991920442e-34,1.2691133375017782e-32
point_dipole,PYR2_bright,0.005,0.9999171921573387,3.6073903563389213e-06,0.9999128679482271,0.9999157503248473,0.9999232084185181,7.882502731901567e-05,3.481435481037589e-06,7.287688474906868e-05,8.026054448100291e-05,8.301563712059813e-05,3.777957373908094e-06,1.467749789732312e-07,3.6118373258280578e-06,3.807281781352298e-06,3.905303534738963e-06,2.0485796872994047e-07,1.79713051717379e-08,1.7502841277315533e-07,2.1059892702601097e-07,2.250671616790609e-07
point_dipole,PYR2_bright,0.01,0.9996709149152924,1.469715521538864e-05,0.9996524969593542,0.9996671435279162,0.9996949020110244,0.0003139252673117003,1.4203674454337072e-05,0.0002901534148243942,0.00031725736312951364,0.0003318548366347607,1.5017898194559187e-05,6.16443819611191e-07,1.4394893736125947e-05,1.512355517907063e-05,1.558576475185122e-05,1.4191920163266186e-07,5.4316221147063424e-08,7.18709114319446e-08,1.3605743573629183e-07,2.284278725559996e-07
point_dipole,PYR2_bright,0.015,0.9992650919014243,3.4924985871486525e-05,0.9992198203686968,0.9992569738014498,0.9993220155420881,0.0007013320220939996,3.373715413386835e-05,0.000645071457223134,0.0007091767056862793,0.000746012252334832,3.3544855563273035e-05,1.5165674713287213e-06,3.2288379175197317e-05,3.376339962782289e-05,3.502640290476583e-05,3.1220918373201055e-08,3.150568166973599e-08,3.2200218358637986e-10,1.8993114503872236e-08,8.870171149777668e-08
point_dipole,PYR2_bright,0.02,0.9987063304883183,6.881164150775886e-05,0.9986158449630622,0.9986900029037806,0.9988376878691669,0.0012344905534803219,6.656524435637625e-05,0.0011048221396899914,0.0012497858435967153,0.001324536767822929,5.8957037412106526e-05,3.06000267672686e-06,5.638282952238641e-05,5.9119597179498134e-05,6.212231448027666e-05,2.2192078945606583e-07,2.9979689832857114e-08,1.7808716774586245e-07,2.2834517234515225e-07,2.6806815029303163e-07
point_dipole,PYR2_bright,0.025,0.9980044535850754,0.00012484803042212814,0.99784358394264,0.9979868392871467,0.9982534441134294,0.0019046515568777115,0.00012105398725456768,0.0016744252503151354,0.0019209142714865215,0.002065988945566959,9.080280545768552e-05,5.617775744147229e-06,8.482512446511865e-05,9.03664803689912e-05,9.717775327445023e-05,9.205258942859626e-08,8.77527132691736e-08,1.7567112080171805e-09,7.331283274192357e-08,2.5370220576692963e-07
point_dipole,PYR2_bright,0.03,0.9971701429987412,0.00021468189469601577,0.9969057523751739,0.997158854824061,0.9975210010175024,0.002701199573034111,0.0002086506456505366,0.002380582258430802,0.00271080424574519,0.002965601227200878,0.00012856800664862408,9.620514976939072e-06,0.00011672184348124334,0.0001267934572299704,0.00014011027620836297,8.942157625011924e-08,7.220850784840989e-08,2.1850181347547778e-09,7.057126705213675e-08,2.0305178556036552e-07
point_dipole,PYR2_bright,0.035,0.9962164451323006,0.0003515325209017234,0.9958052612576714,0.9961766398268781,0.9968022485836461,0.003611853400771524,0.00034232453088289697,0.0030365089551812165,0.003652679480041823,0.004021400940723442,0.00017150979475333706,1.5572738142181458e-05,0.0001504382421968667,0.00017048983528197142,0.00019158028685019787,1.9167217501044005e-07,8.087507757110486e-08,4.891161894183659e-08,2.0115892239184254e-07,3.016578208446658e-07
point_dipole,PYR2_bright,0.04,0.9951574363094237,0.000548808432244765,0.9945469038841762,0.9950618645620457,0.9961499741116199,0.004623430427804348,0.0005353012751847436,0.0036475930409879966,0.004717955015699272,0.005229911833836313,0.00021904301269630406,2.4039662663987863e-05,0.00018448423992394755,0.00021748154382226839,0.00025282898312921977,9.02500758085677e-08,9.39512127144048e-08,3.3839266483034833e-09,5.4049530918542135e-08,2.82390659444559e-07
point_dipole,PYR2_bright,0.045,0.9940073609636851,0.0008193809310303577,0.9931349435427733,0.9938287870039072,0.9955640141645379,0.0057220736105769105,0.0008002092081917603,0.004190921333259317,0.00589610585795282,0.006586868694926222,0.00027044318981980363,3.546755802525732e-05,0.00021744075685554404,0.0002669831399962608,0.0003236109387421781,1.222359183584537e-07,7.923571129057774e-08,7.74903368016208e-09,1.1538422716991206e-07,2.599377858941632e-07
