pyr_label,resid,n_atoms,first_index,last_index,center_x_nm,center_y_nm,center_z_nm
PYR1,2,26,1681,1706,5.346500,3.697269,2.999923
PYR2,3,26,1707,1732,3.697154,5.346423,4.339115
PYR3,4,26,1733,1758,2.048038,3.697154,5.678308
PYR4,5,26,1759,1784,3.696923,1.929077,7.017500
