frame,time_ps,site_a,site_b,correction_factor,point_J_meV,corrected_J_meV,delta_J_meV,absolute_delta_J_meV
0,0.0,PYR2,PYR3,1.0325137161681432,-1.170805272,-1.2088725023019737,-0.03806723030197381,0.03806723030197381
0,0.0,PYR2,PYR4,0.993008953321901,0.254941847,0.25315953664742225,-0.0017823103525777613,0.0017823103525777613
0,0.0,PYR2,PYR5,1.072071443346059,0.07332425100000001,0.07860883560183872,0.005284584601838711,0.005284584601838711
0,0.0,PYR3,PYR4,0.9828484777682837,1.221498881,1.200548315786512,-0.02095056521348804,0.02095056521348804
0,0.0,PYR3,PYR5,0.9862136186084035,0.286177139,0.2822317918161901,-0.003945347183809903,0.003945347183809903
0,0.0,PYR4,PYR5,1.047718272347946,-1.391671181,-1.4580793254337456,-0.06640814443374557,0.06640814443374557
1,5.0,PYR2,PYR3,1.0325137161681432,-1.124713113,-1.1612817159266708,-0.03656860292667089,0.03656860292667089
1,5.0,PYR2,PYR4,0.993008953321901,0.25505781899999996,0.2532746978817568,-0.0017831211182431405,0.0017831211182431405
1,5.0,PYR2,PYR5,1.072071443346059,0.071086435,0.0762097369727758,0.005123301972775803,0.005123301972775803
1,5.0,PYR3,PYR4,0.9828484777682837,1.190348437,1.1699321493193056,-0.02041628768069425,0.02041628768069425
1,5.0,PYR3,PYR5,0.9862136186084035,0.279871718,0.27601329975493066,-0.0038584182450693586,0.0038584182450693586
1,5.0,PYR4,PYR5,1.047718272347946,-1.423644666,-1.4915785298988884,-0.06793386389888846,0.06793386389888846
2,10.0,PYR2,PYR3,1.0325137161681432,-1.18621423,-1.2247824627888326,-0.03856823278883259,0.03856823278883259
2,10.0,PYR2,PYR4,0.993008953321901,0.260615666,0.2587936897139501,-0.001821976286049882,0.001821976286049882
2,10.0,PYR2,PYR5,1.072071443346059,0.07998493699999999,0.08574956685553359,0.005764629855533596,0.005764629855533596
2,10.0,PYR3,PYR4,0.9828484777682837,1.219527335,1.1986105848015618,-0.020916750198438257,0.020916750198438257
2,10.0,PYR3,PYR5,0.9862136186084035,0.281878082,0.2779920032556163,-0.0038860787443837177,0.0038860787443837177
2,10.0,PYR4,PYR5,1.047718272347946,-1.350418672,-1.4148583179742475,-0.06443964597424752,0.06443964597424752
3,15.0,PYR2,PYR3,1.0325137161681432,-1.182514759,-1.2209627082387664,-0.03844794923876641,0.03844794923876641
3,15.0,PYR2,PYR4,0.993008953321901,0.256686163,0.2548916580528449,-0.0017945049471551101,0.0017945049471551101
3,15.0,PYR2,PYR5,1.072071443346059,0.0812699,0.08712713899358988,0.005857238993589873,0.005857238993589873
3,15.0,PYR3,PYR4,0.9828484777682837,1.230409991,1.2093065866852375,-0.021103404314762406,0.021103404314762406
3,15.0,PYR3,PYR5,0.9862136186084035,0.281189188,0.2773126066110387,-0.0038765813889613215,0.0038765813889613215
3,15.0,PYR4,PYR5,1.047718272347946,-1.321082903,-1.3841226967595688,-0.0630397937595689,0.0630397937595689
4,20.0,PYR2,PYR3,1.0325137161681432,-1.201114932,-1.2401676419843666,-0.03905270998436658,0.03905270998436658
