end,mapping_id,fit_mode,seed_parity,orientation,rotation_index,chirality,linear_determinant,singular_value_minimum,singular_value_maximum,maximum_principal_strain,affine_anisotropy,annulus_center_offset_nm,optimal_axial_gap_nm,lateral_residual_mean_nm,lateral_residual_minimum_nm,lateral_residual_maximum_nm,attachment_bond_mean_nm,attachment_bond_minimum_nm,attachment_bond_maximum_nm,attachment_RMS_deviation_nm,attachment_maximum_deviation_nm,annulus_bond_count,annulus_bond_mean_nm,annulus_bond_minimum_nm,annulus_bond_maximum_nm,annulus_bond_maximum_deviation_nm,attachment_thresholds_pass,annulus_strain_thresholds_pass,annulus_center_threshold_pass,positive_axial_gap_pass,local_preoptimization_pass,similarity_scale
LOWER,LOWER:P0:O1:R0,RIGID,0,1,0,1,1.0,1.0,1.0000000000000002,2.220446049250313e-16,1.0000000000000002,9.493783745161259e-16,0.00011,0.3102073857218622,0.17767126322229568,0.4412630269850429,0.3102077756284415,0.17767473879551968,0.44126304062465627,0.1983284372411085,0.29629004062465625,168,0.144973,0.14497299999999985,0.14497300000000019,1.942890293094024e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R0,SIMILARITY,0,1,0,1,1.141348870818001,1.0683393050983385,1.0683393050983387,0.06833930509833874,1.0000000000000002,9.88045174056975e-16,0.00035000000000000005,0.28919119319286124,0.1083198033543122,0.4521642297621256,0.2891922561610079,0.1083282320687031,0.45216436500098545,0.20007269593951083,0.30719136500098543,168,0.15488035407802142,0.15488035407802123,0.15488035407802156,0.009907354078021569,False,False,True,True,False,1.0683393050983385
LOWER,LOWER:P0:O1:R0,RIGID,0,1,0,-1,-1.0,1.0,1.0,0.0,1.0,9.653029786587643e-16,0.0,1.4306011898114646,0.07302763298655117,2.2268697618269053,1.4306013302021194,0.07302885617762195,2.2268697673041937,1.4779434469570327,2.081896767304194,168,0.144973,0.14497299999999977,0.14497300000000016,2.220446049250313e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R0,SIMILARITY,0,1,0,-1,-3.847505200573554e-10,1.961505850252186e-05,1.9615058502521862e-05,0.9999803849414974,1.0000000000000002,9.418524250921919e-16,0.0,1.1925592552926798,1.1922032002673424,1.1928629139330014,1.192559314659422,1.192203225466943,1.1928629391186654,1.047586330540688,1.0478899391186653,168,2.8436538762861014e-06,2.8436538762860985e-06,2.8436538762861023e-06,0.1449701563461237,False,False,True,False,False,1.961505850252186e-05
LOWER,LOWER:P0:O1:R0,AFFINE,0,1,0,0,1.1413488704332504,1.0683196900398362,1.0683589201568406,0.06835892015684064,1.0000367213273051,8.832855135851265e-16,0.00035000000000000005,0.28919119480044747,0.10831377284736148,0.4521464132792851,0.2891922578059016,0.10832220203099524,0.4521465485234739,0.2000726936361467,0.3071735485234739,168,0.15488035409107392,0.15487757576231878,0.15488226812404016,0.009909268124040166,False,False,True,True,False,
LOWER,LOWER:P0:O1:R1,RIGID,0,1,1,1,1.0000000000000004,1.0,1.0000000000000002,2.220446049250313e-16,1.0000000000000002,9.036268867696523e-16,2e-05,0.3101536558531137,0.1778910370782511,0.4411209479242165,0.31015393366234467,0.17789103782362703,0.44112094822480463,0.19819666938005956,0.2961479482248046,168,0.14497300000000002,0.14497299999999985,0.14497300000000016,1.6653345369377348e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R1,SIMILARITY,0,1,1,1,1.1414115784757644,1.0683686528889567,1.068368652888957,0.0683686528889571,1.0000000000000004,9.773011922905171e-16,3.0000000000000004e-05,0.28914089741239646,0.10850980558852953,0.45200754781528074,0.28914121619260874,0.10850980877204522,0.4520075485795217,0.19992817292711407,0.3070345485795217,168,0.1548846087152707,0.15488460871527054,0.15488460871527093,0.009911608715270942,False,False,True,True,False,1.0683686528889567
LOWER,LOWER:P0:O1:R1,RIGID,0,1,1,-1,-1.0000000000000002,1.0000000000000002,1.0000000000000002,2.220446049250313e-16,1.0,7.211139681936636e-16,0.0,1.4329691299941894,0.131823960425933,2.2037861251573956,1.4329692181441547,0.1318239604782887,2.2037861251574142,1.4777060717947226,2.0588131251574144,168,0.14497300000000002,0.14497299999999974,0.14497300000000016,2.498001805406602e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R1,SIMILARITY,0,1,1,-1,-6.822418758927043e-10,2.6119760257182748e-05,2.611976025718276e-05,0.9999738802397428,1.0000000000000004,9.418533161976836e-16,0.0,1.192559255220765,1.192232255059877,1.1928734250839934,1.192559314587095,1.1922322802588634,1.1928734502694354,1.0475863303865658,1.0479004502694353,168,3.786660003764555e-06,3.78666000376455e-06,3.7866600037645603e-06,0.14496921333999624,False,False,True,False,False,2.611976025718275e-05
LOWER,LOWER:P0:O1:R1,AFFINE,0,1,1,0,1.141411577793523,1.0683425331286998,1.068394772649214,0.06839477264921401,1.0000488977260515,6.951190846755619e-16,3.0000000000000004e-05,0.28914089631535256,0.10853602227938544,0.45200604517642584,0.2891412151055618,0.10853602546213216,0.45200604594066934,0.19992817174306698,0.3070330459406694,168,0.15488460873841484,0.15488086414716162,0.1548869686212127,0.009913968621212715,False,False,True,True,False,
