bridge_path_id,end,bridge_index,original_failed_angle_fields,original_minimum_angle_deg,original_maximum_angle_deg,target_endpoint_distance_nm,local_fixed_heavy_atoms,base_library_conformers_screened,mapped_candidates_tested,passing_candidates,local_geometry_solution_found,best_library_angle_1_deg,best_library_angle_2_deg,best_library_angle_3_deg,best_library_torsion_1_deg,best_library_torsion_2_deg,best_mirror,best_azimuth_deg,best_library_distance_error_nm,best_maximum_bond_deviation_nm,best_bond_failure_count,best_minimum_angle_deg,best_maximum_angle_deg,best_angle_violations,best_angle_deficit_deg,best_clash_count,best_minimum_clearance_nm,best_internal_angle_1_deg,best_internal_angle_2_deg,best_internal_angle_3_deg,best_seed_junction_angle_1_deg,best_seed_junction_angle_2_deg,best_annulus_junction_angle_1_deg,best_annulus_junction_angle_2_deg
LOWER:BRIDGE:01,LOWER,1,annulus_junction_angle_1_deg,63.509511377561196,153.7356202027967,0.47478534705746717,63,600,86400,0,False,135.0,135.0,130.0,120.0,30.0,True,215.0,0.0008674960766498208,0.0002056709533640455,0,67.16928812202154,142.26972495638847,1,2.830711877978459,0,0.13815977639616356,135.05866877518716,135.0596646999283,130.06448060853603,71.17316766667484,142.26972495638847,81.88746067747802,67.16928812202154
LOWER:BRIDGE:02,LOWER,2,annulus_junction_angle_1_deg,65.53574078991858,136.10771534834018,0.4748996455320899,63,600,86400,0,False,135.0,135.0,130.0,240.0,330.0,True,90.0,0.0009817945512725634,0.0002327719229856806,0,67.23108216242181,142.3906629428306,1,2.7689178375781864,0,0.13827579038851787,135.06638986282113,135.06751652775137,130.07296722525925,70.95649882071042,142.3906629428306,81.98721468812676,67.23108216242181
LOWER:BRIDGE:06,LOWER,6,annulus_junction_angle_1_deg,65.73130597578061,135.8090014958603,0.47506866612031806,63,600,86400,0,False,130.0,135.0,130.0,210.0,30.0,False,100.0,0.00047812659947965575,0.00011952692860148217,0,66.29522408566035,142.9669845866072,1,3.704775914339649,0,0.13774110194569106,130.03603702607955,135.03350627793958,130.03603845722802,71.0388527792365,142.9669845866072,66.29522408566035,73.4780330314471
LOWER:BRIDGE:07,LOWER,7,annulus_junction_angle_1_deg,58.15253638337592,154.7351508604863,0.47534325545471523,63,600,86400,0,False,130.0,135.0,130.0,210.0,30.0,True,105.0,0.0007527159338768241,0.00018817155427894305,0,66.79059220122394,142.64824320550687,1,3.2094077987760556,0,0.1343455232703073,130.05671488343992,135.05273111972457,130.05671842754447,142.64824320550687,70.4350920318752,74.31009886489022,66.79059220122394
LOWER:BRIDGE:11,LOWER,11,annulus_junction_angle_2_deg,66.09096733764135,137.9784964363545,0.4749914647569468,63,600,86400,0,False,130.0,135.0,130.0,150.0,330.0,True,50.0,0.000400925236108407,0.00010022734955791868,0,66.61365536669823,142.66335663709773,1,3.386344633301775,0,0.13591688903264754,130.0302209995755,135.0280988224082,130.0302220061023,142.66335663709773,70.77584924034122,66.61365536669823,73.9357134219765
LOWER:BRIDGE:12,LOWER,12,annulus_junction_angle_2_deg,57.21978718779359,131.99651680409514,0.47514127118609256,63,600,86400,0,False,130.0,135.0,130.0,150.0,330.0,False,95.0,0.0005507316652541561,0.00013767747878512537,0,66.15778623127575,143.1334125794948,1,3.8422137687242497,0,0.13823937962696192,130.04150582398313,135.03859085079867,130.0415077223723,71.0913764591888,143.1334125794948,73.27702484169156,66.15778623127575
UPPER:BRIDGE:02,UPPER,2,annulus_junction_angle_2_deg,58.1441888753237,154.79484215496637,0.4753432554547158,63,600,86400,0,False,130.0,135.0,130.0,150.0,330.0,False,200.0,0.0007527159338773792,0.0001881715542791651,0,66.4392842142342,142.8859594492349,1,3.560715785765794,0,0.13663382710354563,130.05671488344043,135.05273111972485,130.05671842754435,70.83271097324514,142.8859594492349,73.7366626983291,66.4392842142342
UPPER:BRIDGE:03,UPPER,3,annulus_junction_angle_1_deg,58.16644332836409,131.99128130510783,0.4750686661203188,63,600,86400,0,False,130.0,135.0,130.0,210.0,30.0,False,265.0,0.0004781265994803774,0.000119526928601843,0,66.76529173289013,142.6495481760957,1,3.234708267109866,0,0.13471630240249235,130.0360370260797,135.03350627793932,130.03603845722847,142.6495481760957,70.51537816868965,66.76529173289013,74.22906075826464
UPPER:BRIDGE:07,UPPER,7,annulus_junction_angle_2_deg,66.0951269138283,138.1783340702495,0.47489964553209024,63,600,86400,0,False,135.0,135.0,130.0,240.0,330.0,True,270.0,0.0009817945512728965,0.0002327719229861247,0,67.70306478011275,141.92851752686934,1,2.2969352198872457,0,0.14019556147174161,135.06638986282135,135.06751652775125,130.07296722525928,70.1347707709943,141.92851752686934,67.70306478011275,83.46784174334934
UPPER:BRIDGE:08,UPPER,8,annulus_junction_angle_1_deg,63.75861045006886,153.4050632758304,0.47478534705746733,63,600,86400,0,False,135.0,135.0,130.0,240.0,330.0,False,270.0,0.0008674960766499873,0.00020567095336412877,0,67.26440035885472,142.1776570602298,1,2.735599641145285,0,0.13851354329265503,135.05866877518753,135.0596646999282,130.06448060853631,142.1776570602298,71.01863149891619,67.26440035885472,82.16623673193658
