metric,value
source_gro,runs/phase1A/hybrid_hydrated_gromacs_min/min_gap45_clean032_hbnLJ_posres10k.gro
natoms,68356
water_molecules,16643
min_OW_solute_nm,0.26362
min_OW_solute_pair,38185:SOL:OW - 1782:PYR:H7
min_WATERATOM_solute_nm,0.19846
min_WATERATOM_solute_pair,45758:SOL:HW1 - 1241:HBN:B1241
min_PYR_HBN_nm,0.29362
min_PYR_HBN_pair,1783:PYR:H8 - 1286:HBN:N1286
