frame,time_ps,site,root,family,is_bright_root,energy_eV,fosc,D2_au2,DX_raw_au,DY_raw_au,DZ_raw_au,dipole_magnitude_au,reference_frame,gauge_sign_factor,raw_cosine_to_reference,aligned_cosine_to_reference,DX_aligned_au,DY_aligned_au,DZ_aligned_au
3,15.0,PYR3,2,bright_like,True,4.071,0.502294183,5.03589,-2.22999,0.23388,0.09137,2.2440788756191257,0,1,0.9999778312055634,0.9999778312055634,-2.22999,0.23388,0.09137
3,15.0,PYR4,1,alternate_like,False,4.019,0.008492849,0.08625,0.01958,0.17014,-0.23858,0.2936835031117683,0,-1,-0.8390548382747015,0.8390548382747015,-0.01958,-0.17014,0.23858
3,15.0,PYR4,2,bright_like,True,4.097,0.509273163,5.07316,0.23454,2.23837,-0.08864,2.252367643170182,0,1,0.9999940755224297,0.9999940755224297,0.23454,2.23837,-0.08864
3,15.0,PYR5,2,alternate_like,False,3.852,0.04265182,0.45197,-0.61221,0.05818,-0.27164,0.6722871410342458,0,-1,-0.5246541495167539,0.5246541495167539,0.61221,-0.05818,0.27164
3,15.0,PYR5,1,bright_like,True,3.75,0.61541292,6.69937,2.57416,-0.26714,0.04128,2.5883141231311164,0,-1,-0.9989537461886161,0.9989537461886161,-2.57416,0.26714,-0.04128
4,20.0,PYR2,1,alternate_like,False,4.015,0.011136967,0.11323,0.03189,0.29704,-0.15487,0.3364966567441644,0,1,0.1935637740756927,0.1935637740756927,0.03189,0.29704,-0.15487
4,20.0,PYR2,2,bright_like,True,4.101,0.498540213,4.96252,-0.22981,-2.21566,-0.02369,2.2276714299914158,0,-1,-0.999934391450537,0.999934391450537,0.22981,2.21566,0.02369
4,20.0,PYR3,1,alternate_like,False,4.014,0.007055467,0.07174,-0.00061,0.00022,-0.26784,0.2678432377343135,0,1,0.32926890658653507,0.32926890658653507,-0.00061,0.00022,-0.26784
4,20.0,PYR3,2,bright_like,True,4.095,0.518861417,5.17181,2.26034,-0.23574,-0.08431,2.274161383895171,0,-1,-0.9999950659728193,0.9999950659728193,-2.26034,0.23574,0.08431
4,20.0,PYR4,1,alternate_like,False,4.024,0.002471251,0.02506,-0.00442,-0.05961,0.1466,0.1583035059624391,0,1,0.6889059336281139,0.6889059336281139,-0.00442,-0.05961,0.1466
4,20.0,PYR4,2,bright_like,True,4.087,0.522246322,5.21515,-0.23948,-2.26861,0.10579,2.283670291438762,0,-1,-0.999993554254058,0.999993554254058,0.23948,2.26861,-0.10579
4,20.0,PYR5,2,alternate_like,False,3.815,0.015547838,0.16633,0.20367,-0.01568,0.35299,0.40783575125287874,0,-1,-0.07798622290561699,0.07798622290561699,-0.20367,0.01568,-0.35299
4,20.0,PYR5,1,bright_like,True,3.761,0.648594776,7.03927,2.6384,-0.25939,0.10406,2.6531622641670447,0,-1,-0.9997455900191475,0.9997455900191475,-2.6384,0.25939,-0.10406
