category,minimum_distance_nm,minimum_pair,threshold_nm,clash_count
H_HEAVY,0.15484188310796013,H4:UPPER:0157:0 | BR4:UPPER:09:2,0.07,0
H_H,0.2300447810025276,H4:UPPER:0121:0 | H4:UPPER:0123:0,0.06,0
