sigma_E_meV,tau_c_ps,n_traj,mean_max_PYR2,std_max_PYR2,mean_final_PYR2,mean_t10_fs,mean_t20_fs,mean_t30_fs,min_eig_min,max_trace_err
0,0.02,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
0,0.05,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
0,0.1,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
0,0.2,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
0,0.5,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
0,1.0,8,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
2,0.02,8,0.309564828970843,0.0006683272040132105,0.30760180007041915,127.5,383.125,1301.875,0.0,2.5311385705198986e-14
2,0.05,8,0.3082853702771624,0.0007713588098710648,0.30665520165927945,128.125,379.375,1312.5,0.0,2.4237317661779196e-14
2,0.1,8,0.3077520380954669,0.00042714261556387216,0.3064592717578331,126.875,377.5,1310.0,0.0,2.4945623503396683e-14
2,0.2,8,0.3071884296057157,0.000340672351345857,0.30597798544571864,128.75,382.5,1342.5,0.0,2.2817054097178968e-14
2,0.5,8,0.3071294427593908,0.001003875527073793,0.3062413120997033,128.75,384.375,1355.625,0.0,2.1175462915646804e-14
2,1.0,8,0.30654486498833555,0.000459170113415702,0.3057761992741568,129.375,383.125,1337.5,0.0,1.862824632693539e-14
5,0.02,8,0.31865007692880865,0.002604372301961389,0.31564160481032927,136.875,388.125,1221.25,0.0,1.9607482357550376e-14
5,0.05,8,0.3188864942226617,0.002358706027377809,0.31113643631592014,131.875,375.625,1161.25,0.0,2.1196110081426614e-14
5,0.1,8,0.31320391478575293,0.002328417334391063,0.30660012661996583,130.0,374.375,1256.875,0.0,1.54140092056755e-14
5,0.2,8,0.31322030897172615,0.0058605919827028055,0.30599470921551053,126.875,367.5,1148.125,0.0,2.1491283088214905e-14
5,0.5,8,0.31590059555712435,0.008472993308190964,0.30840068977924506,130.0,374.375,1106.25,0.0,3.036280739955847e-14
5,1.0,8,0.3073510354064066,0.0038985688536231117,0.3055302044555983,125.625,379.375,1602.5,0.0,2.159558322171695e-14
10,0.02,8,0.3351979408036234,0.004510960086695204,0.3281619525396391,131.875,347.5,951.25,0.0,1.301042125329682e-14
10,0.05,8,0.32835666758079607,0.002527671754215976,0.32261004169651963,126.875,335.0,1070.625,0.0,2.7342184635948484e-14
10,0.1,8,0.3289860166754176,0.009757273145931488,0.3137347651735836,125.625,298.75,825.625,0.0,1.9459021177790163e-14
10,0.2,8,0.3340588429398049,0.011657101096982774,0.31430704342004206,122.5,358.125,1133.75,0.0,1.8929475638970175e-14
10,0.5,8,0.33220855107131886,0.01895004702244477,0.31983436065132775,133.125,345.0,1163.125,0.0,3.17093718578165e-14
10,1.0,8,0.3300970289507531,0.027116069407155354,0.3102853121870427,126.25,387.5,1463.75,0.0,1.9542667411614728e-14
20,0.02,8,0.34182071013589294,0.0030585901699284285,0.3309350714364864,128.125,288.125,811.25,0.0,2.207302211100494e-14
20,0.05,8,0.33740764117673505,0.00425570931624964,0.3305717894122677,126.875,293.75,876.875,0.0,3.8165725164500656e-14
20,0.1,8,0.33957438783299587,0.008515106415464756,0.31465519010962306,142.5,344.375,821.25,0.0,1.9244623572780723e-14
20,0.2,8,0.3366870609958422,0.009441254086463576,0.32351765509557345,129.375,331.25,938.125,0.0,1.5381857939294323e-14
20,0.5,8,0.33406883613072114,0.007184541646192046,0.32725080116795635,136.875,349.375,932.5,0.0,1.6133057137297948e-14
20,1.0,8,0.33675693224341435,0.021404678868065904,0.3089921030049497,131.875,351.25,1161.25,0.0,2.2036166556651067e-14
