plane_id,segment_id,center_z_nm,minimum_z_nm,maximum_z_nm,atom_count,spacing_to_next_plane_nm
1,1,-3.00871428571429,-3.00871428571429,-3.00871428571429,30,0.14499999999999913
2,1,-2.8637142857142908,-2.86371428571429,-2.86371428571429,30,0.07200000000000051
3,1,-2.7917142857142903,-2.79171428571429,-2.79171428571429,30,0.14499999999999957
4,1,-2.6467142857142907,-2.64671428571429,-2.64671428571429,30,0.07300000000000129
5,1,-2.5737142857142894,-2.57371428571429,-2.57371428571429,30,0.14499999999999913
6,1,-2.4287142857142903,-2.42871428571429,-2.42871428571429,30,0.07200000000000051
7,1,-2.3567142857142898,-2.3567142857142898,-2.3567142857142898,30,0.14500000000000046
8,1,-2.2117142857142893,-2.2117142857142897,-2.2117142857142897,30,0.0730000000000004
9,1,-2.138714285714289,-2.13871428571429,-2.13871428571429,30,0.14499999999999913
10,1,-1.9937142857142898,-1.9937142857142898,-1.9937142857142898,30,0.07200000000000029
11,1,-1.9217142857142895,-1.9217142857142897,-1.9217142857142897,30,0.14499999999999935
12,1,-1.7767142857142901,-1.7767142857142897,-1.7767142857142897,30,0.07299999999999995
13,1,-1.7037142857142902,-1.7037142857142897,-1.7037142857142897,30,0.1450000000000009
14,1,-1.5587142857142893,-1.5587142857142897,-1.5587142857142897,30,0.07199999999999895
15,1,-1.4867142857142903,-1.48671428571429,-1.48671428571429,30,0.14500000000000046
16,1,-1.3417142857142899,-1.34171428571429,-1.34171428571429,30,0.0730000000000004
17,1,-1.2687142857142895,-1.2687142857142897,-1.2687142857142897,30,0.14499999999999935
18,1,-1.12371428571429,-1.12371428571429,-1.12371428571429,30,0.07300000000000062
19,1,-1.0507142857142895,-1.0507142857142897,-1.0507142857142897,30,0.14499999999999957
20,1,-0.9057142857142899,-0.9057142857142901,-0.9057142857142901,30,0.07199999999999984
21,1,-0.8337142857142901,-0.8337142857142901,-0.8337142857142901,30,0.14500000000000024
22,1,-0.6887142857142898,-0.6887142857142896,-0.6887142857142896,30,0.07299999999999973
23,1,-0.6157142857142901,-0.6157142857142901,-0.6157142857142901,30,0.14400000000000013
24,1,-0.47171428571428997,-0.47171428571428997,-0.47171428571428997,30,0.0730000000000004
25,1,-0.3987142857142896,-0.3987142857142896,-0.3987142857142896,30,0.14499999999999957
26,1,-0.25371428571429,-0.25371428571429,-0.25371428571429,30,0.07200000000000006
27,1,-0.18171428571428994,-0.18171428571428994,-0.18171428571428994,30,0.1459999999999999
28,1,-0.03571428571429003,-0.03571428571429003,-0.03571428571429003,30,0.07200000000000006
29,1,0.036285714285710036,0.036285714285710036,0.036285714285710036,30,0.14500000000000046
30,1,0.1812857142857105,0.1812857142857105,0.1812857142857105,30,0.07299999999999951
31,1,0.25428571428571,0.25428571428571,0.25428571428571,30,0.14500000000000046
32,1,0.39928571428571047,0.39928571428571047,0.39928571428571047,30,0.0719999999999999
33,1,0.47128571428571037,0.47128571428571053,0.47128571428571053,30,0.14499999999999952
34,1,0.6162857142857099,0.6162857142857101,0.6162857142857101,30,0.07200000000000062
35,1,0.6882857142857105,0.6882857142857102,0.6882857142857102,30,0.1449999999999989
36,1,0.8332857142857094,0.8332857142857097,0.8332857142857097,30,0.0730000000000004
37,1,0.9062857142857098,0.9062857142857101,0.9062857142857101,30,0.14500000000000035
38,1,1.0512857142857102,1.0512857142857097,1.0512857142857097,30,0.0730000000000004
39,1,1.1242857142857106,1.1242857142857101,1.1242857142857101,30,0.14399999999999968
40,1,1.2682857142857102,1.2682857142857102,1.2682857142857102,30,0.07299999999999973
41,1,1.34128571428571,1.3412857142857098,1.3412857142857098,30,0.1450000000000009
42,1,1.4862857142857109,1.4862857142857102,1.4862857142857102,30,0.07199999999999918
43,1,1.55828571428571,1.5582857142857103,1.5582857142857103,30,0.14600000000000013
44,1,1.7042857142857102,1.7042857142857102,1.7042857142857102,30,0.07200000000000051
45,1,1.7762857142857107,1.7762857142857102,1.7762857142857102,30,0.1449999999999989
46,1,1.9212857142857096,1.9212857142857098,1.9212857142857098,30,0.07200000000000073
47,1,1.9932857142857103,1.9932857142857099,1.9932857142857099,30,0.14499999999999957
48,1,2.13828571428571,2.1382857142857103,2.1382857142857103,30,0.07299999999999951
49,1,2.2112857142857094,2.21128571428571,2.21128571428571,30,0.14500000000000046
50,1,2.35628571428571,2.3562857142857103,2.3562857142857103,30,0.0730000000000004
51,1,2.4292857142857103,2.42928571428571,2.42928571428571,30,0.14499999999999957
52,1,2.57428571428571,2.5742857142857103,2.5742857142857103,30,0.07200000000000051
53,1,2.6462857142857104,2.6462857142857104,2.6462857142857104,30,0.14499999999999869
54,1,2.791285714285709,2.79128571428571,2.79128571428571,30,0.07300000000000217
55,1,2.864285714285711,2.8642857142857103,2.8642857142857103,30,0.14499999999999957
56,1,3.009285714285711,3.009285714285711,3.009285714285711,30,
