metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.28718,45989:SOL:OW,1137:HBN:B1137
min_OW_PYR,0.26734,42405:SOL:OW,1781:PYR:H6
min_WATERATOM_HBN,0.19650,44970:SOL:HW1,16:HBN:N0016
min_WATERATOM_PYR,0.24385,38719:SOL:HW2,1774:PYR:C15
min_WATERATOM_SOLUTE,0.19650,44970:SOL:HW1,16:HBN:N0016
