atom_i_1based,atom_j_1based,element_i,element_j,distance_nm,in_explicit_topology,in_geometry_graph,classification
128,187,N,B,0.145013792447477,True,True,MATCHED
129,130,B,N,0.14500000000000002,True,True,MATCHED
130,187,N,B,0.14481022063376636,True,True,MATCHED
130,189,N,B,0.14483438818181293,True,True,MATCHED
131,132,B,N,0.14500000000000002,True,True,MATCHED
132,189,N,B,0.14456140563788109,True,True,MATCHED
132,191,N,B,0.14439182802361047,True,True,MATCHED
133,134,B,N,0.14500000000000002,True,True,MATCHED
134,191,N,B,0.14477568856683093,True,True,MATCHED
134,193,N,B,0.1452446212429224,True,True,MATCHED
135,136,B,N,0.14500000000000002,True,True,MATCHED
136,193,N,B,0.1443779761598008,True,True,MATCHED
136,195,N,B,0.14477568856683093,True,True,MATCHED
137,138,B,N,0.14500000000000002,True,True,MATCHED
138,195,N,B,0.14439182802361084,True,True,MATCHED
138,197,N,B,0.14456140563788109,True,True,MATCHED
139,140,B,N,0.14500000000000002,True,True,MATCHED
140,197,N,B,0.14483438818181293,True,True,MATCHED
140,199,N,B,0.1455369368923229,True,True,MATCHED
141,142,B,N,0.14500000000000002,True,True,MATCHED
142,199,N,B,0.14433987668000817,True,True,MATCHED
142,201,N,B,0.14439182802361086,True,True,MATCHED
143,144,B,N,0.14500000000000002,True,True,MATCHED
144,201,N,B,0.14501379244747725,True,True,MATCHED
144,203,N,B,0.1443364125922496,True,True,MATCHED
145,146,B,N,0.14500000000000002,True,True,MATCHED
146,203,N,B,0.14483438818181277,True,True,MATCHED
146,205,N,B,0.14456140563788109,True,True,MATCHED
147,148,B,N,0.14500000000000002,True,True,MATCHED
148,205,N,B,0.14461673485458001,True,True,MATCHED
148,207,N,B,0.1446409347314931,True,True,MATCHED
149,150,B,N,0.14500000000000002,True,True,MATCHED
150,207,N,B,0.14528936643815327,True,True,MATCHED
150,209,N,B,0.14442298985964805,True,True,MATCHED
151,152,B,N,0.14500000000000002,True,True,MATCHED
152,209,N,B,0.1446409347314931,True,True,MATCHED
152,211,N,B,0.14461673485458038,True,True,MATCHED
153,154,B,N,0.14500000000000002,True,True,MATCHED
154,211,N,B,0.14456140563788109,True,True,MATCHED
154,213,N,B,0.14483438818181277,True,True,MATCHED
155,156,B,N,0.14500000000000002,True,True,MATCHED
156,213,N,B,0.14506550244630867,True,True,MATCHED
156,215,N,B,0.1443398766800084,True,True,MATCHED
157,158,B,N,0.14500000000000002,True,True,MATCHED
158,215,N,B,0.14500344823486094,True,True,MATCHED
158,217,N,B,0.1443398766800084,True,True,MATCHED
159,160,B,N,0.14500000000000002,True,True,MATCHED
160,217,N,B,0.14506550244630867,True,True,MATCHED
160,219,N,B,0.14483438818181277,True,True,MATCHED
161,162,B,N,0.14500000000000002,True,True,MATCHED
162,219,N,B,0.14456140563788109,True,True,MATCHED
162,221,N,B,0.14461673485458038,True,True,MATCHED
163,164,B,N,0.14500000000000002,True,True,MATCHED
164,221,N,B,0.1446409347314931,True,True,MATCHED
164,223,N,B,0.14442298985964805,True,True,MATCHED
165,166,B,N,0.14500000000000002,True,True,MATCHED
166,223,N,B,0.14528936643815327,True,True,MATCHED
166,225,N,B,0.1446409347314931,True,True,MATCHED
167,168,B,N,0.14500000000000002,True,True,MATCHED
168,225,N,B,0.14461673485458001,True,True,MATCHED
168,227,N,B,0.14456140563788109,True,True,MATCHED
169,170,B,N,0.14500000000000002,True,True,MATCHED
170,227,N,B,0.14483438818181277,True,True,MATCHED
170,229,N,B,0.1443364125922496,True,True,MATCHED
171,172,B,N,0.14500000000000002,True,True,MATCHED
172,229,N,B,0.14501379244747725,True,True,MATCHED
172,231,N,B,0.14439182802361086,True,True,MATCHED
173,174,B,N,0.14500000000000002,True,True,MATCHED
174,231,N,B,0.14433987668000817,True,True,MATCHED
174,233,N,B,0.1455369368923229,True,True,MATCHED
175,176,B,N,0.14500000000000002,True,True,MATCHED
176,233,N,B,0.14483438818181293,True,True,MATCHED
176,235,N,B,0.14456140563788109,True,True,MATCHED
177,178,B,N,0.14500000000000002,True,True,MATCHED
178,235,N,B,0.14439182802361084,True,True,MATCHED
178,237,N,B,0.14477568856683093,True,True,MATCHED
179,180,B,N,0.14500000000000002,True,True,MATCHED
180,237,N,B,0.1443779761598008,True,True,MATCHED
180,239,N,B,0.1452446212429224,True,True,MATCHED
181,182,B,N,0.14500000000000002,True,True,MATCHED
182,241,N,B,0.1450620556865233,True,True,MATCHED
182,299,N,B,0.14489306401619054,True,True,MATCHED
183,184,B,N,0.14500000000000002,True,True,MATCHED
