metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.28809,44005:SOL:OW,13:HBN:B0013
min_OW_PYR,0.26734,42405:SOL:OW,1781:PYR:H6
min_WATERATOM_HBN,0.19773,44970:SOL:HW1,16:HBN:N0016
min_WATERATOM_PYR,0.24385,38719:SOL:HW2,1774:PYR:C15
min_WATERATOM_SOLUTE,0.19773,44970:SOL:HW1,16:HBN:N0016
