gate,pass
source_preparation_is_valid,True
source_run_is_nonstationary_review_state,True
transient_audit_authorized_extension_preparation,True
source_failed_only_stationarity_gate,True
source_run_completed_without_instability,True
convert_tpr_return_code_zero,True
source_TPR_dump_return_code_zero,True
extended_TPR_dump_return_code_zero,True
checkpoint_dump_return_code_zero,True
source_TPR_has_68332_atoms,True
extended_TPR_has_68332_atoms,True
source_TPR_nsteps_is_40000,True
extended_TPR_nsteps_is_100000,True
source_and_extended_dt_are_0p0005ps,True
source_and_extended_integrators_are_md,True
continuation_flag_is_preserved,True
XTC_stride_is_preserved_at_1000,True
TPRs_differ_only_by_nsteps,False
checkpoint_step_is_40000,True
checkpoint_time_is_20ps,True
checkpoint_coordinate_entries_are_complete,True
checkpoint_velocity_entries_are_complete,True
checkpoint_coordinate_and_velocity_counts_match,True
checkpoint_copy_is_bitwise_identical,True
remaining_steps_are_60000,True
remaining_time_is_30ps,True
expected_continuation_frames_are_61,True
