basis,state,energy_eV,thermal_population
exciton,X1,3.740338053536045,0.5367721228213402
exciton,X2,3.7548350426867567,0.30637353939697115
exciton,X3,3.777695582869639,0.12653512003838993
exciton,X4,3.814631320907559,0.030319217743298658
site,PYR2,,0.30543168844591556
site,PYR3,,0.16091885145754245
site,PYR4,,0.28315751981825105
site,PYR5,,0.25049194027829125
