atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.22574,1.24558,0.01984
2,N0002,1.20374,1.16934,-0.03440
3,B0003,1.22648,1.19360,-0.03288
4,N0004,1.20413,1.14773,-0.05640
5,B0005,1.22578,1.20169,-0.02410
6,N0006,1.20385,1.13739,-0.06646
7,B0007,1.22457,1.21846,-0.00611
8,N0008,1.20376,1.13502,-0.06875
9,B0009,1.22524,1.13760,-0.08764
10,N0010,1.20332,1.11597,-0.08735
11,B0011,1.22586,1.23125,0.00539
12,N0012,1.20390,1.15019,-0.05371
13,B0013,1.22667,1.16502,-0.06165
14,N0014,1.20358,1.15710,-0.04648
15,B0015,1.22651,1.24308,0.01657
16,N0016,1.20332,1.20541,0.00209
17,B0017,1.22646,1.23181,0.00534
18,N0018,1.20327,1.22411,0.02084
19,B0019,1.22652,1.30907,0.08254
20,N0020,1.20344,1.25498,0.05155
21,B0021,1.22562,1.30840,0.08278
22,N0022,1.20367,1.26736,0.06369
23,B0023,1.22500,1.37235,0.14734
24,N0024,1.20375,1.30514,0.10140
25,B0025,1.22559,1.35558,0.12999
26,N0026,1.20419,1.30376,0.09956
27,B0027,1.22444,1.39516,0.17072
28,N0028,1.20342,1.31527,0.11185
29,B0029,1.22721,1.23977,0.01257
30,N0030,1.20367,1.26632,0.06265
31,B0031,1.22627,1.37872,0.15246
32,N0032,1.20327,1.30807,0.10481
33,B0033,1.22711,1.38761,0.16050
34,N0034,1.20357,1.32217,0.11860
35,B0035,1.22384,1.36693,0.14308
36,N0036,1.20323,1.32161,0.11838
37,B0037,1.22671,1.40174,0.17503
38,N0038,1.20311,1.32761,0.12450
39,B0039,1.22532,1.35206,0.12673
40,N0040,1.20340,1.28775,0.08436
41,B0041,1.22435,1.29161,0.06726
42,N0042,1.20376,1.23934,0.03558
43,B0043,1.22512,1.28288,0.05776
44,N0044,1.20330,1.23550,0.03221
45,B0045,1.22500,1.28683,0.06183
46,N0046,1.20390,1.23768,0.03377
47,B0047,1.22604,1.28278,0.05674
48,N0048,1.20385,1.23684,0.03299
49,B0049,1.22622,1.34017,0.11395
50,N0050,1.20313,1.25004,0.04691
51,B0051,1.22545,1.30139,0.07594
52,N0052,1.20350,1.23873,0.03523
53,B0053,1.22638,1.29401,0.06763
54,N0054,1.20371,1.22968,0.02597
55,B0055,1.22488,1.22950,0.00462
56,N0056,1.20408,1.19396,-0.01012
57,B0057,1.22651,1.28988,0.06337
58,N0058,1.20366,1.19788,-0.00578
59,B0059,1.22540,1.16099,-0.06441
60,N0060,1.20305,1.15363,-0.04942
61,B0061,1.19934,1.14327,-0.05607
62,N0062,1.20233,1.13406,-0.06827
63,B0063,1.20042,1.13278,-0.06764
64,N0064,1.20263,1.12425,-0.07838
65,B0065,1.19944,1.11163,-0.08781
66,N0066,1.20304,1.10283,-0.10020
67,B0067,1.19908,1.11294,-0.08614
68,N0068,1.20265,1.09115,-0.11149
69,B0069,1.20016,1.12264,-0.07752
70,N0070,1.20237,1.10473,-0.09763
71,B0071,1.20030,1.14303,-0.05727
72,N0072,1.20294,1.13572,-0.06721
73,B0073,1.20001,1.17555,-0.02446
74,N0074,1.20315,1.16445,-0.03870
75,B0075,1.19974,1.21014,0.01041
76,N0076,1.20274,1.20325,0.00051
77,B0077,1.19991,1.24160,0.04169
78,N0078,1.20305,1.23714,0.03409
79,B0079,1.20011,1.25162,0.05152
80,N0080,1.20234,1.24802,0.04568
81,B0081,1.19989,1.27491,0.07503
82,N0082,1.20268,1.26431,0.06163
83,B0083,1.19947,1.29724,0.09777
84,N0084,1.20230,1.29058,0.08829
85,B0085,1.19990,1.29823,0.09833
86,N0086,1.20263,1.29976,0.09713
87,B0087,1.19997,1.29105,0.09107
88,N0088,1.20313,1.29477,0.09164
89,B0089,1.19987,1.28127,0.08139
90,N0090,1.20285,1.29127,0.08841
91,B0091,1.19982,1.29919,0.09937
92,N0092,1.20281,1.29723,0.09442
