end,bridge_atoms,seed_node,annulus_node,target_distance_nm,local_fixed_heavy_atoms,candidates_tested,pair_feasible,retained_feasible_candidates,best_library_distance_error_nm,best_minimum_angle_deg,best_maximum_angle_deg,best_maximum_bond_deviation_nm,best_minimum_clearance_nm,best_angle_violations,best_clash_count
LOWER,4,S:1680,A:LOWER:13:5,0.921241076946184,90,4800,False,0,0.2798073364072433,39.691182061326025,145.08557782205582,0.0526531815903539,0.1249796463197066,2,0
LOWER,4,S:1680,A:LOWER:10:6,1.1086501648266356,95,4800,False,0,0.46895055759598503,28.94804471616406,152.43648488389803,0.09274612284163078,0.12501772619711762,2,0
LOWER,4,S:1680,A:LOWER:7:7,1.3174324568877476,97,4800,False,0,0.6768176932933222,23.014327660408636,154.3890037625346,0.12833573462903783,0.1412747697671874,2,0
LOWER,4,S:1680,A:LOWER:4:8,1.538913380709404,101,4800,False,0,0.8997442707943659,13.240492088102966,159.71167062526007,0.1750581976051596,0.14264518703969334,2,0
LOWER,4,S:1680,A:LOWER:1:9,1.768327891700408,99,4800,False,0,1.1286282844697575,18.23236267619705,162.431062874424,0.2241073369765377,0.14012353085185975,2,0
LOWER,4,S:1680,A:LOWER:-14:4,2.3133784844921226,79,4800,False,0,1.6736788772614721,41.69830159708827,166.51663096558505,0.332881731637904,0.14106741782884366,1,0
LOWER,4,S:1680,A:LOWER:-14:2,2.2445351788869345,78,4800,False,0,1.6052663318617322,49.67129191017769,164.74199120049065,0.31585421580694684,0.14112000371606473,1,0
LOWER,4,S:1680,A:LOWER:-14:0,2.2023304362390617,79,4800,False,0,1.5630615892138593,49.74407224327459,164.4527961993859,0.30745628399062097,0.1335671531700309,1,0
LOWER,4,S:1680,A:LOWER:-14:-2,2.188306092822224,79,4800,False,0,1.5490372457970216,61.03352971460039,164.35428197812038,0.3046660660598227,0.11156970819333699,2,1
LOWER,4,S:1680,A:LOWER:-14:-4,2.2030004053006436,92,4800,False,0,1.5621967633817442,49.56125912217483,165.72208000581435,0.31215933577725286,0.13297807323306987,1,0
LOWER,4,S:1680,A:LOWER:1:-9,1.4160994923959238,95,4800,False,0,0.7763998851652733,17.619054463786384,158.1884274223634,0.15390536903974775,0.1291355308236549,2,0
LOWER,4,S:1680,A:LOWER:4:-8,1.170997839372004,97,4800,False,0,0.5301941974531046,29.056073213320737,153.27016914595004,0.10586565298252756,0.12931666077692067,2,0
LOWER,4,S:1680,A:LOWER:7:-7,0.9291055546264959,92,4800,False,0,0.28940594739584535,39.31286822564901,147.49913765638834,0.057123098752809354,0.12485824576554673,2,0
LOWER,4,S:1680,A:LOWER:10:-6,0.6937876821014595,90,4800,False,0,0.0537829747532691,38.9726403611898,148.35566332362413,0.010406350049471519,0.10049234815984812,1,1
LOWER,4,S:1680,A:LOWER:13:-5,0.4749195599337041,87,3559,True,12,0.00023187090976684033,79.93053139477135,155.80184130706556,4.4106961458650895e-05,0.14808109269681738,0,0
LOWER,4,S:1682,A:LOWER:13:5,1.3408408855132294,97,4800,False,0,0.7011412782825789,30.97757638110524,157.0085645703935,0.13892137560452686,0.10888079201657759,2,1
LOWER,4,S:1682,A:LOWER:10:-6,0.30271871838421327,88,295,True,12,6.197754029269031e-05,110.21988907391487,134.5085501708945,1.2339900792329717e-05,0.17135742181577907,0,0
LOWER,4,S:1684,A:LOWER:7:-7,0.25151130953471346,91,223,True,12,6.509060610571105e-05,96.66918500884826,134.95659007928538,1.2996054279040825e-05,0.2166056030869264,0,0
LOWER,4,S:1686,A:LOWER:4:-8,0.3022678385989816,88,415,True,12,3.2090721561850444e-05,105.24619701912673,131.27124044198422,5.140111317997187e-06,0.15849658498269287,0,0
LOWER,4,S:1688,A:LOWER:1:-9,0.4752008630946192,87,2267,True,12,4.9432251148229245e-05,81.26717973911943,152.73854919536123,9.403287483000788e-06,0.1422043497852283,0,0
LOWER,4,S:1690,A:LOWER:-14:-4,0.4750978953323253,87,2597,True,12,1.6091759193925803e-05,79.15327776681602,160.43122803925482,3.0045318824833966e-06,0.14795939591659907,0,0
LOWER,4,S:1692,A:LOWER:-14:-2,0.30289015172045763,88,384,True,12,0.00010945579595167398,107.87425096904266,134.51224361242984,2.1792976824364096e-05,0.1632416969430962,0,0
LOWER,4,S:1694,A:LOWER:-14:0,0.2511536424874773,91,212,True,12,6.125918890742543e-05,98.45557001568136,134.06043301868044,1.1341316369734011e-05,0.21957778808299497,0,0
LOWER,4,S:1696,A:LOWER:-14:2,0.3026269817388321,88,366,True,12,3.980043683365908e-05,108.10900802078142,131.29107172042174,6.362540817345108e-06,0.1632924956670507,0,0
LOWER,4,S:1698,A:LOWER:-14:4,0.4754371706492503,87,2284,True,12,8.821690698673779e-05,85.94413584723837,145.17449736655067,1.6796142485148158e-05,0.1478224572053006,0,0
LOWER,4,S:1700,A:LOWER:1:9,0.47530904348820735,87,2578,True,12,0.00015761264473640457,78.89795230426853,157.98697222373283,2.99822091888724e-05,0.15300509323561584,0,0
LOWER,4,S:1702,A:LOWER:4:8,0.3026737454964214,88,371,True,12,6.963320755615232e-06,109.18351642868853,128.44345532105243,1.1131801985753143e-06,0.15510010865332124,0,0
LOWER,4,S:1704,A:LOWER:7:7,0.2513055793641312,91,252,True,12,6.76878312683149e-05,99.05196224697411,130.84751416976698,1.326369754667267e-05,0.22056486214153626,0,0
LOWER,4,S:1706,A:LOWER:10:6,0.30277065175103746,88,323,True,12,1.004417346850417e-05,111.80771365816258,134.50966875410046,1.9998235406271103e-06,0.1783913777810016,0,0
LOWER,4,S:1708,A:LOWER:13:5,0.4751778130815116,87,2734,True,12,2.638223804063422e-05,80.71898225900642,153.98102450395768,5.018573250470393e-06,0.14417145000136983,0,0
LOWER,4,S:1681,A:LOWER:13:5,1.1364593971732753,94,4800,False,0,0.4967597899426247,29.875781715280517,153.07456780678493,0.09827120698517725,0.12109874512779818,2,0
LOWER,4,S:1681,A:LOWER:10:6,1.3030666084815634,99,4800,False,0,0.6630998966247492,20.979030885897927,155.85607981368003,0.12789778232068147,0.12293208112768511,1,0
LOWER,4,S:1681,A:LOWER:7:7,1.4934953080709168,98,4800,False,0,0.8529643097411885,6.187977191074336,156.42167475972323,0.16597929466651726,0.12244873375518643,1,0
LOWER,4,S:1681,A:LOWER:4:8,1.6997578970824174,104,4800,False,0,1.0532022921517017,17.14970409749932,161.3811745348443,0.20379661983532368,0.1289959011253891,1,0
LOWER,4,S:1681,A:LOWER:1:9,1.9167494897696575,100,4800,False,0,1.2774806427444552,16.84775026135766,162.16995083129345,0.25067927928440037,0.12955624325342296,1,0
LOWER,4,S:1681,A:LOWER:-14:4,2.3310231008770548,78,4800,False,0,1.6913234936464043,40.219521928666865,166.6176310806085,0.33640480603754697,0.13416642805037762,1,0
LOWER,4,S:1681,A:LOWER:-14:2,2.2362613928256083,83,4800,False,0,1.595457750906709,44.70025566762738,165.93620064183386,0.3188096714705283,0.1405793910557397,1,0
LOWER,4,S:1681,A:LOWER:-14:0,2.166602031208357,76,4800,False,0,1.5269024239777065,50.02395749427874,165.61400277724601,0.3035786587362046,0.14007481984245113,1,0
LOWER,4,S:1681,A:LOWER:-14:-2,2.124515646118905,93,4800,False,0,1.4852467990937028,47.38348736686871,163.89014141720622,0.2919769837507199,0.1365826973356881,1,0
LOWER,4,S:1681,A:LOWER:-14:-4,2.1116515157444606,98,4800,False,0,1.4719519085138102,60.96576463245793,165.24449623676622,0.29260990591699043,0.1127664504188022,2,1
LOWER,4,S:1681,A:LOWER:1:-9,1.2169988979287862,95,4800,False,0,0.5772992906981357,37.40142415426887,154.77096384357887,0.11428150813083107,0.11248009180904359,2,1
LOWER,4,S:1681,A:LOWER:4:-8,0.9695275978232044,94,4800,False,0,0.32982799059255385,44.95534168533154,148.75231660269586,0.06513465145127573,0.12887226784286568,2,0
LOWER,4,S:1681,A:LOWER:7:-7,0.724557956754175,92,4800,False,0,0.07752023468835201,46.82942331262195,144.6671069239455,0.014853751467018866,0.12175446980419534,1,0
LOWER,4,S:1681,A:LOWER:10:-6,0.4858885950758021,89,2859,True,12,0.00014167723995112125,86.11066215152545,123.70858590508836,2.645272295653811e-05,0.14525179314973669,0,0
LOWER,4,S:1683,A:LOWER:13:-5,0.3444447822092503,84,168,True,12,2.2321935968905304e-05,101.89201571815366,136.94051748197577,4.32952000592457e-06,0.15676622492352657,0,0
LOWER,4,S:1685,A:LOWER:13:5,1.8614502993455795,102,4800,False,0,1.2215503242699208,45.183804482403566,162.4440329327449,0.2394376104630284,0.1422370662087369,1,0
LOWER,4,S:1681,A:LOWER:13:-5,0.2707290995214383,86,147,True,12,2.3840532473395903e-05,105.7350643190471,118.29664965013654,4.219887443840387e-06,0.1969983904007172,0,0
LOWER,4,S:1683,A:LOWER:13:5,1.5309487895503804,102,4800,False,0,0.8916799425251781,44.18913921928023,157.7858600734811,0.17416963035597346,0.12411415575794593,2,0
LOWER,4,S:1683,A:LOWER:7:-7,0.34033431769541794,89,257,True,12,7.4761897652653175e-06,111.13423921421351,130.11032832575194,1.4651568123191794e-06,0.2095289366814963,0,0
LOWER,4,S:1685,A:LOWER:4:-8,0.23274352561898945,89,273,True,12,0.0002012435771591159,104.91859046722705,125.77772007914587,3.9025221431759904e-05,0.21568328440638332,0,0
LOWER,4,S:1687,A:LOWER:1:-9,0.27115372137185934,86,229,True,12,5.519985347651746e-05,105.84459792395178,126.7992442649538,8.957276546067705e-06,0.1747443050155488,0,0
LOWER,4,S:1689,A:LOWER:-14:-4,0.6986315559196477,88,4800,False,0,0.05207595098893192,41.49379728196591,143.73836505291746,0.009646304303435077,0.1063870657663201,1,1
LOWER,4,S:1683,A:LOWER:10:-6,0.23277309919574407,89,267,True,12,6.021105308562369e-05,99.88832801659417,132.5107080961612,1.0256780277190236e-05,0.22192581392249486,0,0
LOWER,4,S:1685,A:LOWER:7:-7,0.34016247870852506,89,198,True,12,5.3392590444900634e-05,108.70708609889955,129.69798220081762,9.68613982371691e-06,0.2356174171293657,0,0
LOWER,4,S:1687,A:LOWER:4:-8,0.48611667754196186,89,3107,True,12,5.795688898740936e-05,83.47882684727898,124.72361867308513,1.1163857869367355e-05,0.15784201826948616,0,0
LOWER,4,S:1689,A:LOWER:1:-9,0.6985551378210627,88,4800,False,0,0.05199953289034698,41.695843281517355,142.26437339843622,0.009632075878339752,0.10687230229885239,1,1
UPPER,4,S:1710,A:UPPER:13:5,0.4753090434882073,87,2588,True,12,1.1065266399823415e-06,77.52380846004493,153.4240631072859,2.1266925662177805e-07,0.1679785713621161,0,0
UPPER,4,S:1712,A:UPPER:10:6,1.1082351522468168,95,4800,False,0,0.46853554501616623,28.25706867607836,152.42674137442475,0.09266368193924174,0.12340087453924202,2,0
UPPER,4,S:1710,A:UPPER:10:6,0.6942172851659685,90,4800,False,0,0.05421257781777811,39.37590541262253,145.07990919599507,0.010489664947924915,0.10151524847239288,1,1
UPPER,4,S:1710,A:UPPER:7:7,0.929548070622891,91,4800,False,0,0.28984846339224046,39.10057999092114,147.51337403415545,0.05721077296902982,0.12437748890390354,2,0
UPPER,4,S:1710,A:UPPER:4:8,1.171445524362218,97,4800,False,0,0.5306418824433186,30.278856643981573,153.28002125816664,0.1059551055441372,0.12719654227710314,2,0
UPPER,4,S:1710,A:UPPER:1:9,1.4165495550356875,95,4800,False,0,0.7768499478050369,18.28473029473951,158.1951270912896,0.1539949970072099,0.12920504267339705,2,0
