end,added_node_global_index_0based,added_node_id,circumferential_index,element,parent_element,heavy_degree_in_seed,reserved_future_valence,target_final_coordination,coordinates_assigned,formal_charge_assigned,force_field_type_assigned
LOWER,1680,LOWER:HEX_EDGE:0,0,N,B,2,1,3,False,False,False
LOWER,1681,LOWER:HEX_EDGE:1,1,N,B,2,1,3,False,False,False
LOWER,1682,LOWER:HEX_EDGE:2,2,N,B,2,1,3,False,False,False
LOWER,1683,LOWER:HEX_EDGE:3,3,N,B,2,1,3,False,False,False
LOWER,1684,LOWER:HEX_EDGE:4,4,N,B,2,1,3,False,False,False
LOWER,1685,LOWER:HEX_EDGE:5,5,N,B,2,1,3,False,False,False
LOWER,1686,LOWER:HEX_EDGE:6,6,N,B,2,1,3,False,False,False
LOWER,1687,LOWER:HEX_EDGE:7,7,N,B,2,1,3,False,False,False
LOWER,1688,LOWER:HEX_EDGE:8,8,N,B,2,1,3,False,False,False
LOWER,1689,LOWER:HEX_EDGE:9,9,N,B,2,1,3,False,False,False
LOWER,1690,LOWER:HEX_EDGE:10,10,N,B,2,1,3,False,False,False
LOWER,1691,LOWER:HEX_EDGE:11,11,N,B,2,1,3,False,False,False
LOWER,1692,LOWER:HEX_EDGE:12,12,N,B,2,1,3,False,False,False
LOWER,1693,LOWER:HEX_EDGE:13,13,N,B,2,1,3,False,False,False
LOWER,1694,LOWER:HEX_EDGE:14,14,N,B,2,1,3,False,False,False
LOWER,1695,LOWER:HEX_EDGE:15,15,N,B,2,1,3,False,False,False
LOWER,1696,LOWER:HEX_EDGE:16,16,N,B,2,1,3,False,False,False
LOWER,1697,LOWER:HEX_EDGE:17,17,N,B,2,1,3,False,False,False
LOWER,1698,LOWER:HEX_EDGE:18,18,N,B,2,1,3,False,False,False
LOWER,1699,LOWER:HEX_EDGE:19,19,N,B,2,1,3,False,False,False
LOWER,1700,LOWER:HEX_EDGE:20,20,N,B,2,1,3,False,False,False
LOWER,1701,LOWER:HEX_EDGE:21,21,N,B,2,1,3,False,False,False
LOWER,1702,LOWER:HEX_EDGE:22,22,N,B,2,1,3,False,False,False
LOWER,1703,LOWER:HEX_EDGE:23,23,N,B,2,1,3,False,False,False
LOWER,1704,LOWER:HEX_EDGE:24,24,N,B,2,1,3,False,False,False
LOWER,1705,LOWER:HEX_EDGE:25,25,N,B,2,1,3,False,False,False
LOWER,1706,LOWER:HEX_EDGE:26,26,N,B,2,1,3,False,False,False
LOWER,1707,LOWER:HEX_EDGE:27,27,N,B,2,1,3,False,False,False
LOWER,1708,LOWER:HEX_EDGE:28,28,N,B,2,1,3,False,False,False
LOWER,1709,LOWER:HEX_EDGE:29,29,N,B,2,1,3,False,False,False
UPPER,1710,UPPER:HEX_EDGE:0,0,B,N,2,1,3,False,False,False
UPPER,1711,UPPER:HEX_EDGE:1,1,B,N,2,1,3,False,False,False
UPPER,1712,UPPER:HEX_EDGE:2,2,B,N,2,1,3,False,False,False
UPPER,1713,UPPER:HEX_EDGE:3,3,B,N,2,1,3,False,False,False
UPPER,1714,UPPER:HEX_EDGE:4,4,B,N,2,1,3,False,False,False
UPPER,1715,UPPER:HEX_EDGE:5,5,B,N,2,1,3,False,False,False
UPPER,1716,UPPER:HEX_EDGE:6,6,B,N,2,1,3,False,False,False
UPPER,1717,UPPER:HEX_EDGE:7,7,B,N,2,1,3,False,False,False
UPPER,1718,UPPER:HEX_EDGE:8,8,B,N,2,1,3,False,False,False
UPPER,1719,UPPER:HEX_EDGE:9,9,B,N,2,1,3,False,False,False
UPPER,1720,UPPER:HEX_EDGE:10,10,B,N,2,1,3,False,False,False
UPPER,1721,UPPER:HEX_EDGE:11,11,B,N,2,1,3,False,False,False
UPPER,1722,UPPER:HEX_EDGE:12,12,B,N,2,1,3,False,False,False
UPPER,1723,UPPER:HEX_EDGE:13,13,B,N,2,1,3,False,False,False
UPPER,1724,UPPER:HEX_EDGE:14,14,B,N,2,1,3,False,False,False
UPPER,1725,UPPER:HEX_EDGE:15,15,B,N,2,1,3,False,False,False
UPPER,1726,UPPER:HEX_EDGE:16,16,B,N,2,1,3,False,False,False
UPPER,1727,UPPER:HEX_EDGE:17,17,B,N,2,1,3,False,False,False
UPPER,1728,UPPER:HEX_EDGE:18,18,B,N,2,1,3,False,False,False
UPPER,1729,UPPER:HEX_EDGE:19,19,B,N,2,1,3,False,False,False
UPPER,1730,UPPER:HEX_EDGE:20,20,B,N,2,1,3,False,False,False
UPPER,1731,UPPER:HEX_EDGE:21,21,B,N,2,1,3,False,False,False
UPPER,1732,UPPER:HEX_EDGE:22,22,B,N,2,1,3,False,False,False
UPPER,1733,UPPER:HEX_EDGE:23,23,B,N,2,1,3,False,False,False
UPPER,1734,UPPER:HEX_EDGE:24,24,B,N,2,1,3,False,False,False
UPPER,1735,UPPER:HEX_EDGE:25,25,B,N,2,1,3,False,False,False
UPPER,1736,UPPER:HEX_EDGE:26,26,B,N,2,1,3,False,False,False
UPPER,1737,UPPER:HEX_EDGE:27,27,B,N,2,1,3,False,False,False
UPPER,1738,UPPER:HEX_EDGE:28,28,B,N,2,1,3,False,False,False
UPPER,1739,UPPER:HEX_EDGE:29,29,B,N,2,1,3,False,False,False
