gamma_phi_ps,sigma_E_meV,tau_c_ps,n_traj,mean_max_PYR2,std_max_PYR2,mean_final_PYR2,mean_t10_fs,mean_t20_fs,mean_t30_fs,min_eig_min,max_trace_err
0.0,0,0.05,6,0.3059453049238669,6.080941944488117e-17,0.30573819182579887,125.0,385.0,1310.0,0.0,8.586354455931869e-15
0.0,2,0.05,6,0.30882861226601893,0.0010059149681499642,0.30695223001028865,126.66666666666667,385.8333333333333,1333.3333333333333,0.0,1.952365770002636e-14
0.0,5,0.05,6,0.3201457650365969,0.004173370362739143,0.31072312521167805,131.66666666666666,369.1666666666667,1166.6666666666667,0.0,2.571972994442059e-14
0.0,10,0.05,6,0.33543812726223465,0.009404179457373167,0.32084728301192295,120.83333333333333,347.5,905.8333333333334,0.0,1.1731409657647126e-14
0.0,20,0.05,6,0.34332029191034413,0.003126340794825011,0.32619701637777493,123.33333333333333,283.3333333333333,732.5,0.0,1.8197424997403414e-14
0.1,0,0.05,6,0.30586599186640573,0.0,0.30569600215508347,125.0,385.0,1315.0,0.0,6.4723888632550165e-15
0.1,2,0.05,6,0.3083418919056766,0.0005946913103900939,0.30681832272166504,128.33333333333334,380.8333333333333,1300.0,0.0,1.6067938996969566e-14
0.1,5,0.05,6,0.32091017925891646,0.0022941559544464884,0.31369067335499773,125.0,370.8333333333333,1193.3333333333333,0.0,1.7971733303894097e-14
0.1,10,0.05,6,0.3359087692348619,0.011889384263508832,0.3199221143487026,127.5,310.8333333333333,953.3333333333334,0.0,1.9786821378495066e-14
0.1,20,0.05,6,0.34279387114350074,0.009233535102286083,0.3224788278755849,123.33333333333333,301.6666666666667,717.5,0.0,1.5557235240226903e-14
0.5,0,0.05,6,0.30568672710072237,0.0,0.3056117306198251,130.0,385.0,1330.0,0.0,1.9733325316245775e-14
0.5,2,0.05,6,0.3083521153277594,0.0010045773276016756,0.3064745156391542,131.66666666666666,389.1666666666667,1403.3333333333333,0.0,2.2211879407422582e-14
0.5,5,0.05,6,0.31882859719827855,0.0024400478805729495,0.31229607897532885,131.66666666666666,371.6666666666667,1075.8333333333333,0.0,1.667735099130792e-14
0.5,10,0.05,6,0.337770627399969,0.00824935076564209,0.3168110177895127,130.83333333333334,352.5,980.8333333333334,0.0,1.149679142245997e-14
0.5,20,0.05,6,0.33965287828751206,0.009020502954439926,0.33319300417052955,129.16666666666666,347.5,827.5,0.0,2.435225537875377e-14
1.0,0,0.05,6,0.30561544067839913,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.388909078211456e-14
1.0,2,0.05,6,0.30826050431695035,0.0006068842399954414,0.30736422242342093,129.16666666666666,379.1666666666667,1268.3333333333333,0.0,2.3894037508560585e-14
1.0,5,0.05,6,0.31588045576211327,0.0029957577156995525,0.311180187148542,128.33333333333334,360.8333333333333,1085.8333333333333,0.0,1.9047577248772486e-14
1.0,10,0.05,6,0.33313235231703614,0.011880366610106713,0.32513344936250893,121.66666666666667,340.0,925.8333333333334,0.0,1.9740877102302483e-14
1.0,20,0.05,6,0.3390671670653678,0.007594488533073302,0.3319297252953326,120.83333333333333,290.0,807.5,0.0,1.390651164678651e-14
5.0,0,0.05,6,0.30560558611232785,0.0,0.30557540616750073,135.0,380.0,1360.0,0.0,6.607332056557673e-15
5.0,2,0.05,6,0.30789842719357335,0.00027595609535204776,0.3069466159997209,135.0,377.5,1320.0,0.0,2.7056703834095314e-14
