candidate_id,offset_nm,spacing_nm,disk_radius_nm,disk_edge_margin_nm,beads_per_cap,total_cap_beads,coverage_hole_nm,axial_steric_overlap_nm,minimum_cap_HBN_distance_nm,minimum_cap_PYR_distance_nm,minimum_cap_waterO_distance_before_pruning_nm,removed_total_water_molecules,removed_total_water_fraction,removed_lumen_water_molecules,retained_lumen_water_molecules,retained_lumen_fraction,candidate_pass,failed_gates
offset_0.20_spacing_0.18,0.2,0.18,1.3596159162095995,0.15999999999999992,211,422,0.10335060500801665,0.14,0.20345663278127063,0.9466677371387271,0.020378577637386236,91,0.005470722616328003,0,428,1.0,True,
offset_0.20_spacing_0.20,0.2,0.2,1.3596159162095995,0.15999999999999992,163,326,0.11487751435963313,0.14,0.2000011218908756,0.9594965157359537,0.02598012583872102,83,0.004989779968738728,0,428,1.0,True,
offset_0.20_spacing_0.22,0.2,0.22,1.3596159162095995,0.15999999999999992,139,278,0.12598847831651677,0.14,0.20428280845032185,0.9118833702708187,0.04164909903815642,90,0.0054106047853793434,0,428,1.0,True,
offset_0.25_spacing_0.18,0.25,0.18,1.3596159162095995,0.15999999999999992,211,422,0.10335060500801665,0.09000000000000002,0.25277381474886346,0.9922599480677217,0.03881069920989767,106,0.0063724900805578934,0,428,1.0,True,
offset_0.25_spacing_0.20,0.25,0.2,1.3596159162095995,0.15999999999999992,163,326,0.11487751435963313,0.09000000000000002,0.25000089751360727,1.0045066270112084,0.04640196231562378,99,0.005951665263917278,0,428,1.0,True,
offset_0.25_spacing_0.22,0.25,0.22,1.3596159162095995,0.15999999999999992,139,278,0.12598847831651677,0.09000000000000002,0.25343927443936315,0.9591304817262699,0.015548402827122533,99,0.005951665263917278,0,428,1.0,True,
offset_0.30_spacing_0.18,0.3,0.18,1.3596159162095995,0.15999999999999992,211,422,0.10335060500801665,0.040000000000000036,0.30231540057147704,1.038258062592994,0.02692013566844203,126,0.007574846699531081,0,428,1.0,True,
offset_0.30_spacing_0.20,0.3,0.2,1.3596159162095995,0.15999999999999992,163,326,0.11487751435963313,0.040000000000000036,0.30000074792841697,1.0499683631945462,0.038585287345925784,117,0.007033786220993147,0,428,1.0,True,
offset_0.30_spacing_0.22,0.3,0.22,1.3596159162095995,0.15999999999999992,139,278,0.12598847831651677,0.040000000000000036,0.3028720287982215,1.0066435719640126,0.0369110930066182,120,0.007214139713839125,0,428,1.0,True,
