file,line_number,section,text,token_count,numeric_token_count,has_reference_marker_in_file,dummy_marker_in_file
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.345000 0.020000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.325000 0.020000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,10,atomtypes,B0 5 10.810000 0.000000 A 0.000000 0.000000,7,5,False,True
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,11,atomtypes,N0 7 14.007000 0.000000 A 0.000000 0.000000,7,5,False,True
