end,seed_atoms,annulus_atoms,attachment_edges,mean_parent_pair_distance_nm,minimum_parent_pair_distance_nm,maximum_parent_pair_distance_nm,Procrustes_RMS_lateral_residual_nm,maximum_lateral_residual_nm,annulus_rotation_determinant,annulus_center_offset_nm,attachment_plane_gap_nm,predicted_attachment_RMS_deviation_nm,predicted_attachment_max_deviation_nm,annulus_axial_coordinate_from_parent_plane_nm,inner_H_atoms,minimum_inner_H_radius_nm,mean_inner_H_radius_nm,nuclear_aperture_diameter_nm,nuclear_aperture_relative_error,outer_annulus_radius_mean_nm,outer_annulus_radius_relative_error,annulus_plane_axial_std_nm
LOWER,30,126,15,0.2506857576156429,0.2499699981997838,0.25179356624028354,0.3290575805821305,0.4412445946240302,1.0000000000000007,1.5999905622286487e-16,0.0,0.19836859800442289,0.29627170408375914,0.07288435456541342,12,0.4037075850578407,0.41270758505784105,0.8074151701156814,0.03811151196629764,1.0740383985523592,0.1043154209085436,7.398379055984204e-18
UPPER,30,126,15,0.2506857576156429,0.2499699981997838,0.25179356624028354,0.3289262827525763,0.44112094792421663,1.0000000000000004,2.607394380274776e-16,2e-05,0.1981966693800596,0.2961479482248047,0.07290435456541329,12,0.40370758505784043,0.41270758505784105,0.8074151701156809,0.038111511966298306,1.0740383985523592,0.1043154209085436,7.398379055984204e-18
