site,X1,X2,X3,X4
PYR2,-0.34354781,0.01942160,0.82950414,-0.43990975
PYR3,0.36192174,-0.81361609,-0.06953177,-0.44967415
PYR4,-0.44466098,0.22143678,-0.54678439,-0.67399496
PYR5,0.74381730,0.53723125,0.09008356,-0.38730268
