temperature_K,kappa_ref_ps_inv,frame,snapshot_time_ps,initial_state,final_survival,final_PYR5_population,maximum_PYR5_population,time_of_maximum_PYR5_ps,final_l1_distance_to_Gibbs,Gibbs_PYR5_population,maximum_energy_basis_rate_ps_inv,maximum_site_projector_overlap_weight
150.0,0.1,0,0.0,PYR2_bright,0.8330641073308567,8.031100555223693e-06,8.394966112768644e-06,99.25,1.9999379023358719,0.9999769822685074,0.004138730056707023,0.02391405606113543
150.0,0.1,0,0.0,PYR3_bright,0.5815234869576753,5.7240504918263213e-05,6.0798611431848955e-05,99.45,1.999839483527157,0.9999769822685074,0.004138730056707023,0.02391405606113543
150.0,0.1,0,0.0,PYR4_bright,0.6981002428888726,0.00042634259541307363,0.0004269892918231695,99.15,1.9991012793461196,0.9999769822685074,0.004138730056707023,0.02391405606113543
150.0,0.1,0,0.0,PYR5_bright,0.9999221537333787,0.9999221537333787,1.0,0.0,0.00010965707012693185,0.9999769822685074,0.004138730056707023,0.02391405606113543
150.0,1.0,0,0.0,PYR2_bright,0.6306688231605269,0.00037397833019106694,0.00037397833019106694,100.0,1.9992060078768312,0.9999769822685074,0.041387300567070226,0.02391405606113543
150.0,1.0,0,0.0,PYR3_bright,0.26867938619150966,0.0006642182506847448,0.0006642182506847448,100.0,1.998625528035845,0.9999769822685074,0.041387300567070226,0.02391405606113543
150.0,1.0,0,0.0,PYR4_bright,0.14238584500772172,0.0015863160707018618,0.0015863160707018618,100.0,1.9967813323957961,0.9999769822685074,0.041387300567070226,0.02391405606113543
150.0,1.0,0,0.0,PYR5_bright,0.9999486465663544,0.9999486465663544,1.0,0.0,5.667140450524154e-05,0.9999769822685074,0.041387300567070226,0.02391405606113543
150.0,10.0,0,0.0,PYR2_bright,0.6169792586296603,0.005537479664717102,0.005537479664717102,100.0,1.9888790052076395,0.9999769822685074,0.4138730056707023,0.02391405606113543
150.0,10.0,0,0.0,PYR3_bright,0.2647979735456559,0.005844848271457143,0.005844848271457143,100.0,1.9882642679941753,0.9999769822685074,0.4138730056707023,0.02391405606113543
150.0,10.0,0,0.0,PYR4_bright,0.1124617778900624,0.0067885919674434865,0.0067885919674434865,100.0,1.9863767806022237,0.9999769822685074,0.4138730056707023,0.02391405606113543
150.0,10.0,0,0.0,PYR5_bright,0.9999541195837358,0.9999541195837358,1.0,0.0,4.572536962487629e-05,0.9999769822685074,0.4138730056707023,0.02391405606113543
150.0,0.1,1,5.0,PYR2_bright,0.8661154008793281,1.02036899425964e-05,1.0216195101074624e-05,99.05000000000001,1.9999376325172125,0.999979019948691,0.0011213022129245792,0.008470351201202486
150.0,0.1,1,5.0,PYR3_bright,0.9617148525810711,2.784193227200378e-05,2.852332634443834e-05,98.5,1.9999023560325495,0.999979019948691,0.0011213022129245792,0.008470351201202486
150.0,0.1,1,5.0,PYR4_bright,0.896726448482877,0.0004109956065799935,0.0004485994042641126,99.45,1.999136048683975,0.999979019948691,0.0011213022129245792,0.008470351201202486
150.0,0.1,1,5.0,PYR5_bright,0.9999581934743256,0.9999581934743256,1.0,0.0,4.1652948347878105e-05,0.999979019948691,0.0011213022129245792,0.008470351201202486
150.0,1.0,1,5.0,PYR2_bright,0.323881762052036,0.00042990260464130086,0.00042990260464130086,100.0,1.9990982346880384,0.999979019948691,0.011213022129245792,0.008470351201202486
150.0,1.0,1,5.0,PYR3_bright,0.7970834300636324,0.00034254881106256333,0.00034254881106256333,100.0,1.999272942275188,0.999979019948691,0.011213022129245792,0.008470351201202486
150.0,1.0,1,5.0,PYR4_bright,0.38833857335155275,0.0025809184265023627,0.002598154893166974,99.60000000000001,1.9947962030442923,0.999979019948691,0.011213022129245792,0.008470351201202486
150.0,1.0,1,5.0,PYR5_bright,0.9999576304647164,0.9999576304647164,1.0,0.0,4.277896788298871e-05,0.999979019948691,0.011213022129245792,0.008470351201202486
150.0,10.0,1,5.0,PYR2_bright,0.17607704772341684,0.005848365192697745,0.005848365192697745,100.0,1.9882613095116897,0.999979019948691,0.11213022129245792,0.008470351201202486
150.0,10.0,1,5.0,PYR3_bright,0.7078374193130491,0.0055014593246695866,0.0055014593246695866,100.0,1.9889551212477876,0.999979019948691,0.11213022129245792,0.008470351201202486
150.0,10.0,1,5.0,PYR4_bright,0.1101828001132545,0.008817986220624468,0.008817986220624468,100.0,1.9823220674558457,0.999979019948691,0.11213022129245792,0.008470351201202486
150.0,10.0,1,5.0,PYR5_bright,0.9999578242899075,0.9999578242899075,1.0,0.0,4.239131723410403e-05,0.999979019948691,0.11213022129245792,0.008470351201202486
150.0,0.1,2,10.0,PYR2_bright,0.3058620721471223,0.0001048150219968594,0.0001048352216476762,99.95,1.9997478334198175,0.9999787317320259,0.01251440372214837,0.054173256812047293
150.0,0.1,2,10.0,PYR3_bright,0.5129291427074495,0.00010193988505527583,0.00010499308638786435,99.4,1.9997535836936815,0.9999787317320259,0.01251440372214837,0.054173256812047293
