node_id,element,node_type,end,source_index_0based,graph_source,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,heavy_degree,H_degree,heavy_neighbors,H_neighbors
S:1680,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1680,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,0,3,0,BR4:LOWER:00:1 | P:46 | P:48,
S:1681,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1681,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,1,2,1,P:48 | P:50,H4:LOWER:0174:0
S:1682,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1682,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,2,3,0,BR4:LOWER:01:1 | P:50 | P:52,
S:1683,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1683,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,3,2,1,P:52 | P:54,H4:LOWER:0175:0
S:1684,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1684,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,4,3,0,BR4:LOWER:02:1 | P:54 | P:56,
S:1685,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1685,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,5,2,1,P:56 | P:58,H4:LOWER:0176:0
S:1686,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1686,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,6,3,0,BR4:LOWER:03:1 | P:0 | P:58,
S:1687,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1687,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,7,2,1,P:0 | P:2,H4:LOWER:0177:0
S:1688,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1688,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,8,3,0,BR4:LOWER:04:1 | P:2 | P:4,
S:1689,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1689,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,9,2,1,P:4 | P:6,H4:LOWER:0178:0
S:1690,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1690,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,10,3,0,BR4:LOWER:05:1 | P:6 | P:8,
S:1691,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1691,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,11,2,1,P:10 | P:8,H4:LOWER:0179:0
S:1692,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1692,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,12,3,0,BR4:LOWER:06:1 | P:10 | P:12,
S:1693,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1693,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,13,2,1,P:12 | P:14,H4:LOWER:0180:0
S:1694,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1694,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,14,3,0,BR4:LOWER:07:1 | P:14 | P:16,
S:1695,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1695,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,15,2,1,P:16 | P:18,H4:LOWER:0181:0
S:1696,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1696,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,16,3,0,BR4:LOWER:08:1 | P:18 | P:20,
S:1697,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1697,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,17,2,1,P:20 | P:22,H4:LOWER:0182:0
S:1698,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1698,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,18,3,0,BR4:LOWER:09:1 | P:22 | P:24,
S:1699,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1699,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,19,2,1,P:24 | P:26,H4:LOWER:0183:0
S:1700,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1700,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,20,3,0,BR4:LOWER:10:1 | P:26 | P:28,
S:1701,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1701,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,21,2,1,P:28 | P:30,H4:LOWER:0184:0
S:1702,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1702,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,22,3,0,BR4:LOWER:11:1 | P:30 | P:32,
S:1703,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1703,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,23,2,1,P:32 | P:34,H4:LOWER:0185:0
S:1704,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1704,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,24,3,0,BR4:LOWER:12:1 | P:34 | P:36,
S:1705,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1705,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,25,2,1,P:36 | P:38,H4:LOWER:0186:0
S:1706,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1706,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,26,3,0,BR4:LOWER:13:1 | P:38 | P:40,
S:1707,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1707,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,27,2,1,P:40 | P:42,H4:LOWER:0187:0
S:1708,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1708,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,28,3,0,BR4:LOWER:14:1 | P:42 | P:44,
S:1709,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,1709,GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE,False,False,False,29,2,1,P:44 | P:46,H4:LOWER:0188:0
