frame,site,bright_root,grid,raw_source_cube,raw_production_cube,sqrt2_normalized_cube,gauge_sign,density_scale_applied,status
0,PYR2,2,80,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR2/pilot.cistp02.N80.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/raw_cubes/frame000_PYR2_bright_S2_tdens_N80_raw.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/sqrt2_normalized_cubes/frame000_PYR2_bright_S2_tdens_N80_sqrt2.cube,-1,-1.4142135623730951,PASS
0,PYR3,2,80,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR3/pilot.cistp02.N80.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/raw_cubes/frame000_PYR3_bright_S2_tdens_N80_raw.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/sqrt2_normalized_cubes/frame000_PYR3_bright_S2_tdens_N80_sqrt2.cube,-1,-1.4142135623730951,PASS
0,PYR4,2,80,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR4/pilot.cistp02.N80.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/raw_cubes/frame000_PYR4_bright_S2_tdens_N80_raw.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/sqrt2_normalized_cubes/frame000_PYR4_bright_S2_tdens_N80_sqrt2.cube,-1,-1.4142135623730951,PASS
0,PYR5,1,80,runs/phase1A/day016_md_bath_extraction/day019_transition_density_pilot/inputs/PYR5/pilot.cistp01.N80.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/raw_cubes/frame000_PYR5_bright_S1_tdens_N80_raw.cube,runs/phase1A/day016_md_bath_extraction/day019_bright_transition_density_N80/sqrt2_normalized_cubes/frame000_PYR5_bright_S1_tdens_N80_sqrt2.cube,-1,-1.4142135623730951,PASS
