cluster,n_frames,vacuum_energy_eV,mean_embedded_energy_eV,mean_solvent_shift_meV,std_solvent_shift_meV,min_solvent_shift_meV,max_solvent_shift_meV
PYR2,21,4.09,4.088571428571429,-1.4285714285713558,11.084094137869096,-22.00000000000024,14.000000000000234
PYR3,21,4.081,4.078047619047619,-2.952380952381304,11.901580527292154,-29.000000000000803,14.99999999999968
PYR4,21,4.089,4.090619047619048,1.6190476190472292,7.586014701252526,-20.000000000000462,14.99999999999968
PYR5,21,3.78,3.7769523809523813,-3.04761904761886,16.43008274621953,-29.999999999999805,17.000000000000348
