frame,site,S1_energy_eV,S1_fosc,S2_energy_eV,S2_fosc,S1_S2_gap_meV,bright_root,alternate_root,expected_bright_root,mapping_preserved,bright_energy_eV,bright_fosc,alternate_energy_eV,alternate_fosc,bright_fraction_of_S1_S2_fosc,source_output
5,PYR4,4.034,0.00846338,4.089,0.501976497,55.000000000000604,2,1,2,True,4.089,0.501976497,4.034,0.00846338,0.9834194380546016,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.out
5,PYR5,3.797,0.647307662,3.871,0.020591079,73.99999999999984,1,2,1,True,3.797,0.647307662,3.871,0.020591079,0.9691703581157072,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.out
6,PYR2,4.015,0.018233407,4.081,0.486883676,66.00000000000072,2,1,2,True,4.081,0.486883676,4.015,0.018233407,0.9639026126542625,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.out
6,PYR3,4.019,0.011422138,4.096,0.492967153,76.99999999999996,2,1,2,True,4.096,0.492967153,4.019,0.011422138,0.9773545192100441,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.out
6,PYR4,4.029,0.010112754,4.092,0.510757213,62.99999999999972,2,1,2,True,4.092,0.510757213,4.029,0.010112754,0.9805848779144527,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.out
6,PYR5,3.776,0.659519925,3.845,0.003925759,69.0000000000004,1,2,1,True,3.776,0.659519925,3.845,0.003925759,0.9940827725695175,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.out
7,PYR2,4.011,0.009094124,4.103,0.490046455,91.99999999999963,2,1,2,True,4.103,0.490046455,4.011,0.009094124,0.981780435447225,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.out
7,PYR3,3.969,0.012775698,4.07,0.490450249,101.00000000000043,2,1,2,True,4.07,0.490450249,3.969,0.012775698,0.9746124020906259,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.out
7,PYR4,4.02,0.007441762,4.093,0.512697666,73.0000000000004,2,1,2,True,4.093,0.512697666,4.02,0.007441762,0.9856927554432577,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.out
7,PYR5,3.79,0.659436962,3.859,0.011305277,68.99999999999994,1,2,1,True,3.79,0.659436962,3.859,0.011305277,0.9831451243970339,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.out
8,PYR2,3.994,0.005736425,4.079,0.501966286,84.99999999999952,2,1,2,True,4.079,0.501966286,3.994,0.005736425,0.9887012125881675,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.out
8,PYR3,4.007,0.017981471,4.073,0.491495921,66.00000000000072,2,1,2,True,4.073,0.491495921,4.007,0.017981471,0.9647060472508661,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out
8,PYR4,4.02,0.016727833,4.092,0.503082331,72.00000000000006,2,1,2,True,4.092,0.503082331,4.02,0.016727833,0.9678193422166327,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.out
8,PYR5,3.793,0.655883767,3.871,0.024370445,77.99999999999984,1,2,1,True,3.793,0.655883767,3.871,0.024370445,0.9641745033399367,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.out
9,PYR2,4.017,0.008133955,4.094,0.503201742,76.99999999999996,2,1,2,True,4.094,0.503201742,4.017,0.008133955,0.9840927299859528,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.out
9,PYR3,4.002,0.004027262,4.075,0.514855013,73.0000000000004,2,1,2,True,4.075,0.514855013,4.002,0.004027262,0.9922385824414602,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.out
9,PYR4,4.019,0.025502917,4.08,0.510873621,60.99999999999994,2,1,2,True,4.08,0.510873621,4.019,0.025502917,0.9524533323267769,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding.out
9,PYR5,3.75,0.62317919,3.84,0.01299225,89.99999999999986,1,2,1,True,3.75,0.62317919,3.84,0.01299225,0.9795774390626526,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.out
10,PYR2,3.998,0.008701298,4.079,0.503064953,80.99999999999952,2,1,2,True,4.079,0.503064953,3.998,0.008701298,0.9829975150119855,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.out
10,PYR3,3.996,0.004807113,4.065,0.507950168,69.0000000000004,2,1,2,True,4.065,0.507950168,3.996,0.004807113,0.9906249736900371,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.out
10,PYR4,4.02,0.013226282,4.099,0.501788253,79.00000000000063,2,1,2,True,4.099,0.501788253,4.02,0.013226282,0.9743186238423349,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.out
10,PYR5,3.791,0.663968719,3.859,0.010302342,68.00000000000006,1,2,1,True,3.791,0.663968719,3.859,0.010302342,0.9847207709244992,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.out
