frame,PYR2,PYR3,PYR4,PYR5
0,0.06400000000000006,0.07500000000000018,0.0860000000000003,-0.22499999999999964
1,0.0847500000000001,0.06675000000000031,0.09075000000000033,-0.2422500000000003
2,0.0810000000000004,0.0730000000000004,0.08000000000000007,-0.23399999999999999
3,0.09849999999999959,0.06549999999999923,0.09149999999999991,-0.2555000000000005
4,0.08999999999999986,0.08399999999999963,0.07599999999999962,-0.25
5,0.06649999999999956,0.050499999999999545,0.08750000000000036,-0.2044999999999999
6,0.06975000000000087,0.08475000000000055,0.0807500000000001,-0.23524999999999974
7,0.08899999999999952,0.05600000000000005,0.07899999999999974,-0.2240000000000002
8,0.06974999999999998,0.06375000000000064,0.08274999999999988,-0.2162499999999996
9,0.09425000000000017,0.07525000000000004,0.08024999999999993,-0.24975000000000014
10,0.07050000000000001,0.05650000000000066,0.09050000000000047,-0.2174999999999998
11,0.08650000000000002,0.059499999999999886,0.07850000000000001,-0.22449999999999992
12,0.0625,0.06950000000000056,0.08750000000000036,-0.21949999999999958
13,0.08749999999999947,0.05849999999999955,0.08650000000000002,-0.23250000000000037
14,0.08150000000000013,0.08550000000000058,0.05850000000000044,-0.22549999999999937
15,0.07950000000000035,0.0674999999999999,0.0754999999999999,-0.2224999999999997
16,0.08424999999999994,0.06225000000000058,0.07725000000000026,-0.2237499999999999
17,0.08199999999999985,0.08300000000000018,0.08699999999999974,-0.2520000000000002
18,0.08274999999999988,0.08475000000000055,0.08375000000000021,-0.25124999999999975
19,0.07675000000000054,0.07075000000000031,0.07975000000000065,-0.22724999999999929
20,0.07925000000000004,0.06724999999999959,0.08424999999999994,-0.23075000000000045
