requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
ANGLE,ANGLE_0011,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY -- H|ANNULUS_INNER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0012,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR,138,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0013,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY,48,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0014,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR,18,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0015,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0016,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0017,B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0018,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0019,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0020,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0021,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN -- B|HEXAGONAL_EDGE_COMPLETION_SEED,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0022,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN -- B|PARENT_HBN,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0023,B|PARENT_HBN -- N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0024,B|PARENT_HBN -- N|HEXAGONAL_EDGE_COMPLETION_SEED -- H|SEED_PASSIVANT_H,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0025,B|PARENT_HBN -- N|PARENT_HBN -- B|PARENT_HBN,2430,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0026,H|ANNULUS_INNER_PASSIVANT_H -- B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0027,H|ANNULUS_OUTER_PASSIVANT_H -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0028,H|ANNULUS_OUTER_PASSIVANT_H -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0029,H|BRIDGE_PASSIVANT_H -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,90,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0030,H|BRIDGE_PASSIVANT_H -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0031,H|BRIDGE_PASSIVANT_H -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
