case,trajectory,solver_success,max_trace_error,min_density_eigenvalue,max_PYR2,final_PYR2,t_PYR2_10pct_fs,t_PYR2_20pct_fs,t_PYR2_30pct_fs
site_disorder_5meV,0,True,1.2602650112527154e-14,0.0,0.31427726135695766,0.30773868763174855,140.0,360.0,1130.0
site_disorder_5meV,1,True,1.1886573332441599e-14,0.0,0.3147471711611821,0.3097039722972481,130.0,420.0,1450.0
site_disorder_5meV,2,True,1.5474043624389147e-14,0.0,0.32477607342545345,0.30789689346010446,120.0,360.0,1070.0
site_disorder_5meV,3,True,1.8412592101593418e-14,0.0,0.31493944857725914,0.3094663708044863,130.0,390.0,1270.0
site_disorder_5meV,4,True,1.1459305618471143e-14,0.0,0.3121861787229771,0.30833146225526653,140.0,370.0,1160.0
site_disorder_5meV,5,True,1.247058925479362e-14,0.0,0.3153460400493644,0.3153460400493644,130.0,380.0,1330.0
site_disorder_5meV,6,True,2.223163071886711e-14,0.0,0.3177147351825068,0.3177147351825068,140.0,400.0,1090.0
site_disorder_5meV,7,True,1.458532284865229e-14,0.0,0.31491584997007116,0.311441492364934,140.0,380.0,1340.0
site_disorder_5meV,8,True,2.9686301308425253e-14,0.0,0.3173496977388574,0.3127418357717468,130.0,370.0,990.0
site_disorder_5meV,9,True,8.641198402058268e-15,0.0,0.3189979253470156,0.3118676281166814,120.0,370.0,1190.0
site_disorder_5meV,10,True,1.2590005475534595e-14,0.0,0.31778333139983916,0.30961475323123716,150.0,420.0,1410.0
site_disorder_5meV,11,True,8.071104762592579e-15,0.0,0.31588024731331205,0.31467986770646167,140.0,380.0,1170.0
site_disorder_5meV,12,True,1.1435524999598969e-14,0.0,0.31406458047990393,0.30703874193544933,120.0,350.0,1180.0
site_disorder_5meV,13,True,1.0565476732986106e-14,0.0,0.3248443942203056,0.3164111012488994,110.0,370.0,1120.0
site_disorder_5meV,14,True,1.0296208675844188e-14,0.0,0.33396078184299977,0.31882552658460916,140.0,350.0,980.0
site_disorder_5meV,15,True,2.57367974304792e-14,0.0,0.32070680739082696,0.308737357333511,140.0,360.0,1380.0
site_disorder_5meV,16,True,1.432490454272194e-14,0.0,0.3153142345617554,0.30925472335925114,130.0,350.0,1220.0
site_disorder_5meV,17,True,1.3234643649700589e-14,0.0,0.32772627389225895,0.30921060668975414,120.0,360.0,1310.0
site_disorder_5meV,18,True,7.746407044114528e-15,0.0,0.315022488199955,0.3092577537763954,130.0,360.0,1040.0
site_disorder_5meV,19,True,8.131983076504551e-15,0.0,0.31546274462274626,0.3053689481846986,130.0,390.0,1180.0
site_disorder_5meV,20,True,1.2407578784392467e-14,0.0,0.31562803190598393,0.309257781709488,120.0,360.0,1140.0
site_disorder_5meV,21,True,2.482371803245914e-14,0.0,0.32292029815636564,0.3129528480251778,140.0,420.0,1440.0
site_disorder_5meV,22,True,1.2677218642981833e-14,0.0,0.3184343974038961,0.3100594235096059,140.0,390.0,1110.0
site_disorder_5meV,23,True,2.278011139489852e-14,0.0,0.317823337015017,0.3111782338160109,140.0,390.0,1290.0
site_disorder_5meV,24,True,1.4056561527508076e-14,0.0,0.3139426608763989,0.30743572370467465,130.0,390.0,1400.0
site_disorder_5meV,25,True,9.780968475213644e-15,0.0,0.3157453062777082,0.31237618795220573,130.0,350.0,910.0
site_disorder_5meV,26,True,7.230023152107912e-15,0.0,0.32826627868913577,0.3229037549116998,130.0,370.0,1030.0
site_disorder_5meV,27,True,1.3203506300811501e-14,0.0,0.31473940145002416,0.3088512003546826,140.0,390.0,1230.0
site_disorder_5meV,28,True,1.9833503407192335e-14,0.0,0.318651239693746,0.30889623178223463,140.0,350.0,1240.0
site_disorder_5meV,29,True,1.0215255946766718e-14,0.0,0.31348914486054247,0.31039354447657436,140.0,390.0,1310.0
