end,robust_plane_coordinate_nm,end_ring_atom_count,waterO_inside_0p30nm,waterO_outside_0p30nm,waterO_total_near_plane_0p30nm,minimum_waterO_to_end_ring_nm
lower,-3.0087142857142846,60,22,31,53,0.33313810949814776
upper,3.009285714285716,60,22,24,46,0.31348046191110507
