node_type,pair_count,RMSD_nm,mean_deviation_nm,maximum_deviation_nm
ALTERNATING_BN_FOUR_ATOM_BRIDGE,60,0.6087480048117733,0.5441142532751202,1.3230361374433754
ANNULUS_INNER_BOUNDARY,12,1.8665839559811222e-15,1.864283583012835e-15,2.0350724194510405e-15
ANNULUS_INTERIOR,84,1.9442115379207108e-15,1.9362691124988407e-15,2.5510982866352577e-15
ANNULUS_OUTER_BOUNDARY,30,1.8928135877256275e-15,1.8891137351315494e-15,2.175583928816829e-15
HEXAGONAL_EDGE_COMPLETION_SEED,30,0.4958843112420699,0.49588422835373386,0.49641143039888064
