rank,atom_i,atom_j,start_length_nm,final_length_nm,change_nm,absolute_change_nm
1,1502,1561,0.14884219831754697,0.1356871401423142,-0.01315505817523277,0.01315505817523277
2,1238,1297,0.13966746220934956,0.15088406145116856,0.011216599241819003,0.011216599241819003
3,628,685,0.15089400253157875,0.13994999106823894,-0.010944011463339814,0.010944011463339814
4,340,399,0.13850992744204316,0.14863714206079173,0.010127214618748576,0.010127214618748576
5,1433,1434,0.1420035210831059,0.15203289117819224,0.010029370095086337,0.010029370095086337
6,1425,1426,0.1410460917572692,0.1510132444522663,0.009967152694997095,0.009967152694997095
7,33,34,0.14869095466772694,0.13876959321119328,-0.009921361456533662,0.009921361456533662
8,250,307,0.14253771430747733,0.1524467120012764,0.009908997693799076,0.009908997693799076
9,8,67,0.14331085094995472,0.1531665759883664,0.009855725038411672,0.009855725038411672
10,42,101,0.13945967159003367,0.14868086628749516,0.009221194697461493,0.009221194697461493
11,1442,1559,0.13846299144536728,0.14748898263938187,0.009025991194014593,0.009025991194014593
12,1582,1639,0.14331085094995405,0.15214795430764114,0.008837103357687087,0.008837103357687087
13,1294,1353,0.1416580389529658,0.15048587973627323,0.008827840783307422,0.008827840783307422
14,302,361,0.141686273153048,0.15046926596484725,0.008782992811799256,0.008782992811799256
15,1399,1400,0.14900671125825174,0.1403460010117857,-0.00866071024646603,0.00866071024646603
16,1206,1265,0.1417109734635961,0.15026310259008982,0.008552129126493724,0.008552129126493724
17,41,42,0.14897315194356323,0.1404350383629387,-0.008538113580624535,0.008538113580624535
18,1040,1097,0.14073379125142593,0.1491743945856661,0.008440603334240154,0.008440603334240154
19,1466,1525,0.14819244245237356,0.13988924190229893,-0.008303200550074635,0.008303200550074635
20,610,667,0.14117719362559916,0.14944564229177112,0.008268448666171963,0.008268448666171963
