chromophore,source_job,target_job,source_input,target_input,target_xyz,diff_file,method_line,nroots,tda,charge,multiplicity,n_atoms,n_C,n_H,pointcharges_present,source_sha256,target_sha256,only_removed_line
PYR2,frame000_PYR2_embedding,frame000_PYR2_vacuum_reference,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR2_vacuum_reference/frame000_PYR2_vacuum_reference.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR2_vacuum_reference/frame000_PYR2_vacuum_reference_qm.xyz,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR2_vacuum_reference/frame000_PYR2_vacuum_reference_vs_embedding.diff,! wB97X-D3 def2-SVP def2/J RIJCOSX TightSCF,10,True,0,1,26,16,10,False,f56689b45936d986497cb8610d34429ea57ee394cf63fc0579aa79df3c0be851,367ccabf5b1d06ed28dbebc641a3d04fb31af6e1b48a053f3a0957a7da891304,"%pointcharges ""frame000_PYR2_embedding.pc"""
PYR3,frame000_PYR3_embedding,frame000_PYR3_vacuum_reference,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR3_vacuum_reference/frame000_PYR3_vacuum_reference.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR3_vacuum_reference/frame000_PYR3_vacuum_reference_qm.xyz,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR3_vacuum_reference/frame000_PYR3_vacuum_reference_vs_embedding.diff,! wB97X-D3 def2-SVP def2/J RIJCOSX TightSCF,10,True,0,1,26,16,10,False,63c75ff5647a9066bd229c3e544911b02f14f8c19217311f763fc03ec5d03b8c,af38bfb4053b929863d6c38b3b5747e6699a1c0406283bfdb0fbb126772a5afe,"%pointcharges ""frame000_PYR3_embedding.pc"""
PYR4,frame000_PYR4_embedding,frame000_PYR4_vacuum_reference,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR4_vacuum_reference/frame000_PYR4_vacuum_reference.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR4_vacuum_reference/frame000_PYR4_vacuum_reference_qm.xyz,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR4_vacuum_reference/frame000_PYR4_vacuum_reference_vs_embedding.diff,! wB97X-D3 def2-SVP def2/J RIJCOSX TightSCF,10,True,0,1,26,16,10,False,7b1b0c899660c0f8cd7e67386237a3660474d253c33bdc118f440d20a120c952,f63e9f8cbea966abd4288d5835aaa97e9c5dec041a95d54636a970df66bf4c84,"%pointcharges ""frame000_PYR4_embedding.pc"""
PYR5,frame000_PYR5_embedding,frame000_PYR5_vacuum_reference,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR5_vacuum_reference/frame000_PYR5_vacuum_reference.inp,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR5_vacuum_reference/frame000_PYR5_vacuum_reference_qm.xyz,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR5_vacuum_reference/frame000_PYR5_vacuum_reference_vs_embedding.diff,! wB97X-D3 def2-SVP def2/J RIJCOSX TightSCF,10,True,0,1,26,16,10,False,56fdcf5407caa7f9ad527ff9a8b9ac0b89adb194f1aad9062f42adfc2d58895b,e05f2a22c0d71962305e3f5b64e56e18415ef96b909eb46b3fbaa948a01c9949,"%pointcharges ""frame000_PYR5_embedding.pc"""
