window_start_ps,window_end_ps,points,occupancy_start,occupancy_end,occupancy_change,occupancy_mean,occupancy_minimum,occupancy_maximum,occupancy_slope_water_ps,retained_initial_start,retained_initial_end,retained_initial_change,retained_initial_slope_water_ps,noninitial_occupancy_start,noninitial_occupancy_end,noninitial_occupancy_maximum
0.0,20.0,41,428,416,-12,420.8536585365854,414,429,-0.767247386759577,428,414,-14,-0.7149825783972114,0,2,4
5.0,20.0,31,426,416,-10,418.80645161290323,414,426,-0.7225806451612932,422,414,-8,-0.6782258064516116,4,2,4
10.0,20.0,21,421,416,-5,416.76190476190476,414,422,-0.5090909090909095,419,414,-5,-0.5090909090909047,2,2,2
12.5,20.0,16,417,416,-1,415.8125,414,417,-0.1499999999999794,415,414,-1,-0.149999999999993,2,2,2
15.0,20.0,11,416,416,0,415.6363636363636,414,417,-0.1636363636363845,414,414,0,-0.16363636363638778,2,2,2
