frame,absolute_time_ps,relative_time_ps,HBN_aligned_rms_nm,HBN_aligned_max_nm,HBN_bond_deviation_q99_nm,HBN_bond_deviation_max_nm,HBN_angle_deviation_q99_deg,HBN_angle_deviation_max_deg,HBN_planarity_q95_deg,HBN_planarity_q99_deg,HBN_planarity_max_deg,HBN_equilibrium_q99_deg,HBN_equilibrium_max_deg,PYR_max_aligned_rms_nm,PYR_max_bond_deviation_nm,PYR_max_angle_deviation_deg,HBN_PYR_minimum_contact_nm,PYR_PYR_minimum_contact_nm,PYR_waterO_minimum_contact_nm
0,0.0,0.0,2.4381133086817255e-05,0.0009986586137091648,0.007577117426796362,0.011955407680014685,2.8943866242946426,5.201332395657403,16.96064899859943,20.760470869255283,31.033584189749803,20.21056880721647,26.55498418974983,6.071379453265956e-16,0.006578122922714327,7.245084178867131,0.28303356691389053,1.8560223597791057,0.2992941696725816
1,0.5,0.5,0.03170213234113012,0.14746913653844843,0.007903061108968696,0.010653973535744848,2.8988537994733927,4.564718683228435,16.750077977253717,21.230005060620183,27.77260569420659,20.890803437262218,29.53180176442055,0.023462833219893904,0.007699058478129295,10.604310726557912,0.3004080558174162,1.8116172333028853,0.30161896492097445
2,1.0,1.0,0.03842457578828994,0.1597202325740101,0.007894678119359887,0.010689799357815971,2.9862128798594534,4.365235923649394,17.00712797959711,20.77636773293773,25.27379128618702,18.910827705115867,26.359666354878527,0.021536636106696896,0.009792105578551563,8.866331582769504,0.29986830442712686,1.8196821150959308,0.2948185882877804
3,1.5,1.5,0.04627074017592491,0.15665350888893745,0.0078100454091687335,0.010582921043844978,2.913348362637073,4.345372198180243,16.902903976999085,21.351894372073705,24.350946958283316,20.57062149462155,29.061046958283328,0.01664956511062068,0.006731268498502363,10.25173455467936,0.2962937731374052,1.843385201199142,0.29113227234368916
4,2.0,2.0,0.04458612601323183,0.16518791358101095,0.007958333570293602,0.010210199692652494,2.9437279231557594,4.478381998793637,16.748729689780898,21.212476855976476,26.742308384612954,19.399860232966248,27.124327274282905,0.02179104170358445,0.010012815496471317,7.511850797695672,0.3049688508684122,1.7763347094508959,0.2928924717366425
5,2.5,2.5,0.04112851321954542,0.18838502489108241,0.007550638041476998,0.00981547043850231,2.7703696855405338,4.359088084620723,16.848791232966775,20.665362464307783,26.878874404293015,19.821095642719808,30.548556940625758,0.01858188396567292,0.007515876617542314,8.89959198445328,0.3106798995751093,1.7402956645351964,0.2914566863189111
6,3.0,3.0,0.04053650223053895,0.20777517181987226,0.00802357124296825,0.011195390456952697,3.0146601687685437,5.16552570469392,17.12093164581716,20.577112252800788,26.848160535629574,19.759880895125445,27.825888926308153,0.018869972181700553,0.007197236581880678,7.1706090549742925,0.3055715955385897,1.6601569202939825,0.28832273583607637
7,3.5,3.5,0.04113457789921692,0.18210111645522795,0.007425049896500125,0.011260532945448376,3.049219514097878,4.978286315877597,17.31301080730447,20.466605279528878,25.92351809133362,21.855678540758802,27.648330736212415,0.022866149276241896,0.009264328785261178,6.754593525931298,0.29857997253667223,1.709244569978211,0.30006832555269786
8,4.0,4.0,0.04425045172712824,0.2028298152842096,0.007543156619440971,0.010572702679200435,2.994767929362513,4.361951223027376,16.93162266463642,20.761025134956764,24.9020741682869,21.50656080488962,32.916373715322834,0.01806619061167387,0.00676463929644984,8.446407099663048,0.2901189411258765,1.7458513682441583,0.2984308965238016
9,4.5,4.5,0.042944472026367274,0.23344985300262508,0.00774644685560637,0.010535326484115703,3.0020128556366688,4.345393718698901,16.832667574090202,20.745719855244733,28.902328531505873,19.91303007861044,28.755771334702672,0.020140852478576905,0.008790597038827647,8.12198899687408,0.29570424413592716,1.7078600645251945,0.2842868269899259
10,5.0,5.0,0.0419664079003802,0.18144708121926387,0.007756171757133888,0.010608090569846962,2.987464673683903,5.273342646430322,16.718956284925877,20.60452981968432,24.047811473731684,20.351975294394652,28.454492730582274,0.019938910951732534,0.006830149635209087,8.820570115073977,0.2911460114787768,1.6324601067101148,0.2980570415205783
11,5.5,5.5,0.04076425260116687,0.28507622072542604,0.007654703289302085,0.011397535434796019,2.9266282181102157,4.019767309283409,17.10799503807152,22.197719479215262,28.588548179161222,20.934044617574944,30.964597013001935,0.020238788643561288,0.008106219097896161,8.502297617540677,0.29397108701367214,1.6615673323702536,0.2836793965024598
12,6.0,6.0,0.040840331303835346,0.25501527893419423,0.007623519634259842,0.00988273364337136,3.0710395265046198,4.652098982497961,16.789819717603486,21.105031116594475,27.4115465372505,21.352061810888618,29.25016241659921,0.022836792251002835,0.008770414115012198,9.584645642334948,0.2862638642930683,1.6985655712983228,0.30123080851732265
13,6.5,6.5,0.04541657154434383,0.23209466272386323,0.007594885108325298,0.011328865053976234,2.9305381583162164,4.271487698478964,17.096605619040414,20.6291819885459,25.61829728370327,20.421949559071997,30.999364706301435,0.018467798809980417,0.00701141812122183,10.572999597983227,0.2806724069088374,1.7381150709892597,0.2852735529277112
14,7.0,7.0,0.04764892781347391,0.17804742013162916,0.0075702184737743965,0.010621070458759513,2.8610516998053814,5.04200524217984,17.283626508653295,21.062593418015236,30.844612255477898,21.27011737829956,29.505782735210914,0.017323578949048988,0.008258889263931993,7.052632832151033,0.30438626775858346,1.6528466353536855,0.3023805549303723
15,7.5,7.5,0.04137720886383616,0.21460980149116343,0.007948168095255633,0.011129718368137032,3.0037399549236987,4.5792685593918065,16.58126075463959,20.49245532520064,25.85447102059456,19.816539659028617,27.573720397069565,0.016123055829572117,0.008092695142738332,6.462093802302064,0.2865693633311141,1.6292762196754733,0.3058120337723814
16,8.0,8.0,0.03910079233517205,0.18999281773414337,0.007705879637570427,0.012168699173849523,2.9295501513368554,4.93396239463236,17.453285016662377,21.755606553693912,27.845036021544416,19.84248504368888,27.820343572716297,0.019280394669500326,0.008052136080850258,7.0620469601165325,0.2835436474336889,1.727164439189274,0.30004999583402736
17,8.5,8.5,0.040328178108040603,0.19620145329779765,0.007759022625850722,0.009992245670091354,2.9781951550916843,4.300035758977387,17.239557610165917,21.246229530320093,26.204444346703667,20.446853762062094,30.048877283368256,0.02403496855274346,0.008261571690283853,9.350767612076922,0.3017979456523852,1.7202645145442024,0.303935848494382
18,9.0,9.0,0.050533915434235396,0.20720321272667205,0.007897383996929032,0.012038211910350566,2.999900178170266,4.517129473378375,16.605793098776388,21.249921656488556,26.281480310097407,20.201255256949793,33.98138031009745,0.01691500557039109,0.01089808436034187,8.288349678997605,0.28175521290652294,1.7875374121958958,0.2900224129270009
19,9.5,9.5,0.057692896579142755,0.24490566025435437,0.00777982941550002,0.010928060163884479,2.928247015335765,4.81412238849434,16.744546887460285,20.778089766682733,25.77190542627946,22.24159591399912,32.24268981612994,0.01948862819109651,0.009254050310492062,13.396878148317995,0.2942549914614872,1.7678928134929448,0.2867106555396919
20,10.0,10.0,0.05379783291874393,0.18506830037463087,0.007934561652646985,0.011189799999872407,2.903668227235232,4.656524256454929,17.059438043956106,20.974092478191178,27.57630097711413,21.025879272295853,28.893520066372105,0.019569017483684743,0.006925557872700577,7.324615732079366,0.3053604427557704,1.7272877583078046,0.2883851591188422
21,10.5,10.5,0.047899157594428025,0.23488931092079626,0.007928136249642663,0.011041661103693423,2.97123490063168,4.218222687603756,17.104699130429253,21.38255797052323,25.573016292056565,20.375650929815162,32.24111629205652,0.018490292534178897,0.009337855212466273,8.523439360002541,0.2982901272251572,1.6373619025737716,0.2855398396021123
22,11.0,11.0,0.0438758378591775,0.19791365914210945,0.007696772002360096,0.010064089399194925,2.9613089520106577,4.630945399529253,17.37116945730646,20.962044241064863,23.842927502322766,20.293891138769663,28.03966135198891,0.019722593461526633,0.008420140275088361,7.3069922391293005,0.2956552045880475,1.530454507654507,0.30293563672833185
23,11.5,11.5,0.04811358637589054,0.22340965585622788,0.008104718011351106,0.010788978595232035,3.0189253431984606,4.3859664623103924,17.001163439617788,20.911127514041347,25.75957955548165,20.52298060534702,30.666756106988373,0.01627440235536139,0.00837235799513339,8.397180364386827,0.2984141417560501,1.6136932794059713,0.29201712278563435
24,12.0,12.0,0.0484266730296909,0.19606522521344327,0.007825433207205726,0.01176212135230606,2.945929589897039,5.713737226286668,16.86983188473601,20.286938305944968,24.67484456052003,19.716523967425825,27.869981921970066,0.019086243811387436,0.006911931921603887,8.391953376964352,0.3047261065284691,1.74323205569425,0.2997832550360341
25,12.5,12.5,0.044190650011292375,0.1984092742460149,0.007730006430801921,0.010017999470482652,2.9550715531147667,4.5091166022661895,17.318001773060193,20.559856974298384,25.049315946015668,21.85420677818904,28.56042435312071,0.01664801478042464,0.009334503920218257,8.977506131293183,0.28507192074983434,1.727083669079179,0.30066260159853603
26,13.0,13.0,0.045488508667672393,0.21903895635848472,0.007876192620897568,0.011500100778128075,3.000307766045897,4.866309537720511,16.910622909231314,21.21862582576632,25.40541826491608,21.161694335039638,29.96767666106996,0.019146830797653117,0.00799465836421917,8.77946708080789,0.2736622005319694,1.663286205077166,0.2821364917907645
27,13.5,13.5,0.05368343487416701,0.247114395318329,0.007861678884487515,0.01164753543479588,3.031369453322158,5.655497809705835,17.331921726191577,21.433715029448557,28.65860271351457,21.421002913618533,28.53012163337951,0.017736681108186794,0.007628982639382248,8.489036170216366,0.31094050877941265,1.7121956663886282,0.2932319900692964
28,14.0,14.0,0.05631151020739933,0.25342248561486913,0.00805850069586812,0.01091411502397363,3.02884928168005,4.2965490584333565,17.166050965024294,20.769202268333398,26.586789860646178,20.36085736913747,32.66159621366319,0.021170280768544394,0.00822443537387696,9.143724314064755,0.284576878892154,1.7624224805647484,0.2893268048418602
29,14.5,14.5,0.056435133000009824,0.2626730713020614,0.00794410850836252,0.011704075625523641,3.0351261176408086,4.403988820191785,17.485273358304134,21.23821129532258,26.23884323459407,20.920566272439956,32.93074323459405,0.02388626636005074,0.008173779928771663,8.633401329537008,0.27739142019896734,1.6920452121618976,0.28737780011684955
30,15.0,15.0,0.051821065087875325,0.22980157129030368,0.008276971340253113,0.011782329539032688,2.9946404094321633,5.457939645899813,17.05929305492386,20.851702822305658,26.95478334936817,20.07795656294641,26.600877360657705,0.02640282451206044,0.00824177335182813,9.087702892638234,0.30150456049618923,1.7485925769029216,0.29775493278869436
31,15.5,15.5,0.044825538696655044,0.18632125807934594,0.007710683201836126,0.009890347208323214,3.0385158370742755,4.549124207896725,17.24161690261577,21.572498592552492,25.5049844906587,21.14997669078173,28.565290565236296,0.027205180739610566,0.006642133330397454,6.3789580410624325,0.2881700886629287,1.774304934333442,0.30375483535246
32,16.0,16.0,0.047187483165781766,0.16090827631897225,0.007541257818744389,0.010974364508828854,2.9706204301433923,5.055583068354736,17.140181151250907,20.848734963883768,25.25983107245588,20.68836710998018,29.490290826825117,0.018712374820749538,0.007197811761225498,7.480135683937078,0.28600874112516217,1.7091857710617648,0.2911460114787765
33,16.5,16.5,0.052490910997734015,0.23189614120897822,0.00795477198713618,0.01120884318336135,2.9032765241578797,4.737561348865725,16.974489428036154,20.765811091305537,27.996525757443294,20.53822230383617,28.013509219377568,0.02211523703227546,0.008854491560170735,10.291008048205043,0.28900173009862756,1.7253225785342288,0.29900668888839255
34,17.0,17.0,0.050582721150635654,0.2425747334801126,0.007943074125689268,0.010824957711118882,2.965146211462759,4.1712604269306865,17.351220038506106,20.41850705504665,25.594404865963952,21.823352306714508,25.456118027479306,0.019817774845062204,0.008814140320366176,9.74410612544321,0.29020337696174375,1.6847593299934562,0.29764408275657045
35,17.5,17.5,0.04783175466879404,0.22468890768360325,0.008054998822098938,0.01139673246545636,3.0118056223328336,5.144551316938632,17.11226132380446,20.620612206877187,29.37381488747843,21.279915949852125,29.76299770828973,0.017305992033503647,0.00849006043354128,10.852507962164822,0.2846348538039573,1.5880591928514505,0.2863791193505561
36,18.0,18.0,0.049189646812928096,0.2179392310735068,0.0075486037378497016,0.009468133291800268,3.07364557643233,4.681339851062461,17.505637554643233,21.977767766541668,26.79510192100247,20.9010688812372,32.548101921002456,0.02299809903804745,0.007546459265877076,8.018764204505771,0.30023990407672285,1.6149532500973522,0.3018294220250901
37,18.5,18.5,0.04868984800294399,0.19744482849605877,0.008013411143679344,0.01122544589530472,2.8151343896574588,5.638395752577708,17.2636140510511,21.199274327700937,26.59488381504292,20.695510899645445,26.09881028537029,0.017059530978475304,0.007970984573599599,9.117634503026153,0.29396768529891215,1.60048773815984,0.2926448359359858
