atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.23174,1.36094,0.12921
2,N0002,1.21474,1.32898,0.11425
3,B0003,1.23179,1.29397,0.06218
4,N0004,1.21433,1.30716,0.09283
5,B0005,1.22446,1.28793,0.06346
6,N0006,1.21238,1.29847,0.08609
7,B0007,1.22957,1.37927,0.14970
8,N0008,1.21318,1.30852,0.09535
9,B0009,1.22881,1.22369,-0.00512
10,N0010,1.21253,1.27409,0.06156
11,B0011,1.22946,1.21974,-0.00972
12,N0012,1.21333,1.22242,0.00909
13,B0013,1.22983,1.14720,-0.08263
14,N0014,1.21402,1.21944,0.00542
15,B0015,1.22949,1.37599,0.14649
16,N0016,1.21337,1.30081,0.08744
17,B0017,1.23044,1.35112,0.12068
18,N0018,1.21343,1.26753,0.05411
19,B0019,1.22968,1.15932,-0.07036
20,N0020,1.21418,1.19252,-0.02166
21,B0021,1.23059,1.20403,-0.02655
22,N0022,1.21396,1.18800,-0.02596
23,B0023,1.22783,1.38716,0.15933
24,N0024,1.21363,1.25178,0.03815
25,B0025,1.23140,1.24793,0.01653
26,N0026,1.21419,1.20178,-0.01241
27,B0027,1.22495,1.07760,-0.14735
28,N0028,1.21104,1.16422,-0.04681
29,B0029,1.23524,1.25559,0.02035
30,N0030,1.21387,1.21107,-0.00280
31,B0031,1.22827,1.30552,0.07725
32,N0032,1.21327,1.26632,0.05306
33,B0033,1.23221,1.17611,-0.05610
34,N0034,1.21475,1.23905,0.02430
35,B0035,1.22516,1.35017,0.12501
36,N0036,1.21176,1.25056,0.03880
37,B0037,1.23171,1.14139,-0.09032
38,N0038,1.21392,1.15596,-0.05795
39,B0039,1.22889,1.27290,0.04401
40,N0040,1.21261,1.17328,-0.03933
41,B0041,1.22572,1.20994,-0.01578
42,N0042,1.21269,1.13659,-0.07610
43,B0043,1.22955,1.10028,-0.12927
44,N0044,1.21343,1.06588,-0.14755
45,B0045,1.22699,1.14318,-0.08381
46,N0046,1.21286,1.05266,-0.16020
47,B0047,1.23002,0.94674,-0.28328
48,N0048,1.21400,1.00429,-0.20971
49,B0049,1.22938,1.10566,-0.12372
50,N0050,1.21357,1.05082,-0.16276
51,B0051,1.22768,1.18305,-0.04463
52,N0052,1.21292,1.12087,-0.09205
53,B0053,1.23136,1.17611,-0.05525
54,N0054,1.21293,1.17244,-0.04048
55,B0055,1.22709,1.36139,0.13430
56,N0056,1.21268,1.24994,0.03726
57,B0057,1.23097,1.14727,-0.08370
58,N0058,1.21351,1.20063,-0.01288
59,B0059,1.22443,1.14990,-0.07453
60,N0060,1.21227,1.21405,0.00178
61,B0061,1.21337,1.31975,0.10638
62,N0062,1.21238,1.29331,0.08093
63,B0063,1.21307,1.30490,0.09183
64,N0064,1.21212,1.30359,0.09148
65,B0065,1.21333,1.28090,0.06757
66,N0066,1.21196,1.28808,0.07611
67,B0067,1.21112,1.30306,0.09193
68,N0068,1.21112,1.28627,0.07515
69,B0069,1.21237,1.26894,0.05658
70,N0070,1.21097,1.25974,0.04877
71,B0071,1.21329,1.21937,0.00608
72,N0072,1.21238,1.26918,0.05680
73,B0073,1.21237,1.26577,0.05339
74,N0074,1.21237,1.23834,0.02597
75,B0075,1.21274,1.26907,0.05634
76,N0076,1.21174,1.25284,0.04111
77,B0077,1.21227,1.23713,0.02486
78,N0078,1.21227,1.25444,0.04217
79,B0079,1.21351,1.17147,-0.04204
80,N0080,1.21219,1.19963,-0.01256
81,B0081,1.21268,1.21172,-0.00096
82,N0082,1.21128,1.19770,-0.01358
83,B0083,1.21293,1.20026,-0.01267
84,N0084,1.21293,1.17625,-0.03667
85,B0085,1.21156,1.21575,0.00419
86,N0086,1.21156,1.18362,-0.02794
87,B0087,1.21167,1.19235,-0.01932
88,N0088,1.21072,1.22367,0.01295
89,B0089,1.21191,1.25462,0.04271
90,N0090,1.21191,1.24872,0.03681
91,B0091,1.21296,1.26235,0.04939
92,N0092,1.21286,1.24392,0.03107
93,B0093,1.21247,1.25640,0.04392
94,N0094,1.21152,1.23912,0.02760
95,B0095,1.21182,1.19216,-0.01967
96,N0096,1.21132,1.18244,-0.02888
97,B0097,1.21261,1.17349,-0.03912
98,N0098,1.21194,1.15865,-0.05330
99,B0099,1.21230,1.12365,-0.08865
100,N0100,1.21171,1.08273,-0.12898
101,B0101,1.21176,1.10524,-0.10652
102,N0102,1.21176,1.09006,-0.12170
103,B0103,1.21279,1.05575,-0.15704
104,N0104,1.21377,1.04743,-0.16634
105,B0105,1.21227,0.99994,-0.21232
106,N0106,1.21127,1.03376,-0.17750
107,B0107,1.21289,1.01672,-0.19617
108,N0108,1.21093,1.03195,-0.17899
109,B0109,1.21195,1.06945,-0.14250
110,N0110,1.21236,1.08566,-0.12669
111,B0111,1.21280,1.14288,-0.06992
112,N0112,1.21199,1.14309,-0.06890
113,B0113,1.21222,1.20325,-0.00897
114,N0114,1.21081,1.20908,-0.00173
115,B0115,1.21173,1.24107,0.02934
116,N0116,1.21173,1.20707,-0.00466
117,B0117,1.21292,1.19819,-0.01473
118,N0118,1.21197,1.21397,0.00200
119,B0119,1.21332,1.29377,0.08045
120,N0120,1.21233,1.30241,0.09009
121,B0121,1.21335,1.31319,0.09984
122,N0122,1.21237,1.30765,0.09528
123,B0123,1.21370,1.31790,0.10420
124,N0124,1.21238,1.32648,0.11410
125,B0125,1.21318,1.29791,0.08474
